r,g,h,value
AL,ppd,hh1,0.11681048748111666
AL,ppd,hh2,0.1320409777585503
AL,ppd,hh3,0.1353138251629671
AL,ppd,hh4,0.1596657366298536
AL,ppd,hh5,0.17120595093929933
AL,res,hh1,0.6533822842256154
AL,res,hh2,1.2407026567233717
AL,res,hh3,1.3661285060598747
AL,res,hh4,2.810464646960116
AL,res,hh5,2.7909511741951287
AL,amb,hh1,0.6957783155560872
AL,amb,hh2,1.5513682324074582
AL,amb,hh3,1.838230144829515
AL,amb,hh4,4.178338649278023
AL,amb,hh5,5.214779566611578
AL,fbp,hh1,1.0715285521091773
AL,fbp,hh2,2.105407071795611
AL,fbp,hh3,2.3061905202418274
AL,fbp,hh4,4.586897405192361
AL,fbp,hh5,4.507692542821742
AL,rec,hh1,0.21805395283535559
AL,rec,hh2,0.2809196386875766
AL,rec,hh3,0.29866966092805797
AL,rec,hh4,0.4689715703103675
AL,rec,hh5,0.6159188476991068
AL,agr,hh1,0.24170016528594732
AL,agr,hh2,0.3202768691760226
AL,agr,hh3,0.3397480858878245
AL,agr,hh4,0.5466279592579876
AL,agr,hh5,0.6163401141833418
AL,eec,hh1,0.1302455789068251
AL,eec,hh2,0.14955114313237874
AL,eec,hh3,0.153892409855287
AL,eec,hh4,0.18705167767804043
AL,eec,hh5,0.20583207263752165
AL,pub,hh1,0.23261288582703038
AL,pub,hh2,0.30477766603416867
AL,pub,hh3,0.3230318067062587
AL,pub,hh4,0.5106336685132152
AL,pub,hh5,0.5876777940968919
AL,hou,hh1,3.1034761048962802
AL,hou,hh2,4.3605278582800375
AL,hou,hh3,4.229398593258612
AL,hou,hh4,7.10364908223043
AL,hou,hh5,4.968227650501844
AL,ins,hh1,0.36261289101930294
AL,ins,hh2,0.5696677130446726
AL,ins,hh3,0.6259009180237262
AL,ins,hh4,1.2773721452908862
AL,ins,hh5,1.4125478995824132
AL,tex,hh1,0.13402819738292912
AL,tex,hh2,0.1545633954126352
AL,tex,hh3,0.15928988127735905
AL,tex,hh4,0.19557246415124624
AL,tex,hh5,0.21912572787814188
AL,leg,hh1,0.17926663592628644
AL,leg,hh2,0.21875639064516336
AL,leg,hh3,0.22924069929803548
AL,leg,hh4,0.3194085310740553
AL,leg,hh5,0.4089969017305475
AL,fen,hh1,0.015000716186447082
AL,fen,hh2,0.015216221046266057
AL,fen,hh3,0.015252737994210532
AL,fen,hh4,0.015480600400153347
AL,fen,hh5,0.015537620696055812
AL,uti,hh1,0.3753924314138855
AL,uti,hh2,0.5267528246908757
AL,uti,hh3,0.5344400900618637
AL,uti,hh4,0.9061434471720741
AL,uti,hh5,0.7582365999065148
AL,nmp,hh1,0.047789627973366444
AL,nmp,hh2,0.05008636420609857
AL,nmp,hh3,0.05051171124441251
AL,nmp,hh4,0.05327282654736638
AL,nmp,hh5,0.05427642098840424
AL,brd,hh1,0.39007857700656545
AL,brd,hh2,0.6257866962556472
AL,brd,hh3,0.6841841522985962
AL,brd,hh4,1.390092860162746
AL,brd,hh5,1.4563513377834645
AL,bnk,hh1,0.3650758996226614
AL,bnk,hh2,0.5055407786994368
AL,bnk,hh3,0.511701462256373
AL,bnk,hh4,0.854528584412746
AL,bnk,hh5,0.7164730375428426
AL,ore,hh1,0.013498133177442036
AL,ore,hh2,0.013672162040088023
AL,ore,hh3,0.013701864827894766
AL,ore,hh4,0.013885779000322174
AL,ore,hh5,0.013936536152806187
AL,edu,hh1,0.2948700581645853
AL,edu,hh2,0.44079673198813424
AL,edu,hh3,0.49845000338058226
AL,edu,hh4,1.124080996985885
AL,edu,hh5,1.8784703136512495
AL,ote,hh1,0.09704257859560367
AL,ote,hh2,0.10725474160497626
AL,ote,hh3,0.10927469046017536
AL,ote,hh4,0.12394532633671376
AL,ote,hh5,0.12868659320498618
AL,mch,hh1,0.06304781029381996
AL,mch,hh2,0.06713870628427339
AL,mch,hh3,0.06792234868821792
AL,mch,hh4,0.07314122772227617
AL,mch,hh5,0.0751759641957701
AL,dat,hh1,0.10312039310418299
AL,dat,hh2,0.11474951061827271
AL,dat,hh3,0.11704482316404125
AL,dat,hh4,0.13408236034944895
AL,dat,hh5,0.1392055419059553
AL,amd,hh1,0.2035953542123307
AL,amd,hh2,0.2538683621537506
AL,amd,hh3,0.26315946248103317
AL,amd,hh4,0.3672596297808062
AL,amd,hh5,0.37295623889964125
AL,hos,hh1,0.6891657685345443
