r,g,value
AL,ppd,1.4194199823790237
AL,res,2.468989202515936
AL,com,1.7318508319905794
AL,amb,5.656550125360553
AL,fbp,4.282963708979237
AL,rec,0.6471659707846584
AL,con,7.261251573300873
AL,agr,1.9388845426304666
AL,eec,0.18008219891073382
AL,fnd,1.1943367214418503
AL,pub,0.39716125154450127
AL,hou,8.348308003928796
AL,ins,3.467318270418433
AL,tex,0.09571612300844018
AL,leg,1.3082056594570048
AL,fen,0.28748779044655143
AL,uti,6.734683671480001
AL,nmp,0.7268626872769226
AL,brd,1.8729675855964363
AL,bnk,3.7585207603803883
AL,ore,5.249452215010359
AL,edu,1.4439633727681196
AL,ote,0.474176302505822
AL,man,1.295485114038357
AL,mch,0.6582986160821538
AL,dat,0.4636092716766587
AL,amd,0.8279077712714089
AL,oil,0.10417558772162032
AL,hos,4.776755144319073
AL,rnt,1.219523832811038
AL,pla,0.5808201321261502
AL,fof,0.6236740926220383
AL,fin,0.31910147061250543
AL,tsv,6.5223463923267975
AL,nrs,0.8422696599577345
AL,sec,0.6090828847851406
AL,art,0.28978495182299935
AL,mov,0.06602995335548155
AL,fpd,0.5116338344092614
AL,slg,5.472699498964888
AL,pri,0.10365440787266342
AL,grd,0.21329111791132332
AL,pip,0.00022667616840411507
AL,sle,0.5196321209695375
AL,osv,3.8708609418865567
AL,trn,0.054180741153244553
AL,smn,0.17621960268242967
AL,fmt,1.815527473082002
AL,pet,2.35254514535007
AL,cep,0.20367325601797961
AL,wst,0.5927827841063293
AL,mot,7.19604979949233
AL,adm,3.4581235295070067
AL,soc,1.0334030295416021
AL,alt,0.020449838019006756
AL,pmt,2.273152012409291
AL,trk,0.25819621706788637
AL,fdd,1.8766252681196438
AL,wtt,0.09775321396371238
AL,wpd,1.1469316610438653
AL,wht,0.5229993799292508
AL,wrh,0.5898748534365398
AL,ott,0.04431733128980287
AL,che,2.5044687230422573
AL,air,0.0910057216504559
AL,mmf,0.2092751269640408
AL,otr,1.0921245985601495
AL,min,0.3648499399689061
AK,ppd,0.001476054806338531
AK,res,1.10274742920071
AK,com,0.17381300772307975
AK,amb,1.5202899326926413
AK,fbp,1.7770342140063695
AK,rec,0.3116985375516186
AK,con,2.4563371061976405
AK,agr,0.03808670021654614
AK,fnd,0.8014959806912657
AK,pub,0.04418881212802467
AK,hou,1.9837191335943636
AK,ins,0.3446134300020531
AK,tex,0.001933924063141537
AK,leg,0.10384067425305032
AK,fen,0.09054971638656645
AK,uti,1.56324398598
AK,nmp,0.061577266013000835
AK,brd,0.8135091373089053
AK,bnk,0.544753815345397
AK,ore,1.2579984485017757
AK,edu,0.47908548556179786
AK,ote,0.0015849926169854095
AK,man,0.2423865495558484
AK,mch,0.0029213644183862996
AK,dat,0.08123303067897318
AK,amd,0.2646169850685408
AK,oil,1.0697196045039639
AK,hos,1.5240979012472577
AK,rnt,0.3402300009525904
AK,pla,0.008517659617587353
AK,fin,0.17038291563555683
AK,tsv,1.5440982055216403
AK,nrs,0.3116734134247364
AK,sec,0.08493614031510734
AK,art,0.13388363047612067
AK,mov,0.017623368840998997
AK,fpd,0.015665589869537658
AK,slg,5.667069660681513
AK,pri,0.0177327631130232
AK,grd,0.16281750675225626
AK,pip,0.003093154651864938
AK,sle,0.16393157478589132
AK,osv,0.7535500888936222
AK,trn,0.0005846933941890367
AK,smn,2.3904413131207365
AK,fmt,0.044213710073117404
AK,pet,1.6972003731026943
AK,cep,0.0003386011117519731
AK,wst,0.2411946116207251
AK,mot,0.00322337078527218
AK,adm,0.6343345181469016
AK,soc,0.1560647830685386
AK,alt,0.0028759999641914074
AK,trk,0.06631176360245221
AK,fdd,1.286028375561026
AK,wtt,0.0354971992199215
AK,wpd,0.10363769209239533
AK,wht,0.06232228075885871
AK,wrh,0.040609304862898904
AK,ott,0.006313981567279571
AK,che,0.028627387022750382
AK,air,0.1935758779613677
AK,mmf,0.005979907451255657
AK,otr,0.39367425697882286
AK,min,0.3306410639529383
AR,ppd,1.2677369206343307
AR,res,1.3449047871179236
AR,com,0.7777853194328922
AR,amb,3.3847425459855733
AR,fbp,3.7003474129991
AR,rec,0.27165966341294134
AR,con,4.003284544436461
AR,agr,2.8393053804898116
AR,eec,0.1539986161617461
AR,fnd,1.0244762940617451
AR,pub,0.24638512716427366
AR,hou,4.4635178279809855
AR,ins,1.7040185487921176
AR,tex,0.02284050364935353
AR,leg,0.3988393260650448
AR,fen,0.19313395822942267
AR,uti,3.71807080731
AR,nmp,0.41037908715084104
AR,brd,1.0692656897539061
AR,bnk,1.8154194295277437
AR,ore,2.7894386364017416
AR,edu,0.5509627734897335
AR,ote,0.32555062179919814
AR,man,1.4509047424609829
AR,mch,0.6180050956081256
AR,dat,0.26851648489985736
AR,amd,0.44789421327660944
AR,oil,0.14859013243862287
AR,hos,2.7125949203819544
AR,rnt,0.6786640540195991
AR,pla,0.6073618217267477
AR,fof,0.6697412529844247
AR,fin,0.14862749274159112
AR,tsv,2.5390020039588963
AR,nrs,0.6778180764225964
AR,sec,0.40851978567807007
AR,art,0.20342922556428653
AR,mov,0.05635605143451125
AR,fpd,0.26040395043891135
AR,slg,3.0655219410342407
AR,pri,0.11173077257319484
AR,grd,0.08902761527399608
AR,pip,0.00017948102478708487
AR,sle,0.1992339632905188
AR,osv,2.2740995279754204
AR,trn,0.0481568094688904
AR,smn,0.25112527769561366
AR,fmt,0.7353473381097277
AR,pet,0.8218364838161893
AR,cep,0.05406626448051784
AR,wst,0.3265591019358765
AR,mot,0.38168711825069823
AR,adm,2.030098317856016
AR,soc,0.7520403472085634
AR,alt,0.010181408023818023
AR,pmt,0.772999235594278
AR,trk,0.1872993934901273
AR,fdd,1.388877038929632
AR,wtt,0.004608389755080081
AR,wpd,0.7991702316707814
AR,wht,0.34281965464368475
AR,wrh,0.4222678418143848
AR,ott,0.023777340628714113
AR,che,0.30188804581404893
AR,air,0.07707033058349898
AR,mmf,0.057918708474678116
AR,otr,0.7382827573383387
AR,min,0.20032837752682683
AZ,ppd,0.2990884030926771
AZ,res,8.090659620132293
AZ,com,3.205024229626862
AZ,amb,9.215466945367128
AZ,fbp,3.8172911852264773
AZ,rec,1.7552384419633862
AZ,con,14.197454851642272
AZ,agr,2.110804047822557
AZ,fnd,2.210256196738922
AZ,pub,1.0023669514659315
AZ,hou,19.262579031300866
AZ,ins,6.294961149604425
AZ,tex,0.015401392881898842
AZ,leg,1.626756561154594
AZ,fen,0.5316232734236264
AZ,uti,9.66245949981
AZ,nmp,1.2530133591907882
AZ,brd,4.666510844521895
AZ,bnk,7.380936194408767
AZ,ore,10.992648497043024
AZ,edu,2.974570904804857
AZ,ote,0.993017753601043
AZ,man,2.8585889132215754
AZ,mch,0.24207688378839962
AZ,dat,1.8844539309437875
AZ,amd,1.9807004729115385
AZ,hos,8.902064027495893
AZ,rnt,2.866840362034914
AZ,pla,0.44803515689769546
AZ,fof,0.5906596282838629
AZ,fin,1.1155712728870022
AZ,tsv,12.347640930191025
AZ,nrs,2.0449977964814128
AZ,sec,2.23646324651817
AZ,art,1.450482602491862
AZ,mov,0.20731520871468753
AZ,fpd,0.4948173775907202
AZ,slg,10.127854032704361
AZ,pri,0.4448077193522776
AZ,grd,0.8166553743501196
AZ,pip,1.21664657679895e-05
AZ,sle,0.7833963673421717
AZ,osv,7.188166813341743
AZ,trn,0.08098467968691386
AZ,smn,0.20431576195070583
AZ,fmt,1.6918470779304013
AZ,pet,0.202577222186561
AZ,cep,1.5690728515547439
AZ,wst,1.0368390964531558
AZ,mot,0.38222141659353254
AZ,adm,7.389431133563802
AZ,soc,1.7281720300566816
AZ,alt,0.008409054894746472
AZ,pmt,1.1850764713409012
AZ,trk,0.44624976782751546
AZ,fdd,3.4729088986877463
AZ,wtt,0.00655956449050141
AZ,wpd,0.48536332034883417
AZ,wht,0.724919601431748
AZ,wrh,0.7489180284810827
AZ,ott,0.06633858851512267
AZ,che,0.5512789647519325
AZ,air,1.554335449004584
AZ,mmf,0.7419697902153924
AZ,otr,1.9541006839827877
AZ,min,1.107238206740948
CA,ppd,5.532763029023724
CA,res,74.48671145898034
CA,com,59.64587551035306
CA,amb,97.11732145789348
CA,fbp,70.40507247420014
CA,rec,24.538184606399366
CA,con,143.46862475269282
CA,agr,32.14754211907247
CA,eec,2.6186634441654317
CA,fnd,31.460839575457538
CA,pub,32.973986508168046
CA,hou,205.52158213961476
CA,ins,50.420349197776055
CA,tex,1.195379351811175
CA,leg,31.608036910506655
CA,fen,6.710690733123699
CA,uti,65.7761462532
CA,nmp,6.720808544257713
CA,brd,70.13866667674587
CA,bnk,60.17647663542091
CA,ore,125.40356947285235
CA,edu,34.08487413900615
CA,ote,10.33825028511075
CA,man,41.481762901553594
CA,mch,7.146324593178751
CA,dat,37.955050480894705
CA,amd,20.973890277762134
CA,oil,5.682743794320015
CA,hos,78.1796075218488
CA,rnt,30.070944837736675
CA,pla,7.6779226815556285
CA,fof,6.304376359882828
CA,fin,14.177452827690047
CA,tsv,188.19595776628964
CA,nrs,16.592958059348074
CA,sec,39.23691855241112
CA,art,22.13520099994979
CA,mov,26.810830088324003
CA,fpd,5.114840878968312
CA,slg,144.16011656724027
CA,pri,3.2958258164318877
CA,grd,9.965369537110034
CA,pip,0.005755845518909044
CA,sle,10.12017284302724
CA,osv,77.99795032219502
CA,trn,0.9095032911467266
CA,smn,2.4089873885737756
CA,fmt,17.864920114234334
CA,pet,50.07684028940467
CA,cep,27.632221145204646
CA,wst,11.745561273680735
CA,mot,8.031434630577007
CA,adm,87.06148339734762
CA,soc,16.208684299133516
CA,alt,1.030015964242239
CA,pmt,3.3126704292293283
CA,trk,4.855359823726735
CA,fdd,40.71676450522023
CA,wtt,2.82306472791064
CA,wpd,4.716500141594878
CA,wht,9.057856341175382
CA,wrh,11.159725261197433
CA,ott,0.5453237221894602
CA,che,54.946153649544954
CA,air,14.622558401348691
CA,mmf,7.805244425557439
CA,otr,24.221891197299687
CA,min,1.8311884095038762
CO,ppd,0.19071831589434446
CO,res,8.63204575732811
CO,com,5.686770879915566
CO,amb,8.660751227640056
CO,fbp,7.883352577231151
CO,rec,2.0962422022060747
CO,con,18.306106702326446
CO,agr,2.917670398628095
CO,eec,0.12945465400695744
CO,fnd,2.5540676073037245
CO,pub,2.580537581928623
CO,hou,21.227299506048404
CO,ins,6.007661589831677
CO,tex,0.027622185255546744
CO,leg,2.1733234935516346
CO,fen,0.5659539190090507
CO,uti,8.0152608474
CO,nmp,1.7201323846679069
CO,brd,4.952364571947938
CO,bnk,6.573688290313757
CO,ore,11.554740355306391
CO,edu,2.9029642947399537
CO,ote,0.8108495280050145
CO,man,4.74102422911109
CO,mch,1.2591765779786883
CO,dat,2.7080308697476223
CO,amd,2.0967618368052974
CO,oil,0.9448763863743247
CO,hos,7.395696140793807
CO,rnt,2.689977794305701
CO,pla,1.0432402389714572
CO,fof,0.47486025213614386
CO,fin,1.5305703944287248
CO,tsv,17.562430162277305
CO,nrs,1.4072844900422181
CO,sec,3.2804535309877965
CO,art,1.8623732842096186
CO,mov,0.27414768136678674
CO,fpd,0.6708525906766255
CO,slg,11.703269491731326
CO,pri,0.31824273402577336
CO,grd,0.6527291924764759
CO,pip,0.005832340099242669
CO,sle,0.8749377478538087
CO,osv,6.997955607630668
CO,trn,0.08126264112057478
CO,smn,4.741922618239701
CO,fmt,1.4364060667264733
CO,pet,2.754506471319602
CO,cep,0.9463881256637445
CO,wst,1.2101696754674331
CO,mot,0.16863685409021328
CO,adm,7.888821951272443
CO,soc,1.5412431605854262
CO,alt,0.011838031976891079
CO,pmt,0.21442627040863338
CO,trk,0.4399637057269769
CO,fdd,4.013129398418302
CO,wtt,0.012310467396682205
CO,wpd,0.5578107769287897
CO,wht,0.7320310493778801
CO,wrh,0.6028952651616047
CO,ott,0.060578301341691676
CO,che,1.080921876111312
CO,air,1.5463876022452534
CO,mmf,0.5223091937802037
CO,otr,1.6833068205600625
CO,min,0.7560285616223467
CT,ppd,0.7385951598753812
CT,res,2.961797311299104
CT,com,2.3906249874781706
CT,amb,5.010781138184478
CT,fbp,2.446123796851199
CT,rec,0.8124093807199338
CT,con,5.5904787110274565
CT,agr,0.17777169703187573
CT,eec,0.2861452311324639
CT,fnd,1.6332941154237097
CT,pub,0.9919136248282736
CT,hou,9.52483332807488
CT,ins,9.381178544961418
CT,tex,0.03929833680996099
CT,leg,1.3547536031153835
CT,fen,0.30174998215167714
CT,uti,6.41779383222
CT,nmp,0.1846876623025807
CT,brd,3.8794150927937237
CT,bnk,3.822710777673611
CT,ore,6.3880822398228405
CT,edu,1.8689779110163058
CT,ote,2.697617470750473
CT,man,2.609034650875504
CT,mch,0.6226822009204951
CT,dat,0.8628616883175749
CT,amd,1.0247456093382246
CT,hos,4.838305296723788
CT,rnt,1.5996166995194276
CT,pla,0.8959191822486338
CT,fof,0.09195867278676352
CT,fin,0.5400715127945362
CT,tsv,8.790543843978128
CT,nrs,1.1119573467174604
CT,sec,2.7257956731664414
CT,art,0.7487467592379843
CT,mov,0.7978376833889328
CT,fpd,0.1872122290004781
CT,slg,9.415677263199031
CT,pri,0.3916401985689837
CT,grd,0.5144249931813942
CT,sle,0.577926738350981
CT,osv,3.6431207596480877
CT,trn,0.036811319540717764
CT,smn,0.010006131307119501
CT,fmt,1.1630333282686858
CT,pet,0.5503568262396201
CT,cep,0.36053898093626385
CT,wst,0.662422048822213
CT,mot,0.8079249414711576
CT,adm,3.919435643737512
CT,soc,1.0424961780410982
CT,alt,0.011480210340314054
CT,pmt,0.37105807442942224
CT,trk,0.20262978404285234
CT,fdd,1.4485533380614848
CT,wtt,0.13573713274927282
CT,wpd,0.07927162700607164
CT,wht,0.46392231179637855
CT,wrh,0.4979288026219937
CT,ott,0.03523869205068688
CT,che,2.1474749268152373
CT,air,0.19217003922720952
CT,mmf,0.28004916632863497
CT,otr,0.9452362445345238
CT,min,0.08652120524463301
DE,ppd,0.06829994873039426
DE,res,0.5399018954102006
DE,com,0.4033807560848333
DE,amb,1.0610879087050265
DE,fbp,0.7902586452406379
DE,rec,0.11111338725503242
DE,con,1.803397224469988
DE,agr,0.9064151544969071
DE,eec,0.030359306109502944
DE,fnd,0.40768832341948874
DE,pub,0.06232636459273823
DE,hou,2.2916609217591377
DE,ins,2.009891733836563
DE,tex,0.006600935569126319
DE,leg,0.4551968564297386
DE,fen,0.07263431140875486
DE,uti,1.57006027755
DE,nmp,0.05306183663361947
DE,brd,0.2772038475552687
DE,bnk,1.5819748532686255
DE,ore,1.511118004666039
DE,edu,0.2770135083865798
DE,ote,0.004919888032462122
DE,man,0.5506221488137074
DE,dat,0.1519881533154691
DE,amd,0.18754980430996504
DE,oil,0.00039619409540458646
DE,hos,1.3592242145578077
DE,rnt,0.3587655514391859
DE,pla,0.17616439482580673
DE,fof,0.046188114428088935
DE,fin,0.18804378610584022
DE,tsv,1.515078284203716
DE,nrs,0.3098554136375637
DE,sec,0.7110942037475633
DE,art,0.13729305924121832
DE,mov,0.009000644648592822
DE,fpd,0.04141142432319449
DE,slg,1.7679376240685425
DE,pri,0.005690013247554428
DE,grd,0.07626554566062121
DE,sle,0.10952755281001551
DE,osv,0.7940657241637974
DE,trn,0.008039956173369141
DE,smn,0.0004926536781705543
DE,fmt,0.05242062486709787
DE,pet,1.1602967211877466
DE,cep,0.0316323300220415
DE,wst,0.13627191038746386
DE,adm,0.8858345134757991
DE,soc,0.29040175388497863
DE,alt,0.0005592730581127142
DE,pmt,0.0180525916600705
DE,trk,0.04050269514193718
DE,fdd,0.38410493683376207
DE,wtt,0.0023368864789106484
DE,wpd,0.017142188263052152
DE,wht,0.10249471928428552
DE,wrh,0.11572671158078912
DE,ott,0.007385915890077331
DE,che,0.250563133787136
