r,h,trn,value
AL,hh1,hucval,0.09539648219485
AL,hh1,hwcval,0.013588872865275143
AL,hh1,hssval,4.220181352164123
AL,hh1,hssival,0.5373452267267403
AL,hh1,hpawval,0.03747286777823409
AL,hh1,hvetval,0.08683849717820323
AL,hh1,hsurval,0.10545649342731275
AL,hh1,hdisval,0.06389660991168586
AL,hh1,hedval,0.119159499880597
AL,hh1,hcspval,0.04990819055223881
AL,hh1,hfinval,0.0740894424489796
AL,hh1,medicare,4.552364546975256
AL,hh1,medicaid,2.150015439542604
AL,hh2,hucval,0.005957291452369277
AL,hh2,hwcval,0.0283137855028463
AL,hh2,hssval,4.94440233491688
AL,hh2,hssival,0.27746647345288594
AL,hh2,hpawval,0.004505370579055442
AL,hh2,hvetval,0.4841959507351273
AL,hh2,hsurval,0.10982591818942732
AL,hh2,hdisval,0.16720315682168196
AL,hh2,hedval,0.16876145671641793
AL,hh2,hcspval,0.11238871846268657
AL,hh2,hfinval,0.043943196289424856
AL,hh2,medicare,3.8668636729666557
AL,hh2,medicaid,1.8262633657071001
AL,hh3,hucval,0.011982991584857895
AL,hh3,hwcval,0.017852984470588234
AL,hh3,hssval,3.059177122856194
AL,hh3,hssival,0.17628205567563834
AL,hh3,hpawval,0.00022239129363449696
AL,hh3,hvetval,0.597604325778186
AL,hh3,hsurval,0.21726902833480174
AL,hh3,hdisval,0.2857671918833749
AL,hh3,hedval,0.25868028507462687
AL,hh3,hcspval,0.1129078322238806
AL,hh3,hfinval,0.00902230797773655
AL,hh3,medicare,2.1258997834535878
AL,hh3,medicaid,0.9174775698686612
AL,hh4,hucval,0.026717278630886316
AL,hh4,hwcval,0.012363871696394689
AL,hh4,hssval,3.1819277016327203
AL,hh4,hssival,0.13140678733748187
AL,hh4,hvetval,0.5745187377000768
AL,hh4,hsurval,0.4746017910925109
AL,hh4,hdisval,0.31580203372822196
AL,hh4,hedval,0.4702682198507462
AL,hh4,hcspval,0.11596062435820893
AL,hh4,hfinval,0.046192163265306126
AL,hh4,medicare,1.0247649855913201
AL,hh4,medicaid,0.5287622880544439
AL,hh5,hucval,0.045544634315130075
AL,hh5,hssval,1.087421819181668
AL,hh5,hssival,0.01388724568774372
AL,hh5,hvetval,0.46573282359457124
AL,hh5,hsurval,0.08853640303083701
AL,hh5,hdisval,0.06622112435534998
AL,hh5,hedval,0.24808733134328356
AL,hh5,hcspval,0.061947510208955225
AL,hh5,medicare,1.3297277070318183
AL,hh5,medicaid,0.6650784950155239
AK,hh1,hucval,0.00752796782140819
AK,hh1,hwcval,0.004764459962049336
AK,hh1,hssval,0.21572210329027167
AK,hh1,hssival,0.05283483752295528
AK,hh1,hpawval,0.01936633606570842
AK,hh1,hvetval,0.01041844209720177
AK,hh1,hsurval,0.014442872246696036
AK,hh1,hdisval,0.00910220646609967
AK,hh1,hedval,0.019526203432835818
AK,hh1,hcspval,0.0030902059701492534
AK,hh1,hfinval,0.007075222931354359
AK,hh1,medicare,0.21245719863347998
AK,hh1,medicaid,0.44849531478770155
AK,hh2,hucval,0.012681360130474217
AK,hh2,hwcval,0.005045617457305503
AK,hh2,hssval,0.4668408823206485
AK,hh2,hssival,0.028187936799660952
AK,hh2,hpawval,0.041781861388090355
AK,hh2,hvetval,0.03820525735493373
AK,hh2,hsurval,0.03811374237885463
AK,hh2,hdisval,0.03959992797004198
AK,hh2,hedval,0.016675634328358207
AK,hh2,hcspval,0.0036306949850746268
AK,hh2,hfinval,0.008778020037105752
AK,hh2,medicare,0.2582865397755
AK,hh2,medicaid,0.5305114154754605
AK,hh3,hucval,0.02534654108499971
AK,hh3,hwcval,0.03095029981024668
AK,hh3,hssval,0.25035438856341236
AK,hh3,hssival,0.010278958563281966
AK,hh3,hpawval,0.01710121084188912
AK,hh3,hvetval,0.1084063249484536
AK,hh3,hsurval,0.041036351947136555
AK,hh3,hdisval,0.007004548051072418
AK,hh3,hedval,0.015051371104477611
AK,hh3,hcspval,0.007242662417910448
AK,hh3,hfinval,0.04044556586270871
AK,hh3,medicare,0.22278340653977521
AK,hh3,medicaid,0.4680557419761922
AK,hh4,hucval,0.009271677311295357
AK,hh4,hwcval,0.038442510056926
AK,hh4,hssval,0.35231578828567445
AK,hh4,hssival,0.03286634429229631
AK,hh4,hpawval,0.006278800657084189
AK,hh4,hvetval,0.1913191945095729
AK,hh4,hsurval,0.008218647634361233
AK,hh4,hdisval,0.04930182933536891
AK,hh4,hedval,0.08924551241791044
AK,hh4,hcspval,0.05175294456716418
AK,hh4,hfinval,0.007690630797773655
AK,hh4,medicare,0.1453866666666672
AK,hh4,medicaid,0.30690999999999957
AK,hh5,hucval,0.01639136751031204
AK,hh5,hwcval,0.002121194459203036
AK,hh5,hssval,0.1360701296906678
AK,hh5,hssival,0.0026135594446222853
AK,hh5,hpawval,0.01176879415195072
AK,hh5,hvetval,0.08207425102798233
AK,hh5,hsurval,0.14909327159471364
AK,hh5,hedval,0.04459771940298507
AK,hh5,hcspval,0.0014747641791044775
AK,hh5,medicare,0.2746861883845776
AK,hh5,medicaid,0.5593610128400296
AR,hh1,hucval,0.01192628397738462
AR,hh1,hwcval,0.009424697351043641
AR,hh1,hssval,2.6907918475878625
AR,hh1,hssival,0.20365994627890727
AR,hh1,hpawval,0.006467136542094457
AR,hh1,hvetval,0.10715686918409424
AR,hh1,hsurval,0.034034691806167396
AR,hh1,hdisval,0.024943512258853585
AR,hh1,hedval,0.11558727432835818
AR,hh1,hcspval,0.07949008931343284
AR,hh1,hfinval,0.053617952504638224
AR,hh1,medicare,2.478621308983956
AR,hh1,medicaid,2.304765406742436
AR,hh2,hucval,0.06989895319142705
AR,hh2,hssval,2.8744379053437283
AR,hh2,hssival,0.2135165453547333
AR,hh2,hpawval,0.0024580683696098565
AR,hh2,hvetval,0.2930560266273932
AR,hh2,hsurval,0.0621114914537445
AR,hh2,hdisval,0.11678413271342585
AR,hh2,hedval,0.08554063880597015
AR,hh2,hcspval,0.08167017853731343
AR,hh2,hfinval,0.08819160445269017
AR,hh2,medicare,2.471336023209024
AR,hh2,medicaid,2.297991126794364
AR,hh3,hucval,0.06168495852407173
AR,hh3,hwcval,0.09219810494117647
AR,hh3,hssval,1.744782362433106
AR,hh3,hssival,0.16895964731651242
AR,hh3,hpawval,0.032454426677618074
AR,hh3,hvetval,0.2621271384742268
AR,hh3,hsurval,0.04377953125110132
AR,hh3,hdisval,0.09569929341186008
AR,hh3,hedval,0.11068053832835821
AR,hh3,hcspval,0.0641039063283582
AR,hh3,hfinval,0.11203077105751393
AR,hh3,medicare,1.1831949872105911
AR,hh3,medicaid,1.105542864126471
AR,hh4,hucval,0.04449996746123934
AR,hh4,hwcval,0.014723163324478178
AR,hh4,hssval,1.7122469514803826
AR,hh4,hssival,0.05868011207395508
AR,hh4,hpawval,0.0006762263655030802
AR,hh4,hvetval,0.44074002125478645
AR,hh4,hsurval,0.13275532149779734
AR,hh4,hdisval,0.11876081115355326
AR,hh4,hedval,0.19333955649253728
AR,hh4,hcspval,0.08350662358208955
AR,hh4,hfinval,0.008777808979591836
AR,hh4,medicare,0.6054236944715741
AR,hh4,medicaid,0.568298595254848
AR,hh5,hssval,0.8643046944591987
AR,hh5,hvetval,0.1895773441413844
AR,hh5,hsurval,0.19910216962995594
AR,hh5,hdisval,0.1419318781700845
AR,hh5,hedval,0.19659978358208954
AR,hh5,hcspval,0.05761688623880596
AR,hh5,hfinval,0.08174914730983301
AR,hh5,medicare,0.6448221410352045
AR,hh5,medicaid,0.6049333622162066
AZ,hh1,hucval,0.026870260670140665
AZ,hh1,hssval,3.4558569273897985
AZ,hh1,hssival,0.5933274090450429
AZ,hh1,hpawval,0.1173565755893224
AZ,hh1,hsurval,0.0006618337004405285
AZ,hh1,hdisval,0.06835046155121871
AZ,hh1,hedval,0.11081845074626864
AZ,hh1,hcspval,0.0365916783880597
AZ,hh1,hfinval,0.22951759703153987
AZ,hh1,medicare,4.318420632836568
AZ,hh1,medicaid,3.3701254011797643
AZ,hh2,hucval,0.14018789595071646
AZ,hh2,hwcval,0.014246582163187855
AZ,hh2,hssval,4.098864425509177
AZ,hh2,hssival,0.20670851962231565
AZ,hh2,hpawval,0.035870938743326496
AZ,hh2,hvetval,0.6310283551104566
AZ,hh2,hsurval,0.2317981745022026
AZ,hh2,hdisval,0.2816830767255703
AZ,hh2,hedval,0.36727834731343284
AZ,hh2,hcspval,0.14304891540298506
AZ,hh2,hfinval,0.48927707554730976
AZ,hh2,medicare,4.6682746202745955
AZ,hh2,medicaid,3.6431538784901036
AZ,hh3,hucval,0.044029505485987205
AZ,hh3,hssval,4.642444145482824
AZ,hh3,hssival,0.22514386717196486
AZ,hh3,hpawval,0.035714217659137584
AZ,hh3,hvetval,0.8924146356406479
AZ,hh3,hsurval,0.10426647631718061
AZ,hh3,hdisval,0.11340893649438111
AZ,hh3,hedval,0.5677156350746267
AZ,hh3,hcspval,0.17705745582089552
AZ,hh3,hfinval,0.15270600667903522
AZ,hh3,medicare,2.8959203104624676
AZ,hh3,medicaid,2.259996287501832
AZ,hh4,hucval,0.06604621990688664
AZ,hh4,hwcval,0.07812023171157495
AZ,hh4,hssval,8.651816778001455
AZ,hh4,hssival,0.18957843014381348
AZ,hh4,hpawval,0.038504050102669406
