r,s,value
AL,ppd,1.1394834495395199
AL,res,1.8934697506358515
AL,com,2.384113716987461
AL,amb,6.9658577330087725
AL,fbp,1.5382473781438935
AL,rec,0.12084502463128569
AL,con,5.386869523276494
AL,agr,0.1560199090311008
AL,eec,0.39535451820199696
AL,fnd,2.5785586692590536
AL,pub,0.3297229879486495
AL,hou,0.12783207037293673
AL,fbt,1.2831308731001143
AL,ins,3.0041570171289065
AL,tex,0.4364999731274662
AL,leg,1.2081580639886174
AL,fen,0.8302922308547953
AL,uti,1.9785270892620124
AL,nmp,0.42289770423914147
AL,brd,1.0774158759909116
AL,bnk,2.626439763256146
AL,ore,0.6267710952150781
AL,edu,1.0371422540920112
AL,ote,2.1754868095317574
AL,man,1.9057553920386117
AL,mch,0.6928856273364243
AL,dat,0.14011271099273248
AL,amd,0.8700000356888741
AL,oil,0.0829362341740412
AL,hos,3.027552270569511
AL,rnt,0.4045738174438352
AL,pla,0.9894099590767763
AL,fof,0.4257703576448288
AL,fin,0.0020295788228699243
AL,tsv,5.434322271972335
AL,nrs,1.0056723905959815
AL,sec,0.6902631943682883
AL,art,0.23973358659994032
AL,mov,0.046152673077298124
AL,fpd,0.4645275196219862
AL,slg,20.368857350599825
AL,pri,0.15295484424824002
AL,grd,0.07201721692660165
AL,pip,0.08599043458678664
AL,sle,1.393879436948471
AL,osv,3.6105702306981415
AL,trn,0.37766289980500284
AL,smn,0.06295970397302461
AL,fmt,1.6263829523677895
AL,pet,0.24437497737328429
AL,mvt,1.5696923568889667
AL,cep,0.7772353416039989
AL,wst,0.2958660790798574
AL,mot,3.1787546656083623
AL,adm,3.8709525709624333
AL,soc,1.2772390358714765
AL,alt,0.0704496251356399
AL,pmt,1.6315434750024838
AL,trk,1.6109930608159875
AL,fdd,4.714547191658173
AL,gmt,1.2384323259827181
AL,wtt,0.07197564577506041
AL,wpd,0.8105873213937161
AL,wht,5.7150877298673715
AL,wrh,0.6043557416224808
AL,ott,3.980831551810677
AL,che,1.2520765829873566
AL,air,0.06375905844051354
AL,mmf,0.4024939931935469
AL,otr,0.8875933989082321
AL,min,0.49655146288237084
AK,ppd,0.0002711832856639741
AK,res,1.0997089954688866
AK,com,0.12033428180954887
AK,amb,1.501156689223644
AK,fbp,0.6459464687194986
AK,rec,0.03851183183888796
AK,con,1.5325120478948928
AK,agr,0.004777480609503573
AK,eec,0.0010153846524023446
AK,fnd,0.948981016442991
AK,pub,0.033959572119754006
AK,hou,0.027989297103347834
AK,fbt,0.20555091222281838
AK,ins,0.2129465657170708
AK,tex,0.0034160715494500494
AK,leg,0.09539479517816753
AK,fen,0.3009854112264547
AK,uti,0.26864091854737165
AK,nmp,0.02493178517260209
AK,brd,0.42343503717620007
AK,bnk,0.37276580339401444
AK,ore,0.13763483183332448
AK,edu,0.1346536988021163
AK,ote,0.022802590715952024
AK,man,0.31958747632391377
AK,mch,0.007407573083724754
AK,dat,0.009937730226263503
AK,amd,0.19520568957223478
AK,oil,1.09362737847082
AK,hos,1.1452537419974604
AK,rnt,0.08766372392208115
AK,pla,0.004417204256374781
AK,fof,0.07057622874462054
AK,fin,0.0011947662543899532
AK,tsv,0.9807927064716795
AK,nrs,0.3801682417162887
AK,sec,0.08414132286498449
AK,art,0.08100160367760317
AK,mov,0.013786313998705635
AK,fpd,0.007571153351665171
AK,slg,16.465193739805127
AK,pri,0.01631141898835592
AK,grd,0.05646710000149498
AK,pip,0.8474826592164455
AK,sle,1.6272484071858473
AK,osv,0.6028800011589706
AK,smn,0.757555088846625
AK,fmt,0.029948523777206526
