r,h,value
AL,hh1,2.2562194378378013
AL,hh2,6.975643416823955
AL,hh3,11.581393081360345
AL,hh4,26.265938058161677
AL,hh5,30.553513827112347
AK,hh1,0.37996945581131863
AK,hh2,1.7292128370385282
AK,hh3,2.9179741524894776
AK,hh4,10.529557789450852
AK,hh5,9.980706700633673
AR,hh1,1.1207883531529426
AR,hh2,4.915349991047303
AR,hh3,6.1679242041629285
AR,hh4,13.8605637718395
AR,hh5,13.434329748624457
AZ,hh1,2.9303798370425214
AZ,hh2,11.560808715905566
AZ,hh3,16.461288945609475
AZ,hh4,46.76952988015982
AZ,hh5,40.08479267106387
CA,hh1,13.974503613956164
CA,hh2,58.02605890100621
CA,hh3,85.68228642075552
CA,hh4,267.8096969521459
CA,hh5,435.2501171844513
CO,hh1,1.3721773038786858
CO,hh2,7.129620349686106
CO,hh3,13.7778435933035
CO,hh4,43.60084061396187
CO,hh5,59.2862970128039
CT,hh1,1.2621328740365287
CT,hh2,4.427131003241877
CT,hh3,9.009892242289212
CT,hh4,27.82974164534366
CT,hh5,40.53640559102925
DE,hh1,0.357572691902573
DE,hh2,1.479579284874543
DE,hh3,2.6495902446165993
DE,hh4,6.70596981133528
DE,hh5,9.24696131561007
DC,hh1,0.327107932491934
DC,hh2,1.1785514758347473
DC,hh3,2.043457988869445
DC,hh4,7.804357443257449
DC,hh5,19.779717515870626
FL,hh1,9.7357251146362
FL,hh2,37.269382651853974
FL,hh3,53.452715982832906
FL,hh4,134.37541219474312
FL,hh5,142.88096553068712
GA,hh1,4.6707162798161885
GA,hh2,20.29382355881799
GA,hh3,25.63837491522971
GA,hh4,72.36798284749894
GA,hh5,79.35041076163421
HI,hh1,0.5436185738492415
HI,hh2,3.2101991343560012
HI,hh3,5.60641053692523
HI,hh4,16.469192343466506
HI,hh5,26.84491503266566
ID,hh1,0.6146790215597856
ID,hh2,2.125007361446233
ID,hh3,3.819574566891303
ID,hh4,9.771079922628367
ID,hh5,7.497715680166937
IL,hh1,3.8999353725084083
IL,hh2,16.729320587850186
IL,hh3,31.018446035481823
IL,hh4,89.80170124050777
IL,hh5,126.33359572588428
IN,hh1,2.2775427697872512
IN,hh2,10.43522458826895
IN,hh3,18.03640823164202
IN,hh4,47.86483016963061
IN,hh5,33.68916764336475
IA,hh1,1.2090168050854608
IA,hh2,4.1433234247633415
IA,hh3,6.683603129004147
IA,hh4,21.441484525610452
IA,hh5,16.362255594135195
KS,hh1,1.5172304899267959
KS,hh2,4.743937522452881
KS,hh3,7.761409355889068
KS,hh4,23.03286271527798
KS,hh5,20.66914950595325
KY,hh1,1.927066780777602
KY,hh2,7.605090555640373
KY,hh3,11.477808077881003
KY,hh4,28.047118296689092
KY,hh5,27.423092639221757
LA,hh1,3.209938261334225
LA,hh2,8.75432622646272
LA,hh3,11.30065973276876
LA,hh4,27.746980876924837
LA,hh5,25.964491257401654
ME,hh1,0.5780584700609388
ME,hh2,2.0686761793296458
ME,hh3,3.4363383114088926
ME,hh4,8.79203851640368
ME,hh5,7.001721859081019
MD,hh1,1.6198007980782414
MD,hh2,10.507919567667605
MD,hh3,14.6966013670103
MD,hh4,48.09135291172522
MD,hh5,85.27045264899161
MA,hh1,2.0911373045117307
MA,hh2,8.612091892122349
MA,hh3,12.7414843269375
MA,hh4,51.487478824755186
MA,hh5,95.91510892591282
MI,hh1,3.3716520607087452
MI,hh2,13.939529355812306
MI,hh3,18.376099504034816
MI,hh4,58.20331599402353
MI,hh5,69.89432004923104
MN,hh1,1.5469418878661962
MN,hh2,6.201026371647479
MN,hh3,11.246942187072198
MN,hh4,42.3425781786709
MN,hh5,49.6158941684374
MS,hh1,1.8052115341135946
MS,hh2,6.49527328715856
MS,hh3,8.71082789072778
MS,hh4,17.52406956160548
MS,hh5,8.8494683604829
MO,hh1,2.2245846630214103
MO,hh2,9.8379674767818
MO,hh3,13.964572423215358
MO,hh4,38.992140475652334
MO,hh5,39.28932753006269
MT,hh1,0.34209387482826714
MT,hh2,1.5203402015178031
MT,hh3,2.0308842736736743
MT,hh4,6.643453266767058
MT,hh5,5.426007777903678
NE,hh1,0.8001670621371216
NE,hh2,3.0091399641299135
NE,hh3,4.4090712488580674
NE,hh4,12.813481062899902
NE,hh5,13.41351825062446
NV,hh1,1.7446112259339972
NV,hh2,7.922727419085353
NV,hh3,10.467386413517032
NV,hh4,31.23000521433963
NV,hh5,22.567124804776164
NH,hh1,0.2515679454204035
NH,hh2,1.9672046677741257
NH,hh3,3.1662899040462835
NH,hh4,9.483156453738243
NH,hh5,14.095149307572763
NJ,hh1,2.561413377092497
NJ,hh2,12.279174916000773
NJ,hh3,20.738122939306752
NJ,hh4,56.15280657854933
NJ,hh5,104.88364069937303
NM,hh1,1.4143915505661402
NM,hh2,3.987302701450291
NM,hh3,5.051447111766329
NM,hh4,13.49515153765917
NM,hh5,10.220580639527922
NY,hh1,7.339910013305949
NY,hh2,29.08415606001714
NY,hh3,42.78174319703159
NY,hh4,134.62774949590977
NY,hh5,239.3290573501247
NC,hh1,6.121086440259186
NC,hh2,21.698370602007675
NC,hh3,28.25510559536985
NC,hh4,72.48160048402328
NC,hh5,77.63130263411072
ND,hh1,0.3994515463897396
ND,hh2,1.719939949996599
ND,hh3,2.5488346511523132
ND,hh4,7.665345172080228
ND,hh5,4.807298092739198
OH,hh1,4.870863826090427
OH,hh2,16.206325129766544
OH,hh3,26.707428672301088
OH,hh4,82.51317772662925
OH,hh5,77.32642215508051
OK,hh1,1.17365307680301
OK,hh2,7.466371849797813
OK,hh3,8.347746757480866
OK,hh4,26.007204434351817
OK,hh5,18.38927088872189
OR,hh1,1.4711273987134896
OR,hh2,4.412031030199202
OR,hh3,8.095954664197267
OR,hh4,24.608142288246228
OR,hh5,25.457426841162803
PA,hh1,3.143510286688929
PA,hh2,15.018640020063984
PA,hh3,23.38224306780822
PA,hh4,82.97398276755082
PA,hh5,114.6829298083279
RI,hh1,0.47080957257358186
RI,hh2,1.473830777862893
RI,hh3,2.6178409675432537
RI,hh4,7.462971610660473
RI,hh5,10.358392623370621
SC,hh1,1.6256136553323237
SC,hh2,7.15983274850878
SC,hh3,11.470707963579361
SC,hh4,31.0133787593827
SC,hh5,31.127284304026134
SD,hh1,0.3070979392265118
SD,hh2,1.948232260946613
SD,hh3,2.4657888858270525
SD,hh4,6.7585582788320355
SD,hh5,5.687862635792711
TN,hh1,2.013959253070483
TN,hh2,10.813983741836143
TN,hh3,13.832771824151536
TN,hh4,40.12851558541966
TN,hh5,46.615510856369454
TX,hh1,12.919897510111117
TX,hh2,53.730733935843425
TX,hh3,70.9416956501876
TX,hh4,205.02031604505908
TX,hh5,221.811713148373
UT,hh1,0.7383029911279039
UT,hh2,4.264079043031819
UT,hh3,7.339594615485051
UT,hh4,21.075538632018077
UT,hh5,21.068282168604068
VT,hh1,0.15639843164847686
VT,hh2,0.7951752772382374
VT,hh3,1.3439046267960009
VT,hh4,4.019107710324972
VT,hh5,4.568651959611087
VA,hh1,3.4889225564990087
VA,hh2,17.110131154154562
VA,hh3,20.506816955992825
VA,hh4,85.03379805672823
VA,hh5,116.40381557164866
WA,hh1,2.056998412798944
WA,hh2,10.297506862028113
WA,hh3,16.384407128008203
WA,hh4,68.74415061850922
WA,hh5,96.14863375338228
WV,hh1,0.8085936136979311
WV,hh2,2.759927516014994
WV,hh3,3.5111900527265973
WV,hh4,9.641376138818412
WV,hh5,7.423984937807152
WI,hh1,2.5140618452811934
WI,hh2,8.620025277913971
WI,hh3,14.822314453890188
WI,hh4,36.25791192994544
WI,hh5,37.18866000779332
WY,hh1,0.30580232276231517
WY,hh2,1.2781954692447945
WY,hh3,1.5680458002624953
WY,hh4,5.535648247532698
WY,hh5,3.2779019065286
