r,m,s,value
AL,trn,ppd,0.25394477947144534
AL,trn,fbp,0.3243481916219344
AL,trn,agr,0.6710283531699589
AL,trn,eec,0.09139743922690047
AL,trn,pub,0.04645000554354106
AL,trn,tex,0.07130316890745854
AL,trn,nmp,0.3334382414455484
AL,trn,ote,0.08899414097378512
AL,trn,mch,0.17017620177645168
AL,trn,oil,0.6088177629576149
AL,trn,pla,0.08888000272887751
AL,trn,fof,0.08445089731222541
AL,trn,mov,0.00060293479402747
AL,trn,fpd,0.23346526744005855
AL,trn,pri,0.03319010058816705
AL,trn,fmt,0.18234842467397042
AL,trn,pet,0.40407846246319407
AL,trn,cep,0.0971685540321114
AL,trn,mot,0.44308336069703114
AL,trn,alt,0.09273097112257019
AL,trn,pmt,0.4294155342915605
AL,trn,wpd,0.1687272636371033
AL,trn,che,0.46089342624197166
AL,trn,mmf,0.1624519133007245
AL,trn,min,0.6965021095637768
AL,trd,ppd,1.3209006770620835
AL,trd,fbp,6.693699093661789
AL,trd,agr,1.5396278015384424
AL,trd,eec,1.1477150428603384
AL,trd,pub,0.898705874056382
AL,trd,tex,1.1169420301560002
AL,trd,nmp,0.6175695945736573
AL,trd,ote,0.5293688648964037
AL,trd,mch,1.7826300600193674
AL,trd,oil,0.18793728445950741
AL,trd,pla,1.5430496228479214
AL,trd,fof,0.1870385457336889
AL,trd,mov,0.03822443035376815
AL,trd,fpd,1.2106408341537926
AL,trd,pri,0.15756473439805252
AL,trd,fmt,1.7316616573775023
AL,trd,pet,1.891652459849724
AL,trd,cep,2.351133337944229
AL,trd,mot,7.3496455862047085
AL,trd,alt,3.206261287990966
AL,trd,pmt,1.053979196618346
AL,trd,wpd,0.694575958937501
AL,trd,che,5.703299432580172
AL,trd,mmf,2.25931740735778
AL,trd,min,0.15346165669724343
AK,trn,ppd,0.02353578277545522
AK,trn,fbp,0.07970811229756831
AK,trn,agr,0.14102327402082043
AK,trn,eec,0.01787762776530317
AK,trn,pub,0.01042113621202416
AK,trn,tex,0.006390339363777267
AK,trn,nmp,0.06742126443800431
AK,trn,ote,0.0169256337439241
AK,trn,mch,0.03531829484442307
AK,trn,oil,0.3667916283618463
AK,trn,pla,0.014119307280071857
AK,trn,fof,0.01293202563101443
AK,trn,mov,0.00015842973494660436
AK,trn,fpd,0.032251659103202164
AK,trn,pri,0.008115156715963499
AK,trn,fmt,0.03442465153615739
AK,trn,pet,0.1324700500120257
AK,trn,cep,0.024511396756175006
AK,trn,mot,0.024222271920277986
AK,trn,alt,0.01262594166004069
AK,trn,pmt,0.009289987349037288
AK,trn,wpd,0.016897931534829783
AK,trn,che,0.07275259580495888
AK,trn,mmf,0.030774688691554742
AK,trn,min,0.17544617361567894
AK,trd,ppd,0.12242201421896386
AK,trd,fbp,1.6449671458801616
AK,trd,agr,0.3235680762530102
AK,trd,eec,0.22449668711130627
AK,trd,pub,0.20162616168708034
AK,trd,tex,0.10010268451920885
AK,trd,nmp,0.12487266836614835
AK,trd,ote,0.10067970120991081
AK,trd,mch,0.3699662667345283
AK,trd,oil,0.11322570856331161
AK,trd,pla,0.2451259125165414
AK,trd,fof,0.028641344786108944
AK,trd,mov,0.010044015421602152
AK,trd,fpd,0.16724190243659756
AK,trd,pri,0.038525418419648606
AK,trd,fmt,0.3269117857219123
AK,trd,pet,0.6201451431836444
AK,trd,cep,0.5930886040969199
AK,trd,mot,0.4017869540997056
AK,trd,alt,0.43655390943239847
AK,trd,pmt,0.02280181460805005
AK,trd,wpd,0.06956135450112094
AK,trd,che,0.9002728499653541
AK,trd,mmf,0.4280022835935178
AK,trd,min,0.03865639471087476
AR,trn,ppd,0.14600114986606608
AR,trn,fbp,0.21840608313594295
AR,trn,agr,0.7156947644877241
AR,trn,eec,0.05444167484132728
AR,trn,pub,0.024972534344164535
AR,trn,tex,0.03144838536925735
AR,trn,nmp,0.15933806800706163
AR,trn,ote,0.028400823173057536
AR,trn,mch,0.12608277088754835
AR,trn,oil,0.18727423200058468
AR,trn,pla,0.04578175793711962
AR,trn,fof,0.07045486924143707
AR,trn,mov,0.0003368382563038673
AR,trn,fpd,0.11400828570346111
AR,trn,pri,0.017916544804946317
AR,trn,fmt,0.09248569941281304
AR,trn,pet,0.19843994588669006
AR,trn,cep,0.04385207339848331
AR,trn,mot,0.09566195105125379
AR,trn,alt,0.05764762377834994
AR,trn,pmt,0.182856838316973
AR,trn,wpd,0.10052114713494369
AR,trn,che,0.2293473009754379
AR,trn,mmf,0.08261272161116978
AR,trn,min,0.28778419594631005
AR,trd,ppd,0.7594289518820946
AR,trd,fbp,4.507330820704404
AR,trd,agr,1.6421117701143046
AR,trd,eec,0.683646387715337
AR,trd,pub,0.4831638455702216
AR,trd,tex,0.49262920481213374
AR,trd,nmp,0.29511415857002216
AR,trd,ote,0.16893821728863745
AR,trd,mch,1.3207424721461833
AR,trd,oil,0.05781009154603125
AR,trd,pla,0.7948191060893708
AR,trd,fof,0.15604068994146655
AR,trd,mov,0.021354631704975494
AR,trd,fpd,0.5911932323720017
AR,trd,pri,0.08505595263331732
AR,trd,fmt,0.878285292649258
AR,trd,pet,0.9289765395580697
AR,trd,cep,1.061064175876067
AR,trd,mot,1.586792686607627
AR,trd,alt,1.9932212747009996
AR,trd,pmt,0.4488130683568561
AR,trd,wpd,0.41380136594236655
AR,trd,che,2.838045103360364
AR,trd,mmf,1.1489452861032308
AR,trd,min,0.06340804841045626
AZ,trn,ppd,0.1706160081952588
AZ,trn,fbp,0.4738197234184758
AZ,trn,agr,0.7075537003612437
AZ,trn,eec,0.11868935746433094
AZ,trn,pub,0.07129668214030628
AZ,trn,tex,0.06396271368337192
AZ,trn,nmp,0.4149476693410853
AZ,trn,ote,0.12845135049296408
AZ,trn,mch,0.15846958476204695
AZ,trn,oil,0.13762935193283984
AZ,trn,pla,0.09868363427833217
AZ,trn,fof,0.05554289643432903
AZ,trn,mov,0.0011178001947505759
AZ,trn,fpd,0.27020591143507916
AZ,trn,pri,0.05403025175007398
AZ,trn,fmt,0.18423034286908624
AZ,trn,pet,0.6123773843619411
AZ,trn,cep,0.22672449786954532
AZ,trn,mot,0.17989709295077116
AZ,trn,alt,0.1379897419688764
AZ,trn,pmt,0.16399638680344394
AZ,trn,wpd,0.11769234820344356
AZ,trn,che,0.5436288661028916
AZ,trn,mmf,0.31433796500114225
AZ,trn,min,0.6353486568985353
AZ,trd,ppd,0.887463806941889
AZ,trd,fbp,9.778400913368458
AZ,trd,agr,1.623432665715773
AZ,trd,eec,1.490430827619373
AZ,trd,pub,1.3794346478637545
AZ,trd,tex,1.001956075311532
AZ,trd,nmp,0.7685353150055707
AZ,trd,ote,0.7640744082793115
AZ,trd,mch,1.6600008840642855
AZ,trd,oil,0.04248510512985889
AZ,trd,pla,1.7132508998558822
AZ,trd,fof,0.12301423555638048
AZ,trd,mov,0.07086550007881148
AZ,trd,fpd,1.4011604963767796
AZ,trd,pri,0.25650004415760863
AZ,trd,fmt,1.7495331886870256
AZ,trd,pet,2.8667827986257013
AZ,trd,cep,5.485926293537233
AZ,trd,mot,2.98404316762589
AZ,trd,alt,4.771126220924322
AZ,trd,pmt,0.4025210226653006
AZ,trd,wpd,0.4844876509633443
AZ,trd,che,6.727104417304176
AZ,trd,mmf,4.371688961310214
AZ,trd,min,0.13998759821285187
CA,trn,ppd,1.3247461146843653
CA,trn,fbp,3.2180083904178134
CA,trn,agr,7.607725030709054
CA,trn,eec,0.9141151962894771
CA,trn,pub,0.9829759646406785
CA,trn,tex,0.49484132090959576
CA,trn,nmp,2.9616015409270084
CA,trn,ote,0.5210059936542567
CA,trn,mch,1.565567845980071
CA,trn,oil,6.854073778763231
CA,trn,pla,0.7410685442857826
CA,trn,fof,0.6429735198399427
CA,trn,mov,0.031939646696015796
CA,trn,fpd,1.6963208577311637
CA,trn,pri,0.4785032813412649
CA,trn,fmt,1.419931782736249
CA,trn,pet,4.077097156923704
CA,trn,cep,2.4680043463206958
CA,trn,mot,1.2204760587294317
CA,trn,alt,1.0532953003447092
CA,trn,pmt,1.0604756218169813
CA,trn,wpd,0.8654375522484796
CA,trn,che,4.701582212981707
CA,trn,mmf,1.9900931990612711
CA,trn,min,3.300305747284126
CA,trd,ppd,6.890702945199566
CA,trd,fbp,66.41128393107729
CA,trd,agr,17.455395004408793
CA,trd,eec,11.478918562303392
CA,trd,pub,19.01843203550823
CA,trd,tex,7.751535844068575
CA,trd,nmp,5.485258844305934
CA,trd,ote,3.0991293184819892
CA,trd,mch,16.39963916288341
CA,trd,oil,2.1157989990439137
CA,trd,pla,12.865723477223803
CA,trd,fof,1.424032614496858
CA,trd,mov,2.0248869575110193
CA,trd,fpd,8.796320415084429
CA,trd,pri,2.27161837707756
CA,trd,fmt,13.484303078857556
CA,trd,pet,19.086518046339915
CA,trd,cep,59.71692544594465
CA,trd,mot,20.24464756247704
CA,trd,alt,36.41868412932087
CA,trd,pmt,2.6028849789050823
CA,trd,wpd,3.5626258898287864
CA,trd,che,58.179461109193205
CA,trd,mmf,27.677434605403377
CA,trd,min,0.7271627474364167
CO,trn,ppd,0.15820090943499934
CO,trn,fbp,0.49382185434216674
CO,trn,agr,0.931959800756073
CO,trn,eec,0.1353649383948864
CO,trn,pub,0.10908239040153873
CO,trn,tex,0.058080903956824144
CO,trn,nmp,0.5001387948567366
CO,trn,ote,0.07191102201826574
CO,trn,mch,0.20279145234767973
CO,trn,oil,0.5860904912922537
CO,trn,pla,0.09783749671865548
CO,trn,fof,0.06218845203912416
CO,trn,mov,0.001139379392704677
CO,trn,fpd,0.2906914975826639
CO,trn,pri,0.05743180225938508
CO,trn,fmt,0.1974941867189187
CO,trn,pet,0.5843387925541365
CO,trn,cep,0.19711829436928527
CO,trn,mot,0.15037958991379913
CO,trn,alt,0.12316002559164857
CO,trn,pmt,0.11028745035198596
CO,trn,wpd,0.13831577907225504
CO,trn,che,0.4909245805807236
CO,trn,mmf,0.26685855083325843
CO,trn,min,0.5035068322435303
CO,trd,ppd,0.8228863330818157
CO,trd,fbp,10.191192626390484
CO,trd,agr,2.1383168272725004
CO,trd,eec,1.6998329207668632
CO,trd,pub,2.110505345754603
CO,trd,tex,0.90981934986686
CO,trd,nmp,0.9263200028622753
CO,trd,ote,0.4277523855257292
CO,trd,mch,2.1242813924407513
CO,trd,oil,0.18092155334941024
CO,trd,pla,1.6985610685974457
CO,trd,fof,0.13773255229987005
CO,trd,mov,0.07223356269098365
CO,trd,fpd,1.5073890903504372
CO,trd,pri,0.2726483652847897
CO,trd,fmt,1.8754925429576408
CO,trd,pet,2.735522966461825
CO,trd,cep,4.769561490615302
CO,trd,mot,2.494421563307045
CO,trd,alt,4.258374710219844
CO,trd,pmt,0.27069509376469814
CO,trd,wpd,0.5693852482069947
CO,trd,che,6.074918240200158
CO,trd,mmf,3.711363916556364
CO,trd,min,0.11093863403065242
CT,trn,ppd,0.14103965527555437
CT,trn,fbp,0.2903422155615682
CT,trn,agr,0.4173683237876498
CT,trn,eec,0.10607631230307255
CT,trn,pub,0.07040569623233722
CT,trn,tex,0.048421043265314795
CT,trn,nmp,0.23845419990026887
CT,trn,ote,0.15047244474763233
CT,trn,mch,0.19311492010837736
CT,trn,oil,0.14909710472317464
CT,trn,pla,0.07189345106877978
CT,trn,fof,0.024660002161138686
CT,trn,mov,0.001815093644143837
CT,trn,fpd,0.16018247470188712
CT,trn,pri,0.04726339042240323
CT,trn,fmt,0.1675944702457541
CT,trn,pet,0.36696092992476
CT,trn,cep,0.12198562323492201
CT,trn,mot,0.11829499599808813
CT,trn,alt,0.08538465222302478
CT,trn,pmt,0.19694487517348383
CT,trn,wpd,0.06472180678751425
CT,trn,che,0.4302532787013124
CT,trn,mmf,0.24042337776456463
CT,trn,min,0.2681588585827187
CT,trd,ppd,0.7336216028297244
CT,trd,fbp,5.991904611638957
CT,trd,agr,0.9576225382270959
CT,trd,eec,1.3320436584568438
CT,trd,pub,1.3621960219513707
CT,trd,tex,0.7585006276120069
