r,g,value
AL,ppd,1.8350452233
AL,res,7.8187052697
AL,com,3.2064208638
AL,amb,8.2844564296
AL,fbp,6.3926235746
AL,rec,1.207728871
AL,con,11.9942814705
AL,agr,1.95629645
AL,eec,0.7761572181
AL,fnd,1.7491987716
AL,pub,1.8257347414
AL,hou,15.8664276332
AL,ins,6.4972161408
AL,tex,0.518335099
AL,leg,2.3121497587
AL,fen,0.4210481691
AL,uti,0.7482981857
AL,nmp,0.8077372307
AL,brd,6.3429804396
AL,bnk,5.5467016185
AL,ore,7.6882299619
AL,edu,3.0368035258
AL,ote,3.1782420112
AL,man,4.4556357981
AL,mch,1.8148204436
AL,dat,2.7402111931
AL,amd,1.2125351507
AL,oil,1.7825774407
AL,hos,8.6111518522
AL,rnt,2.1877604301
AL,pla,2.3538358272
AL,fof,0.3663012342
AL,fin,1.5636299563
AL,tsv,12.1248966068
AL,nrs,2.2610245887
AL,sec,3.4418472039
AL,art,1.0787463897
AL,mov,0.6560001668
AL,fpd,0.5959185403
AL,slg,8.0151929262
AL,pri,0.5901866303
AL,grd,0.7999570239
AL,pip,0.0003319849
AL,sle,0.7610415483
AL,osv,6.651916038
AL,trn,0.0793518981
AL,smn,0.0471322745
AL,fmt,2.5210861567
AL,pet,3.187313873
AL,cep,1.4652448234
AL,wst,1.0744434611
AL,mot,5.4079518378
AL,adm,6.2163104098
AL,soc,1.8746848548
AL,alt,0.1107427722
AL,pmt,3.1565548611
AL,trk,0.3781483878
AL,fdd,2.7484632725
AL,wtt,0.1431671644
AL,wpd,0.9592613223
AL,wht,0.7659731602
AL,wrh,1.1008394839
AL,ott,0.0649061693
AL,che,4.7796431046
AL,air,1.4197902991
AL,mmf,0.8599645999
AL,otr,1.5995011892
AL,min,0.979841416
AK,ppd,0.3001500951
AK,res,1.3231442087
AK,com,1.0693846551
AK,amb,2.0115740081
AK,fbp,0.846476359
AK,rec,0.3739950816
AK,con,4.9371269352
AK,agr,0.7805242778
AK,eec,0.1945998914
AK,fnd,1.9191941296
AK,pub,0.4545216112
AK,hou,2.9262062082
AK,ins,1.5301452286
AK,tex,0.0530986328
AK,leg,0.5845345754
AK,fen,0.1086471206
AK,uti,0.1736937762
AK,nmp,0.2487190768
AK,brd,1.2962447236
AK,bnk,1.4600269564
AK,ore,1.509423933
AK,edu,0.5748362399
AK,ote,0.6930618008
AK,man,1.4751987426
AK,mch,0.5103486887
AK,dat,0.7312325652
AK,amd,0.3839688989
AK,oil,0.0669837864
AK,hos,1.8287064273
AK,rnt,0.8684233299
AK,pla,0.4576761745
AK,fof,2.0252951546
AK,fin,0.2044359045
AK,tsv,3.8288911376
AK,nrs,0.4693166451
AK,sec,1.0610760665
AK,art,0.3295375022
AK,mov,0.1721003653
AK,fpd,0.1373353341
AK,slg,6.7996988279
AK,pri,0.1519150735
AK,grd,0.1953584614
AK,pip,0.0037113573
AK,sle,0.1966951888
AK,osv,1.2374604093
AK,trn,0.02692582
AK,smn,0.0584266746
AK,fmt,0.7744739935
AK,pet,0.1189454238
AK,cep,0.4206567878
AK,wst,0.2894001338
AK,mot,0.6858062386
AK,adm,1.6719014811
AK,soc,0.5778765987
AK,alt,0.014986751
AK,pmt,0.1175331201
AK,trk,0.0795649336
AK,fdd,2.9889099363
AK,wtt,0.0425917235
AK,wpd,0.107296238
AK,wht,0.0747781066
AK,wrh,0.2380798573
AK,ott,0.0075759035
AK,che,1.1211786493
AK,air,0.2322642475
AK,mmf,0.1965755384
AK,otr,0.4723545931
AK,min,0.0080814609
AR,ppd,0.6033614465
AR,res,4.1456287715
AR,com,1.5977877915
AR,amb,5.4131289858
AR,fbp,3.4882642827
AR,rec,0.7298563001
AR,con,7.9464274757
AR,agr,1.3151549042
AR,eec,0.4155936597
AR,fnd,1.4292634169
AR,pub,0.9486921581
AR,hou,9.1443774864
AR,ins,4.7147850117
AR,tex,0.2479878447
AR,leg,1.523815591
AR,fen,0.2694443031
AR,uti,0.4131189786
AR,nmp,0.3229506744
AR,brd,2.8347391283
AR,bnk,4.2376038437
AR,ore,4.9395652084
AR,edu,2.0667676252
AR,ote,0.8400506813
AR,man,2.0241806296
AR,mch,1.2143175236
AR,dat,1.3212285206
AR,amd,0.6248644477
AR,oil,0.4317809504
AR,hos,5.8395420521
AR,rnt,1.4036650732
AR,pla,0.9042685185
AR,fof,0.1561656873
AR,fin,1.3239368042
AR,tsv,7.5339125674
AR,nrs,1.2874604285
AR,sec,2.3718265392
AR,art,0.5979095218
AR,mov,0.3470165339
AR,fpd,0.2804480099
AR,slg,8.1780242431
AR,pri,0.2628156683
AR,grd,0.3713294405
