r,g,m,value
AL,fbt,trd,1.7779887073100848
AL,pip,trn,0.42395260258047857
AL,trn,trn,0.5882836099624194
AL,mvt,trd,2.1281864693616557
AL,trk,trn,2.432285037977782
AL,gmt,trd,1.5668736151393134
AL,wtt,trn,0.18232910460363944
AL,wht,trd,14.18251250441199
AL,ott,trd,7.303585452613029
AL,air,trn,0.05373157910402023
AL,otr,trn,0.026288661444608723
AK,fbt,trd,0.27530026335945257
AK,pip,trn,0.08523642387156752
AK,trn,trn,0.21614817641023903
AK,mvt,trd,0.3295241938739191
AK,trk,trn,0.48901522767321776
AK,gmt,trd,0.2426116190307165
AK,wtt,trn,0.03665759037572845
AK,wht,trd,2.1959922532187406
AK,ott,trd,1.1308727610618994
AK,air,trn,0.010802829429333511
AK,otr,trn,0.005285382083445151
AR,fbt,trd,0.8997194585890427
AR,pip,trn,0.2604905504103457
AR,trn,trn,0.3061420963393424
AR,mvt,trd,1.0769307870843834
AR,trk,trn,1.2657582632106705
AR,gmt,trd,0.792888433371099
AR,wtt,trn,0.1564660468111092
AR,wht,trd,7.1768073775940255
AR,ott,trd,3.6958490918231544
AR,air,trn,0.027961850352381544
AR,otr,trn,0.013680588390218601
AZ,fbt,trd,1.8505754575737192
AZ,pip,trn,0.5287186384944177
AZ,trn,trn,0.5081253950095236
AZ,mvt,trd,2.2150701144213083
AZ,trk,trn,2.1008672938842654
AZ,gmt,trd,1.6308415488664423
AZ,wtt,trn,0.28975268313214564
AZ,wht,trd,14.761516459294299
AZ,ott,trd,7.601755812806141
AZ,air,trn,0.04641023376201127
AZ,otr,trn,0.022706626964614517
CA,fbt,trd,8.385518542301792
CA,pip,trn,5.031440131733581
CA,trn,trn,6.160930338819506
CA,mvt,trd,10.03715435701897
CA,trk,trn,10.240875355407024
CA,gmt,trd,7.3898375727437475
CA,wtt,trn,0.7676771450525595
CA,wht,trd,66.88890716415136
CA,ott,trd,34.44586064375437
CA,air,trn,0.2262310525541662
CA,otr,trn,0.11068559026230029
CO,fbt,trd,1.7371935952907704
CO,pip,trn,0.37701674931434986
CO,trn,trn,0.5231546473661274
CO,mvt,trd,2.0793562349182952
CO,trk,trn,2.1630064135535947
CO,gmt,trd,1.530922439303994
CO,wtt,trn,0.3080618493836726
CO,wht,trd,13.857101446426055
CO,ott,trd,7.136008130295412
CO,air,trn,0.047782948296629574
CO,otr,trn,0.02337823997622568
CT,fbt,trd,1.5723402770997175
CT,pip,trn,0.3019608707315843
CT,trn,trn,0.47418266837235556
CT,mvt,trd,1.8820329337290804
CT,trk,trn,1.7323986300939256
CT,gmt,trd,1.3856434993536304
CT,wtt,trn,0.12986417550149082
CT,wht,trd,12.542113203235452
