r,s,value
AK,eec,0.0075564414470167705
AK,fof,1.8736995327152606
AK,pmt,6.669387513102629e-05
AZ,eec,0.07787572446010294
AZ,oil,0.18226979584349495
CT,oil,0.0017397503324032438
DE,mch,0.05927741497156036
DE,mot,0.7261642492527737
DC,eec,0.15738375187428313
DC,ote,0.4991951456368929
DC,pla,0.0013563737011038557
DC,fmt,0.07365036430452
DC,cep,0.09792228104194274
DC,mot,0.02447528620434331
HI,ote,0.10988230238980923
IN,oil,0.4496244152687118
KY,pub,1.8164311765891819
KY,ote,8.636195668189286
KY,cep,0.1339319953178063
KY,alt,0.02488569398830115
LA,min,0.1595747372020639
ME,oil,0.21960495978434386
MD,mot,0.06920552033455518
MA,pmt,0.0703885508963209
MI,oil,1.0990832212507666
MS,cep,0.5956237691788359
MS,mmf,0.06107466985677279
NE,oil,0.18013418779267587
NV,cep,0.2063903029461227
NV,alt,0.005587160369345229
NV,pmt,3.395760581859185
NH,ote,0.1168240395758039
NH,oil,0.00012196249858078753
NJ,ote,0.31874892692747303
NJ,mot,0.14007466063316187
NM,cep,0.1987566146742591
NM,mot,0.03791530549507782
NY,oil,0.30120319502158693
NY,mmf,7.373830838607591
ND,eec,0.009649104831856041
ND,fmt,0.07403749174258917
OH,alt,0.10496215751773258
OR,mch,0.09344424287868147
OR,oil,0.0005809504569574036
OR,alt,0.09670697187386051
OR,che,0.7830945266942662
SC,ote,2.1836286230211597
TN,pub,4.980545148417942
TN,cep,2.2942642065651375
TX,eec,2.5005053263545696
TX,tex,0.340573835443605
TX,cep,0.6157879067376619
VT,cep,0.3287943807194914
WA,oil,0.34382233898819653
WI,oil,0.0013403028946842362
