r,s,value
AL,ppd,9.208136219498186
AL,res,6.101739637869628
AL,com,4.535317377586497
AL,amb,14.66367875812543
AL,fbp,9.242416036513172
AL,rec,1.595000873426543
AL,con,17.89695754148901
AL,agr,5.1897495343974205
AL,eec,1.3976929000533793
AL,fnd,5.764892844929067
AL,pub,1.1273854286668725
AL,hou,20.57505264281885
AL,fbt,2.7845992721496424
AL,ins,8.710472016124296
AL,tex,1.456942222348486
AL,leg,3.3652404726390257
AL,fen,1.0758548007321311
AL,uti,11.589495282388159
AL,nmp,2.0573554985798874
AL,brd,4.702745402035917
AL,bnk,9.876448553413347
AL,ore,12.970202009227775
AL,edu,3.5726048549817357
AL,ote,7.136160673357434
AL,man,3.2179959829868077
AL,mch,2.4461705012275115
AL,dat,1.1523476758976445
AL,amd,2.17023050825603
AL,oil,0.5528335002557275
AL,hos,11.796862793301633
AL,rnt,3.669365904136926
AL,pla,4.478206640680365
AL,fof,0.969763303419255
AL,fin,0.7864503266343619
AL,tsv,17.414266189579035
AL,nrs,2.0775567943885958
AL,sec,1.695797778750527
AL,art,0.7197962526754654
AL,mov,0.19148508793250268
AL,fpd,2.1744844956469187
AL,slg,36.31087298847854
AL,pri,0.41356782048362356
AL,grd,0.5256725048059533
AL,pip,0.4240708111736014
AL,sle,2.2288946640851495
AL,osv,9.54089948992332
AL,trn,1.2749974899512067
AL,smn,0.3590320028398032
AL,fmt,5.693945569531287
AL,pet,5.760728583106414
AL,mvt,3.2857642549146795
AL,cep,1.3891514003875003
AL,wst,1.4624716417897876
AL,mot,23.408993513706275
AL,adm,8.545780602870414
AL,soc,2.5469019260454675
AL,alt,0.17514653014526912
AL,pmt,13.28430922663554
AL,trk,4.945672702780321
AL,fdd,11.405065858842336
AL,gmt,2.413589564081844
AL,wtt,0.39062804509926646
AL,wpd,4.176040003120829
AL,wht,19.433250128119493
AL,wrh,1.4556474630601137
AL,ott,11.275588050887484
AL,che,7.576582602264835
AL,air,0.28293134901289446
AL,mmf,0.8991656657614348
AL,otr,2.881722950905187
AL,min,2.2363747707805337
AK,ppd,0.009193275479552464
AK,res,3.0825900564439093
AK,com,0.39801816336762086
AK,amb,3.3467385492983897
AK,fbp,2.911378426236272
AK,rec,0.6861218913039748
AK,con,5.403889570059263
AK,agr,0.048814537772555955
AK,eec,0.003588027695051993
AK,fnd,1.7631801679017622
AK,pub,0.09748286214004254
AK,hou,4.363907392319473
AK,fbt,0.4810828237897855
AK,ins,0.7720397780794274
AK,tex,0.01198485835083692
AK,leg,0.23842935585960792
AK,fen,0.32904789372822
AK,uti,2.717447927026156
AK,nmp,0.10685484458465586
AK,brd,1.8232379877802007
AK,bnk,1.277552888170002
AK,ore,2.796569501059369
AK,edu,1.3156216603373683
AK,ote,0.09634712914646575
AK,man,0.537420760345731
AK,mch,0.037289984147472116
AK,dat,0.17963183345839825
AK,amd,0.5821207234773889
AK,oil,6.689502246835137
AK,hos,4.825224722651621
AK,rnt,0.9436143447987986
AK,pla,0.0219247278095828
AK,fof,0.6172483852998982
AK,fin,0.38801715917995977
AK,tsv,3.666971028382989
AK,nrs,0.6862095651149254
AK,sec,0.21086396338585614
AK,art,0.2967972087357068
AK,mov,0.04545369239079681
AK,fpd,0.02531594662040633
AK,slg,19.157174700465816
AK,pri,0.05498615239656868
AK,grd,0.41134357408052036
AK,pip,5.182495151308425
AK,sle,1.144286533077373
AK,osv,1.657858974055504
AK,trn,0.0012862444813173226
AK,smn,2.5912905367295447
AK,fmt,0.09032593712040642
AK,pet,3.4420202162857563
AK,mvt,0.5227123616423609
AK,cep,0.016688621399434528
AK,wst,0.6708098446238171
AK,mot,0.016169624896310707
AK,adm,1.399012793623471
AK,soc,0.34332091124974695
AK,alt,0.01706085136750539
AK,pmt,0.006303480222950394
AK,trk,0.5885633325529926
AK,fdd,2.8290843395076277
AK,gmt,0.39339932617459566
AK,wtt,1.0714196905985105
AK,wpd,0.13112763696166932
