r,h,value
AL,hh1,0.8691492853193732
AL,hh2,1.5198510159687146
AL,hh3,3.193985418859247
AL,hh4,7.187451582170027
AL,hh5,23.002026526026633
AK,hh1,0.3585201105376369
AK,hh2,0.601673977025084
AK,hh3,0.7673301049278233
AK,hh4,3.553740395181238
AK,hh5,12.194623811641984
AR,hh1,0.8537561930673117
AR,hh2,2.052570567407678
AR,hh3,1.9595982427720038
AR,hh4,6.821266888170988
AR,hh5,10.898767267042006
AZ,hh1,1.3120144204918591
AZ,hh2,5.196157782094649
AZ,hh3,5.966470072612974
AZ,hh4,17.16175266414034
AZ,hh5,20.460952964705765
CA,hh1,0.6297251653696728
CA,hh2,37.98798141372746
CA,hh3,36.18324028783467
CA,hh4,116.86065885193271
CA,hh5,253.58243508181607
CO,hh1,1.577025998704275
CO,hh2,5.636655736672786
CO,hh3,5.593505302730092
CO,hh4,16.032023523196518
CO,hh5,28.748114093867294
CT,hh1,0.014197905040000004
CT,hh2,1.5125967128492654
CT,hh3,3.090709116322637
CT,hh4,8.440419392494308
CT,hh5,18.773009399682422
DE,hh1,0.0027348410220000004
DE,hh2,0.40181331949354243
DE,hh3,0.5306731813560895
DE,hh4,1.1916122074872788
DE,hh5,3.2088549402682736
DC,hh1,0.2420271899488536
DC,hh2,0.3661961441214899
DC,hh3,0.6892178921256844
DC,hh4,2.4114759840358695
DC,hh5,14.447151159488481
FL,hh1,0.07822188591000001
FL,hh2,16.668552417961443
FL,hh3,17.763787079837645
FL,hh4,52.38691693327518
FL,hh5,79.11536477426023
GA,hh1,2.309517423806814
GA,hh2,3.7939938162825637
GA,hh3,8.015074203251354
GA,hh4,24.845194758314125
GA,hh5,39.374953336251195
HI,hh1,0.49658268590293986
HI,hh2,0.9358798507461346
HI,hh3,1.456389265583867
HI,hh4,6.288756750455527
HI,hh5,32.87895153445863
ID,hh1,0.20813676676595658
ID,hh2,1.4925477628798833
ID,hh3,1.348988726779577
ID,hh4,3.8731378947225683
ID,hh5,5.782558244419623
IL,hh1,3.2743752328555575
IL,hh2,8.879010346507513
IL,hh3,12.953925053462731
IL,hh4,27.760793756118062
IL,hh5,57.78248413588176
IN,hh1,1.2825115853514402
IN,hh2,2.9052627389334065
IN,hh3,3.824339699210754
IN,hh4,9.441773853769899
IN,hh5,24.11170661335683
IA,hh1,0.2922682177233526
IA,hh2,1.2766526604132529
IA,hh3,3.0194522135226878
IA,hh4,9.862419038074203
IA,hh5,19.391080678493328
KS,hh1,0.8366152603507963
KS,hh2,2.2839059392272447
KS,hh3,3.4056015619171753
KS,hh4,16.929770976319656
KS,hh5,33.45361751234405
KY,hh1,1.1524492049186985
KY,hh2,3.662096440579144
KY,hh3,5.217088165087055
KY,hh4,13.478756427728563
KY,hh5,33.71158736772512
LA,hh1,1.928648331193244
LA,hh2,2.744238968122478
LA,hh3,3.2987594648687284
LA,hh4,9.841911927990894
LA,hh5,15.260878718298496
ME,hh1,0.2922607101535132
ME,hh2,1.2622567271987803
ME,hh3,1.9469918006944105
ME,hh4,4.435310895533412
ME,hh5,6.7805033400016805
MD,hh1,2.352379476843972
MD,hh2,4.334736147764841
MD,hh3,5.413634338853734
MD,hh4,16.15670126332039
MD,hh5,97.31169460190567
MA,hh1,0.013791385392
MA,hh2,3.5160865786733777
MA,hh3,5.118276669066193
MA,hh4,18.98635535215367
MA,hh5,44.360739596954915
MI,hh1,2.268789657897992
MI,hh2,8.077555716316969
MI,hh3,7.401414237188891
MI,hh4,17.911873320957532
MI,hh5,29.751345312243217
MN,hh1,1.7216180667403622
MN,hh2,4.364552265498654
MN,hh3,7.287604215108181
MN,hh4,20.26807925003932
MN,hh5,26.95683214017163
MS,hh1,1.1022363624845262
