r,s,value
AL,ppd,0.024181812552249445
AL,res,0.06480130615496923
AL,com,0.007745899947071871
AL,amb,0.0003357905700044926
AL,fbp,0.05742390921168677
AL,rec,0.04487686254929427
AL,con,0.001142195903068476
AL,agr,-0.004669914686296619
AL,eec,0.023659753790794005
AL,pub,0.025810205629617312
AL,hou,-0.01891231079153209
AL,ins,0.01628854038863821
AL,tex,0.04186702944150619
AL,leg,0.0447652253818886
AL,uti,0.048304507716533385
AL,nmp,0.024513184871647095
AL,brd,0.03923984592671528
AL,bnk,-0.0005890221800293433
AL,ore,-8.773939071593016e-05
AL,edu,0.0012152554009159135
AL,ote,0.00879700740065702
AL,man,0.002755771780458675
AL,mch,0.020174630498809795
AL,dat,0.004996653882782939
AL,amd,0.07719354525539127
AL,oil,0.023685190136894366
AL,hos,0.001702633254502456
AL,rnt,0.047248688074054
AL,pla,0.023476277421116593
AL,fof,0.009338558479149049
AL,fin,0.0002037609990723512
AL,tsv,0.003602307352093114
AL,nrs,0.011422203649533362
AL,sec,0.0027033331389488243
AL,art,0.02969636302969636
AL,mov,0.02255420686793236
AL,fpd,0.04102741403402625
AL,pri,0.011760281699770947
AL,grd,0.010616155382861448
AL,pip,0.27499999999999997
AL,osv,0.02066587702735983
AL,trn,-0.18495788206979544
AL,fmt,0.023799669722214256
AL,pet,0.13375012319896426
AL,cep,0.022472710527420496
AL,wst,0.013172511108442418
AL,mot,0.02900994363677194
AL,adm,0.006787423369145347
AL,soc,0.0036128952569169964
AL,alt,0.058381414062390856
AL,pmt,0.005509321604226614
AL,trk,0.007211726895038014
AL,wtt,0.006111003674337654
AL,wpd,0.023412874347870965
AL,wrh,0.001261151852024849
AL,che,0.0216368487131199
AL,air,0.09480525741433037
AL,mmf,0.034213696773464856
AL,otr,0.001466712681182154
AL,min,0.028620397510931064
AK,ppd,0.024181812552249445
AK,res,0.06480130615496923
AK,com,0.007745899947071871
AK,amb,0.0003357905700044926
AK,fbp,0.05742390921168677
AK,rec,0.04487686254929427
AK,con,0.001142195903068476
AK,agr,-0.004669914686296619
AK,eec,0.023659753790794005
AK,pub,0.025810205629617312
AK,hou,-0.01891231079153209
AK,ins,0.01628854038863821
AK,tex,0.04186702944150619
AK,leg,0.0447652253818886
AK,uti,0.048304507716533385
AK,nmp,0.024513184871647095
AK,brd,0.03923984592671528
AK,bnk,-0.0005890221800293433
AK,ore,-8.773939071593016e-05
AK,edu,0.0012152554009159135
AK,ote,0.00879700740065702
AK,man,0.002755771780458675
AK,mch,0.020174630498809795
AK,dat,0.004996653882782939
AK,amd,0.07719354525539127
AK,oil,0.023685190136894366
AK,hos,0.001702633254502456
AK,rnt,0.047248688074054
AK,pla,0.023476277421116593
AK,fof,0.009338558479149049
AK,fin,0.0002037609990723512
AK,tsv,0.003602307352093114
AK,nrs,0.011422203649533362
AK,sec,0.0027033331389488243
AK,art,0.02969636302969636
AK,mov,0.02255420686793236
AK,fpd,0.04102741403402625
AK,pri,0.011760281699770947
AK,grd,0.010616155382861448
AK,pip,0.27499999999999997
AK,osv,0.02066587702735983
AK,trn,-0.18495788206979544
AK,fmt,0.023799669722214256
AK,pet,0.13375012319896426
AK,cep,0.022472710527420496
AK,wst,0.013172511108442418
AK,mot,0.02900994363677194
AK,adm,0.006787423369145347
AK,soc,0.0036128952569169964
AK,alt,0.058381414062390856
AK,pmt,0.005509321604226614
AK,trk,0.007211726895038014
AK,wtt,0.006111003674337654
AK,wpd,0.023412874347870965
AK,wrh,0.001261151852024849
AK,che,0.0216368487131199
AK,air,0.09480525741433037
AK,mmf,0.034213696773464856
AK,otr,0.001466712681182154
AK,min,0.028620397510931064
AR,ppd,0.024181812552249445
AR,res,0.06480130615496923
AR,com,0.007745899947071871
AR,amb,0.0003357905700044926
AR,fbp,0.05742390921168677
AR,rec,0.04487686254929427
AR,con,0.001142195903068476
AR,agr,-0.004669914686296619
AR,eec,0.023659753790794005
AR,pub,0.025810205629617312
AR,hou,-0.01891231079153209
AR,ins,0.01628854038863821
AR,tex,0.04186702944150619
AR,leg,0.0447652253818886
AR,uti,0.048304507716533385
AR,nmp,0.024513184871647095
AR,brd,0.03923984592671528
AR,bnk,-0.0005890221800293433
AR,ore,-8.773939071593016e-05
AR,edu,0.0012152554009159135
AR,ote,0.00879700740065702
AR,man,0.002755771780458675
AR,mch,0.020174630498809795
AR,dat,0.004996653882782939
AR,amd,0.07719354525539127
AR,oil,0.023685190136894366
AR,hos,0.001702633254502456
AR,rnt,0.047248688074054
AR,pla,0.023476277421116593
AR,fof,0.009338558479149049
AR,fin,0.0002037609990723512
AR,tsv,0.003602307352093114
AR,nrs,0.011422203649533362
AR,sec,0.0027033331389488243
AR,art,0.02969636302969636
AR,mov,0.02255420686793236
AR,fpd,0.04102741403402625
AR,pri,0.011760281699770947
AR,grd,0.010616155382861448
AR,pip,0.27499999999999997
AR,osv,0.02066587702735983
AR,trn,-0.18495788206979544
AR,fmt,0.023799669722214256
AR,pet,0.13375012319896426
AR,cep,0.022472710527420496
AR,wst,0.013172511108442418
AR,mot,0.02900994363677194
AR,adm,0.006787423369145347
AR,soc,0.0036128952569169964
AR,alt,0.058381414062390856
AR,pmt,0.005509321604226614
AR,trk,0.007211726895038014
AR,wtt,0.006111003674337654
AR,wpd,0.023412874347870965
AR,wrh,0.001261151852024849
AR,che,0.0216368487131199
AR,air,0.09480525741433037
AR,mmf,0.034213696773464856
AR,otr,0.001466712681182154
AR,min,0.028620397510931064
AZ,ppd,0.024181812552249445
AZ,res,0.06480130615496923
AZ,com,0.007745899947071871
AZ,amb,0.0003357905700044926
AZ,fbp,0.05742390921168677
AZ,rec,0.04487686254929427
AZ,con,0.001142195903068476
AZ,agr,-0.004669914686296619
AZ,eec,0.023659753790794005
AZ,pub,0.025810205629617312
AZ,hou,-0.01891231079153209
AZ,ins,0.01628854038863821
AZ,tex,0.04186702944150619
AZ,leg,0.0447652253818886
AZ,uti,0.048304507716533385
