r,s,value
AL,ppd,0.005214833303619184
AL,fbp,0.011941604242987588
AL,agr,0.0010692068429237946
AL,eec,0.02101181533964026
AL,tex,0.06426666666666667
AL,nmp,0.03337874659400545
AL,ote,0.004959892229502174
AL,mch,0.009146534980259734
AL,oil,0.0009412856051511514
AL,pla,0.029797163884401363
AL,fof,0.0005584096493187402
AL,fpd,0.0017488954344624446
AL,pri,0.0003847633705271258
AL,fmt,0.02588793414913838
AL,pet,0.0026420330349166523
AL,cep,0.0027753933323829256
AL,mot,0.012766883177424868
AL,alt,0.1457392594503935
AL,pmt,0.004656767375014121
AL,wpd,0.011025567911795457
AL,che,0.008661387425167385
AL,mmf,0.015563827738912779
AL,min,0.0005866249511145875
AK,ppd,0.005214833303619184
AK,fbp,0.011941604242987588
AK,agr,0.0010692068429237946
AK,eec,0.02101181533964026
AK,tex,0.06426666666666667
AK,nmp,0.03337874659400545
AK,ote,0.004959892229502174
AK,mch,0.009146534980259734
AK,oil,0.0009412856051511514
AK,pla,0.029797163884401363
AK,fof,0.0005584096493187402
AK,fpd,0.0017488954344624446
AK,pri,0.0003847633705271258
AK,fmt,0.02588793414913838
AK,pet,0.0026420330349166523
AK,cep,0.0027753933323829256
AK,mot,0.012766883177424868
AK,alt,0.1457392594503935
AK,pmt,0.004656767375014121
AK,wpd,0.011025567911795457
AK,che,0.008661387425167385
AK,mmf,0.015563827738912779
AK,min,0.0005866249511145875
AR,ppd,0.005214833303619184
AR,fbp,0.011941604242987588
AR,agr,0.0010692068429237946
AR,eec,0.02101181533964026
AR,tex,0.06426666666666667
AR,nmp,0.03337874659400545
AR,ote,0.004959892229502174
AR,mch,0.009146534980259734
AR,oil,0.0009412856051511514
AR,pla,0.029797163884401363
AR,fof,0.0005584096493187402
AR,fpd,0.0017488954344624446
AR,pri,0.0003847633705271258
AR,fmt,0.02588793414913838
AR,pet,0.0026420330349166523
AR,cep,0.0027753933323829256
AR,mot,0.012766883177424868
AR,alt,0.1457392594503935
AR,pmt,0.004656767375014121
AR,wpd,0.011025567911795457
AR,che,0.008661387425167385
AR,mmf,0.015563827738912779
AR,min,0.0005866249511145875
AZ,ppd,0.005214833303619184
AZ,fbp,0.011941604242987588
AZ,agr,0.0010692068429237946
AZ,eec,0.02101181533964026
AZ,tex,0.06426666666666667
AZ,nmp,0.03337874659400545
AZ,ote,0.004959892229502174
AZ,mch,0.009146534980259734
AZ,oil,0.0009412856051511514
AZ,pla,0.029797163884401363
AZ,fof,0.0005584096493187402
AZ,fpd,0.0017488954344624446
AZ,pri,0.0003847633705271258
AZ,fmt,0.02588793414913838
AZ,pet,0.0026420330349166523
AZ,cep,0.0027753933323829256
AZ,mot,0.012766883177424868
AZ,alt,0.1457392594503935
AZ,pmt,0.004656767375014121
AZ,wpd,0.011025567911795457
AZ,che,0.008661387425167385
AZ,mmf,0.015563827738912779
AZ,min,0.0005866249511145875
CA,ppd,0.005214833303619184
CA,fbp,0.011941604242987588
CA,agr,0.0010692068429237946
CA,eec,0.02101181533964026
CA,tex,0.06426666666666667
CA,nmp,0.03337874659400545
CA,ote,0.004959892229502174
CA,mch,0.009146534980259734
CA,oil,0.0009412856051511514
CA,pla,0.029797163884401363
CA,fof,0.0005584096493187402
CA,fpd,0.0017488954344624446
CA,pri,0.0003847633705271258
CA,fmt,0.02588793414913838
CA,pet,0.0026420330349166523
CA,cep,0.0027753933323829256
CA,mot,0.012766883177424868
CA,alt,0.1457392594503935
CA,pmt,0.004656767375014121
CA,wpd,0.011025567911795457
CA,che,0.008661387425167385
CA,mmf,0.015563827738912779
CA,min,0.0005866249511145875
CO,ppd,0.005214833303619184
CO,fbp,0.011941604242987588
CO,agr,0.0010692068429237946
CO,eec,0.02101181533964026
CO,tex,0.06426666666666667
CO,nmp,0.03337874659400545
CO,ote,0.004959892229502174
CO,mch,0.009146534980259734
CO,oil,0.0009412856051511514
CO,pla,0.029797163884401363
CO,fof,0.0005584096493187402
CO,fpd,0.0017488954344624446
CO,pri,0.0003847633705271258
CO,fmt,0.02588793414913838
CO,pet,0.0026420330349166523
CO,cep,0.0027753933323829256
CO,mot,0.012766883177424868
CO,alt,0.1457392594503935
CO,pmt,0.004656767375014121
CO,wpd,0.011025567911795457
CO,che,0.008661387425167385
CO,mmf,0.015563827738912779
CO,min,0.0005866249511145875
CT,ppd,0.005214833303619184
CT,fbp,0.011941604242987588
CT,agr,0.0010692068429237946
CT,eec,0.02101181533964026
CT,tex,0.06426666666666667
CT,nmp,0.03337874659400545
CT,ote,0.004959892229502174
CT,mch,0.009146534980259734
CT,oil,0.0009412856051511514
CT,pla,0.029797163884401363
CT,fof,0.0005584096493187402
CT,fpd,0.0017488954344624446
CT,pri,0.0003847633705271258
CT,fmt,0.02588793414913838
CT,pet,0.0026420330349166523
CT,cep,0.0027753933323829256
CT,mot,0.012766883177424868
CT,alt,0.1457392594503935
CT,pmt,0.004656767375014121
CT,wpd,0.011025567911795457
CT,che,0.008661387425167385
CT,mmf,0.015563827738912779
CT,min,0.0005866249511145875
DE,ppd,0.005214833303619184
DE,fbp,0.011941604242987588
DE,agr,0.0010692068429237946
DE,eec,0.02101181533964026
DE,tex,0.06426666666666667
DE,nmp,0.03337874659400545
DE,ote,0.004959892229502174
DE,mch,0.009146534980259734
DE,oil,0.0009412856051511514
DE,pla,0.029797163884401363
DE,fof,0.0005584096493187402
DE,fpd,0.0017488954344624446
DE,pri,0.0003847633705271258
DE,fmt,0.02588793414913838
DE,pet,0.0026420330349166523
DE,cep,0.0027753933323829256
DE,mot,0.012766883177424868
DE,alt,0.1457392594503935
DE,pmt,0.004656767375014121
DE,wpd,0.011025567911795457
DE,che,0.008661387425167385
DE,mmf,0.015563827738912779
DE,min,0.0005866249511145875
DC,ppd,0.005214833303619184
DC,fbp,0.011941604242987588
DC,agr,0.0010692068429237946
DC,eec,0.02101181533964026
DC,tex,0.06426666666666667
DC,nmp,0.03337874659400545
DC,ote,0.004959892229502174
DC,mch,0.009146534980259734
DC,oil,0.0009412856051511514
DC,pla,0.029797163884401363
DC,fof,0.0005584096493187402
DC,fpd,0.0017488954344624446
DC,pri,0.0003847633705271258
DC,fmt,0.02588793414913838
DC,pet,0.0026420330349166523
DC,cep,0.0027753933323829256
DC,mot,0.012766883177424868
DC,alt,0.1457392594503935
DC,pmt,0.004656767375014121
DC,wpd,0.011025567911795457
DC,che,0.008661387425167385
DC,mmf,0.015563827738912779
DC,min,0.0005866249511145875
FL,ppd,0.005214833303619184
FL,fbp,0.011941604242987588
FL,agr,0.0010692068429237946
FL,eec,0.02101181533964026
FL,tex,0.06426666666666667
FL,nmp,0.03337874659400545
FL,ote,0.004959892229502174
FL,mch,0.009146534980259734
FL,oil,0.0009412856051511514
FL,pla,0.029797163884401363
FL,fof,0.0005584096493187402
FL,fpd,0.0017488954344624446
FL,pri,0.0003847633705271258
FL,fmt,0.02588793414913838
FL,pet,0.0026420330349166523
FL,cep,0.0027753933323829256
FL,mot,0.012766883177424868
FL,alt,0.1457392594503935
FL,pmt,0.004656767375014121
FL,wpd,0.011025567911795457
FL,che,0.008661387425167385
FL,mmf,0.015563827738912779
FL,min,0.0005866249511145875
GA,ppd,0.005214833303619184
GA,fbp,0.011941604242987588
GA,agr,0.0010692068429237946
GA,eec,0.02101181533964026
GA,tex,0.06426666666666667
GA,nmp,0.03337874659400545
GA,ote,0.004959892229502174
GA,mch,0.009146534980259734
GA,oil,0.0009412856051511514
GA,pla,0.029797163884401363
GA,fof,0.0005584096493187402
GA,fpd,0.0017488954344624446
GA,pri,0.0003847633705271258
GA,fmt,0.02588793414913838
GA,pet,0.0026420330349166523
GA,cep,0.0027753933323829256
GA,mot,0.012766883177424868
GA,alt,0.1457392594503935
GA,pmt,0.004656767375014121
GA,wpd,0.011025567911795457
GA,che,0.008661387425167385
GA,mmf,0.015563827738912779
GA,min,0.0005866249511145875
HI,ppd,0.005214833303619184
HI,fbp,0.011941604242987588
HI,agr,0.0010692068429237946
HI,eec,0.02101181533964026
HI,tex,0.06426666666666667
HI,nmp,0.03337874659400545
HI,ote,0.004959892229502174
HI,mch,0.009146534980259734
HI,oil,0.0009412856051511514
HI,pla,0.029797163884401363
HI,fof,0.0005584096493187402
