r,s,value
AL,ppd,0.00922442306755374
AL,res,0.005490555877940016
AL,com,0.004192480692523127
AL,amb,0.0075592883529996225
AL,fbp,0.007293578918954378
AL,rec,0.025407678703226622
AL,con,0.0052401164893313285
AL,agr,0.023192693118367042
AL,eec,0.009018712622982443
AL,pub,0.012558444668909001
AL,hou,0.12380870246503578
AL,fbt,0.014199176157014779
AL,ins,0.006582187574195549
AL,tex,0.01196845958884821
AL,leg,0.00366321956624887
AL,uti,0.07293153801707332
AL,nmp,0.011188602250300748
AL,brd,0.004560385395611312
AL,bnk,0.016479905141813744
AL,ore,0.02189809292777914
AL,edu,0.023444226018043076
AL,ote,0.007874015748031498
AL,man,0.013485824719544924
AL,mch,0.009128371529220584
AL,dat,0.009892605566034102
AL,amd,0.02258265655075192
AL,oil,0.0947808069171304
AL,hos,0.0137333014193053
AL,rnt,0.026103367313579217
AL,pla,0.006596984958536853
AL,fof,0.02234573502722323
AL,fin,0.004455801122531353
AL,tsv,0.006871091194198426
AL,nrs,0.014270119498761016
AL,sec,0.007851673977621907
AL,art,0.013309285403321101
AL,mov,0.024341620657264303
AL,fpd,0.004918677859391394
AL,pri,0.008617804551539491
AL,grd,0.011141016019254161
AL,pip,0.06784181356002834
AL,osv,0.014796910923775275
AL,trn,0.017718770050836583
AL,smn,0.01898550317205964
AL,fmt,0.008397182654770172
AL,pet,0.0065333494329528246
AL,mvt,0.010032667501646287
AL,cep,0.022617594539002285
AL,wst,0.016773417318376446
AL,mot,0.00583093801463017
AL,adm,0.004217383850505743
AL,soc,0.005145252721391277
AL,alt,0.01790036947381832
AL,pmt,0.010874118786459155
AL,trk,0.01081501281981343
AL,gmt,0.01272289304196054
AL,wtt,0.014726277372262776
AL,wpd,0.0060157891327083084
AL,wht,0.00686806628587302
AL,wrh,0.006232770955772386
AL,ott,0.01471579010251934
AL,che,0.017476846939654785
AL,air,0.016505048904711533
AL,mmf,0.009847496201589975
AL,otr,0.009323882224645582
AL,min,0.02797772237413543
AK,ppd,0.00922442306755374
AK,res,0.005490555877940016
AK,com,0.004192480692523127
AK,amb,0.0075592883529996225
AK,fbp,0.007293578918954378
AK,rec,0.025407678703226622
AK,con,0.0052401164893313285
AK,agr,0.023192693118367042
AK,eec,0.009018712622982443
AK,pub,0.012558444668909001
AK,hou,0.12380870246503578
AK,fbt,0.014199176157014779
AK,ins,0.006582187574195549
AK,tex,0.01196845958884821
AK,leg,0.00366321956624887
AK,uti,0.07293153801707332
AK,nmp,0.011188602250300748
AK,brd,0.004560385395611312
AK,bnk,0.016479905141813744
AK,ore,0.02189809292777914
AK,edu,0.023444226018043076
AK,ote,0.007874015748031498
AK,man,0.013485824719544924
AK,mch,0.009128371529220584
AK,dat,0.009892605566034102
AK,amd,0.02258265655075192
AK,oil,0.0947808069171304
AK,hos,0.0137333014193053
AK,rnt,0.026103367313579217
AK,pla,0.006596984958536853
AK,fof,0.02234573502722323
AK,fin,0.004455801122531353
AK,tsv,0.006871091194198426
AK,nrs,0.014270119498761016
AK,sec,0.007851673977621907
AK,art,0.013309285403321101
AK,mov,0.024341620657264303
AK,fpd,0.004918677859391394
AK,pri,0.008617804551539491
AK,grd,0.011141016019254161
AK,pip,0.06784181356002834
AK,osv,0.014796910923775275
AK,trn,0.017718770050836583
AK,smn,0.01898550317205964
AK,fmt,0.008397182654770172
AK,pet,0.0065333494329528246
AK,mvt,0.010032667501646287
AK,cep,0.022617594539002285
AK,wst,0.016773417318376446
AK,mot,0.00583093801463017
AK,adm,0.004217383850505743
AK,soc,0.005145252721391277
AK,alt,0.01790036947381832
AK,pmt,0.010874118786459155
AK,trk,0.01081501281981343
AK,gmt,0.01272289304196054
AK,wtt,0.014726277372262776
AK,wpd,0.0060157891327083084
AK,wht,0.00686806628587302
AK,wrh,0.006232770955772386
AK,ott,0.01471579010251934
AK,che,0.017476846939654785
AK,air,0.016505048904711533
AK,mmf,0.009847496201589975
AK,otr,0.009323882224645582
AK,min,0.02797772237413543
AR,ppd,0.00922442306755374
AR,res,0.005490555877940016
AR,com,0.004192480692523127
AR,amb,0.0075592883529996225
AR,fbp,0.007293578918954378
AR,rec,0.025407678703226622
AR,con,0.0052401164893313285
AR,agr,0.023192693118367042
AR,eec,0.009018712622982443
AR,pub,0.012558444668909001
AR,hou,0.12380870246503578
AR,fbt,0.014199176157014779
AR,ins,0.006582187574195549
AR,tex,0.01196845958884821
AR,leg,0.00366321956624887
AR,uti,0.07293153801707332
AR,nmp,0.011188602250300748
AR,brd,0.004560385395611312
AR,bnk,0.016479905141813744
AR,ore,0.02189809292777914
AR,edu,0.023444226018043076
AR,ote,0.007874015748031498
AR,man,0.013485824719544924
AR,mch,0.009128371529220584
AR,dat,0.009892605566034102
AR,amd,0.02258265655075192
AR,oil,0.0947808069171304
AR,hos,0.0137333014193053
AR,rnt,0.026103367313579217
AR,pla,0.006596984958536853
AR,fof,0.02234573502722323
AR,fin,0.004455801122531353
AR,tsv,0.006871091194198426
AR,nrs,0.014270119498761016
AR,sec,0.007851673977621907
AR,art,0.013309285403321101
AR,mov,0.024341620657264303
AR,fpd,0.004918677859391394
AR,pri,0.008617804551539491
AR,grd,0.011141016019254161
AR,pip,0.06784181356002834
AR,osv,0.014796910923775275
AR,trn,0.017718770050836583
AR,smn,0.01898550317205964
AR,fmt,0.008397182654770172
AR,pet,0.0065333494329528246
AR,mvt,0.010032667501646287
AR,cep,0.022617594539002285
AR,wst,0.016773417318376446
AR,mot,0.00583093801463017
AR,adm,0.004217383850505743
AR,soc,0.005145252721391277
AR,alt,0.01790036947381832
AR,pmt,0.010874118786459155
AR,trk,0.01081501281981343
AR,gmt,0.01272289304196054
AR,wtt,0.014726277372262776
AR,wpd,0.0060157891327083084
AR,wht,0.00686806628587302
AR,wrh,0.006232770955772386
AR,ott,0.01471579010251934
AR,che,0.017476846939654785
AR,air,0.016505048904711533
AR,mmf,0.009847496201589975
AR,otr,0.009323882224645582
AR,min,0.02797772237413543
AZ,ppd,0.00922442306755374
AZ,res,0.005490555877940016
AZ,com,0.004192480692523127
AZ,amb,0.0075592883529996225
AZ,fbp,0.007293578918954378
AZ,rec,0.025407678703226622
AZ,con,0.0052401164893313285
AZ,agr,0.023192693118367042
AZ,eec,0.009018712622982443
AZ,pub,0.012558444668909001
AZ,hou,0.12380870246503578
AZ,fbt,0.014199176157014779
AZ,ins,0.006582187574195549
AZ,tex,0.01196845958884821
AZ,leg,0.00366321956624887
AZ,uti,0.07293153801707332
AZ,nmp,0.011188602250300748
AZ,brd,0.004560385395611312
AZ,bnk,0.016479905141813744
AZ,ore,0.02189809292777914
AZ,edu,0.023444226018043076
AZ,ote,0.007874015748031498
AZ,man,0.013485824719544924
AZ,mch,0.009128371529220584
AZ,dat,0.009892605566034102
AZ,amd,0.02258265655075192
AZ,oil,0.0947808069171304
AZ,hos,0.0137333014193053
AZ,rnt,0.026103367313579217
AZ,pla,0.006596984958536853
AZ,fof,0.02234573502722323
AZ,fin,0.004455801122531353
AZ,tsv,0.006871091194198426
AZ,nrs,0.014270119498761016
AZ,sec,0.007851673977621907
AZ,art,0.013309285403321101
AZ,mov,0.024341620657264303
AZ,fpd,0.004918677859391394
AZ,pri,0.008617804551539491
AZ,grd,0.011141016019254161
AZ,pip,0.06784181356002834
AZ,osv,0.014796910923775275
AZ,trn,0.017718770050836583
AZ,smn,0.01898550317205964
AZ,fmt,0.008397182654770172
AZ,pet,0.0065333494329528246
AZ,mvt,0.010032667501646287
AZ,cep,0.022617594539002285
AZ,wst,0.016773417318376446
AZ,mot,0.00583093801463017
AZ,adm,0.004217383850505743
AZ,soc,0.005145252721391277
AZ,alt,0.01790036947381832
AZ,pmt,0.010874118786459155
AZ,trk,0.01081501281981343
AZ,gmt,0.01272289304196054
AZ,wtt,0.014726277372262776
AZ,wpd,0.0060157891327083084
AZ,wht,0.00686806628587302
AZ,wrh,0.006232770955772386
AZ,ott,0.01471579010251934
AZ,che,0.017476846939654785
AZ,air,0.016505048904711533
AZ,mmf,0.009847496201589975
AZ,otr,0.009323882224645582
AZ,min,0.02797772237413543
CA,ppd,0.00922442306755374
CA,res,0.005490555877940016
CA,com,0.004192480692523127
CA,amb,0.0075592883529996225
CA,fbp,0.007293578918954378
CA,rec,0.025407678703226622
CA,con,0.0052401164893313285
CA,agr,0.023192693118367042
CA,eec,0.009018712622982443
CA,pub,0.012558444668909001
CA,hou,0.12380870246503578
CA,fbt,0.014199176157014779
CA,ins,0.006582187574195549
CA,tex,0.01196845958884821
CA,leg,0.00366321956624887
CA,uti,0.07293153801707332
CA,nmp,0.011188602250300748
CA,brd,0.004560385395611312
CA,bnk,0.016479905141813744
CA,ore,0.02189809292777914
CA,edu,0.023444226018043076
CA,ote,0.007874015748031498
CA,man,0.013485824719544924
CA,mch,0.009128371529220584
CA,dat,0.009892605566034102
CA,amd,0.02258265655075192
CA,oil,0.0947808069171304
CA,hos,0.0137333014193053
CA,rnt,0.026103367313579217
CA,pla,0.006596984958536853
CA,fof,0.02234573502722323
CA,fin,0.004455801122531353
CA,tsv,0.006871091194198426
CA,nrs,0.014270119498761016
CA,sec,0.007851673977621907
CA,art,0.013309285403321101
CA,mov,0.024341620657264303
CA,fpd,0.004918677859391394
CA,pri,0.008617804551539491
CA,grd,0.011141016019254161
CA,pip,0.06784181356002834
CA,osv,0.014796910923775275
CA,trn,0.017718770050836583
CA,smn,0.01898550317205964
CA,fmt,0.008397182654770172
CA,pet,0.0065333494329528246
CA,mvt,0.010032667501646287
CA,cep,0.022617594539002285
CA,wst,0.016773417318376446
CA,mot,0.00583093801463017
CA,adm,0.004217383850505743
CA,soc,0.005145252721391277
CA,alt,0.01790036947381832
CA,pmt,0.010874118786459155
CA,trk,0.01081501281981343
CA,gmt,0.01272289304196054
CA,wtt,0.014726277372262776
CA,wpd,0.0060157891327083084
CA,wht,0.00686806628587302
CA,wrh,0.006232770955772386
CA,ott,0.01471579010251934
CA,che,0.017476846939654785
CA,air,0.016505048904711533
CA,mmf,0.009847496201589975
CA,otr,0.009323882224645582
CA,min,0.02797772237413543
CO,ppd,0.00922442306755374
CO,res,0.005490555877940016
CO,com,0.004192480692523127
CO,amb,0.0075592883529996225
CO,fbp,0.007293578918954378
CO,rec,0.025407678703226622
CO,con,0.0052401164893313285
CO,agr,0.023192693118367042
CO,eec,0.009018712622982443
CO,pub,0.012558444668909001
CO,hou,0.12380870246503578
CO,fbt,0.014199176157014779
CO,ins,0.006582187574195549
CO,tex,0.01196845958884821
CO,leg,0.00366321956624887
CO,uti,0.07293153801707332
CO,nmp,0.011188602250300748
CO,brd,0.004560385395611312
CO,bnk,0.016479905141813744
CO,ore,0.02189809292777914
CO,edu,0.023444226018043076
CO,ote,0.007874015748031498
CO,man,0.013485824719544924
CO,mch,0.009128371529220584
CO,dat,0.009892605566034102
CO,amd,0.02258265655075192
CO,oil,0.0947808069171304
CO,hos,0.0137333014193053
CO,rnt,0.026103367313579217
CO,pla,0.006596984958536853
CO,fof,0.02234573502722323
CO,fin,0.004455801122531353
CO,tsv,0.006871091194198426
CO,nrs,0.014270119498761016
CO,sec,0.007851673977621907
CO,art,0.013309285403321101
CO,mov,0.024341620657264303
CO,fpd,0.004918677859391394
CO,pri,0.008617804551539491
CO,grd,0.011141016019254161
CO,pip,0.06784181356002834
CO,osv,0.014796910923775275
CO,trn,0.017718770050836583
CO,smn,0.01898550317205964
CO,fmt,0.008397182654770172
CO,pet,0.0065333494329528246
CO,mvt,0.010032667501646287
CO,cep,0.022617594539002285
CO,wst,0.016773417318376446
CO,mot,0.00583093801463017
CO,adm,0.004217383850505743
CO,soc,0.005145252721391277
CO,alt,0.01790036947381832
CO,pmt,0.010874118786459155
CO,trk,0.01081501281981343
CO,gmt,0.01272289304196054
CO,wtt,0.014726277372262776
CO,wpd,0.0060157891327083084
CO,wht,0.00686806628587302
CO,wrh,0.006232770955772386
CO,ott,0.01471579010251934
CO,che,0.017476846939654785
CO,air,0.016505048904711533
CO,mmf,0.009847496201589975
CO,otr,0.009323882224645582
CO,min,0.02797772237413543
CT,ppd,0.00922442306755374
CT,res,0.005490555877940016
CT,com,0.004192480692523127
CT,amb,0.0075592883529996225
CT,fbp,0.007293578918954378
CT,rec,0.025407678703226622
CT,con,0.0052401164893313285
CT,agr,0.023192693118367042
CT,eec,0.009018712622982443
CT,pub,0.012558444668909001
CT,hou,0.12380870246503578
CT,fbt,0.014199176157014779
CT,ins,0.006582187574195549
CT,tex,0.01196845958884821
CT,leg,0.00366321956624887
CT,uti,0.07293153801707332
CT,nmp,0.011188602250300748
CT,brd,0.004560385395611312
CT,bnk,0.016479905141813744
CT,ore,0.02189809292777914
CT,edu,0.023444226018043076
CT,ote,0.007874015748031498
CT,man,0.013485824719544924
