r,s,value
AL,ppd,1.0577982278150797
AL,res,0.01672423203041646
AL,com,0.26703666479763954
AL,amb,0.010526390807066108
AL,fbp,0.33484232298079253
AL,rec,1.0138577381572017e-05
AL,con,0.0010397935111986754
AL,agr,0.570392153932175
AL,eec,0.14115342456308383
AL,pub,0.1485507170093843
AL,ins,0.16499718345708628
AL,tex,0.19268753831792107
AL,leg,0.14106614913196647
AL,fen,0.010794750258073905
AL,uti,0.07867965784982447
AL,nmp,0.08110627541138336
AL,brd,0.08667150369485394
AL,bnk,0.6132825959643129
AL,ore,0.03224637169442572
AL,edu,0.013845116457664107
AL,ote,1.6278334860235875
AL,man,0.025172430394746547
AL,mch,0.6365843175982941
AL,dat,0.009746664331990895
AL,hos,0.024179213557450563
AL,rnt,0.6637548213753176
AL,pla,0.3712587383454363
AL,fof,0.0532215072295614
AL,tsv,1.3394375759645687
AL,nrs,0.0017178837340995072
AL,sec,0.19466576343617106
AL,art,0.005598760632539617
AL,mov,0.0287491460731645
AL,fpd,0.02555385140997623
AL,pri,0.0018564148252800134
AL,pip,0.0021014976624174776
AL,osv,0.0008624410762464813
AL,trn,0.022216750124058292
AL,smn,0.0048560990987649745
AL,fmt,0.28452972200652804
AL,pet,0.3269861470666019
AL,cep,0.3076430847824832
AL,wst,0.0015124889482495908
AL,mot,8.260423651802263
AL,adm,0.022966922384666303
AL,alt,0.010645587584616027
AL,pmt,1.1540848174263052
AL,trk,0.024602461130434294
AL,wtt,0.036377387964515534
AL,wpd,0.24251874718903815
AL,wht,0.02551554489587124
AL,wrh,0.0018551309888261483
AL,che,2.3276388891901463
AL,air,0.058640688856095094
AL,mmf,0.13377842854936545
AL,otr,0.10027668085378733
AL,min,1.773940865910497
AK,ppd,0.0022220836671169577
AK,res,0.009489557814466651
AK,com,0.015653615648353266
AK,amb,0.002311224236008861
AK,fbp,0.03261296342256834
AK,rec,3.2554486178538645e-06
AK,con,0.0002880852976702884
AK,agr,0.0071943042820905795
AK,eec,0.011144469142068764
AK,pub,0.00027359463871359243
AK,ins,0.013937953438711848
AK,tex,0.0008279600249042529
AK,leg,0.009994252144467324
AK,fen,0.003301551318378846
AK,uti,0.010117379989557244
AK,nmp,0.00013216379357288086
AK,brd,0.033630538845574834
AK,bnk,0.07916993084805529
AK,ore,0.006552643248759061
AK,edu,0.002053813087088044
AK,ote,0.07821262474591656
AK,man,0.004203916584736812
AK,mch,0.025554704205965298
AK,dat,0.0009304149886184554
AK,oil,0.07936412975722289
AK,hos,0.00803985775767999
AK,rnt,0.1951554571113726
AK,pla,0.004288343814029041
AK,fof,2.490947918015159
AK,tsv,0.27016880001216814
AK,nrs,0.0005712154712383652
AK,sec,0.024016216515640176
AK,art,0.0022717616776652804
AK,mov,0.006684721412125865
AK,fpd,0.0005583537715882559
AK,pri,1.659695016887012e-05
AK,pip,0.0288134933506325
AK,osv,0.00015312864642619346
AK,smn,0.060283388346994024
AK,fmt,0.007753391163850658
AK,pet,0.2537268708697977
AK,cep,0.01393246005403054
AK,wst,0.0007004872175925055
AK,mot,0.0024374324752698805
