r,g,value
AL,ppd,6.730918009304083
AL,res,3.616026203323275
AL,com,2.5364298807982784
AL,amb,8.996602241957811
AL,fbp,4.624610004553142
AL,rec,0.9478247640645031
AL,con,10.634666174676937
AL,agr,2.680472837834779
AL,eec,1.0764572765795617
AL,fnd,4.570556123487217
AL,pub,0.5816734601129869
AL,hou,12.226744638890054
AL,fbt,1.5706050492767463
AL,ins,5.078156562248776
AL,tex,1.1685385610221246
AL,leg,1.9159686640500546
AL,fen,0.7775722600275059
AL,uti,4.776131953058333
AL,nmp,1.2493865358915814
AL,brd,2.7431063127446267
AL,bnk,5.504645197068646
AL,ore,7.68850342252299
AL,edu,2.114796365755952
AL,ote,5.0341508848280245
AL,man,1.8973384385537042
AL,mch,1.1512875675470635
AL,dat,0.678991739888995
AL,amd,1.342322736984621
AL,oil,0.4486579125341072
AL,hos,6.99592843542511
AL,rnt,1.7860872499505707
AL,pla,3.5261277702087783
AL,fof,0.29286770356765524
AL,fin,0.46734885602185644
AL,tsv,9.552482221287669
AL,nrs,1.2335692506967617
AL,sec,0.8920491305292153
AL,art,0.42441254021992647
AL,mov,0.09670598850385662
AL,fpd,1.637296809827681
AL,slg,30.838173489513657
AL,pri,0.30805699778568013
AL,grd,0.31238138689462996
AL,pip,0.13227172665106793
AL,sle,1.7092625431156119
AL,osv,5.669176106960516
AL,trn,0.7969253980597865
AL,smn,0.17795630105860855
AL,fmt,3.5938883744427574
AL,pet,3.0811972906897425
AL,mvt,1.832658243397853
AL,cep,0.8778350595870374
AL,wst,0.8681763687352086
AL,mot,7.952520062411683
AL,adm,5.06469015097874
AL,soc,1.5134988965038654
AL,alt,0.14405110454164632
AL,pmt,9.857072396799943
AL,trk,3.002132326760722
AL,fdd,9.528440590722692
AL,gmt,1.3437427709439431
AL,wtt,0.13200481915135012
AL,wpd,2.786589594887926
AL,wht,9.201047013718036
AL,wrh,0.8639174786347478
AL,ott,6.244450213215012
AL,che,2.744474990032431
AL,air,0.0965975139181386
AL,mmf,0.5561121102480284
AL,otr,1.6713720169239275
AL,min,0.09758396490113075
AK,ppd,0.005495137006096976
AK,res,1.9703530694287326
AK,com,0.20855153999618783
AK,amb,1.8241373923697395
AK,fbp,1.1017312488073343
AK,rec,0.3744200983037384
AK,con,2.9472643785639527
AK,agr,0.003533533273919232
AK,fnd,0.9616841872104965
AK,pub,0.05302045537330428
AK,hou,2.3801882587251093
AK,fbt,0.2516394602607609
AK,ins,0.41348839463866244
AK,tex,0.00922297426279113
AK,leg,0.12459442946209028
AK,fen,0.23519662602327474
AK,uti,1.1440865610565985
AK,nmp,0.04514541477808214
AK,brd,0.9760983116257207
AK,bnk,0.6536291419765496
AK,ore,1.5320184093088343
AK,edu,0.8344823616884823
AK,ote,0.016549511783563772
AK,man,0.2908302942051459
AK,mch,0.008813915523120518
AK,dat,0.09746838779080662
AK,amd,0.31750373840884805
AK,oil,5.540418512573951
AK,hos,3.293086963646683
AK,rnt,0.4082288867348356
AK,pla,0.009118724377966406
AK,fin,0.21763424354440294
AK,tsv,1.852704022849181
AK,nrs,0.3739649362189506
AK,sec,0.10191160655510861
AK,art,0.16064181658192087
AK,mov,0.021145602137671946
AK,fpd,0.009092002979280416
AK,slg,13.490105039784304
AK,pri,0.03723679233337661
AK,grd,0.2485260673282641
AK,pip,5.079549952344778
AK,sle,0.9803549582914817
AK,osv,0.9041557565154557
AK,smn,0.14056583526181415
AK,fmt,0.03835883588343835
AK,pet,1.4910929723132642
AK,mvt,0.24807717428729442
AK,cep,0.0024175602336520153
AK,wst,0.4289147457854995
AK,mot,0.010508821635768646
AK,adm,0.7611135803871301
AK,soc,0.18725612818120835
AK,alt,0.01371577819757379
AK,trk,0.11178473324440558
AK,fdd,1.5430559639466017
AK,gmt,0.19119964346325471
AK,wtt,0.9032009894238818
AK,wpd,0.02605100723772179
