r,s,g,value
AL,ppd,ppd,9.173990998447422
AL,ppd,com,0.0025131393863301278
AL,ppd,con,0.00408618293953792
AL,ppd,tex,0.011255002147966629
AL,ppd,nmp,0.003081597409795679
AL,ppd,pla,0.029990523695190577
AL,ppd,tsv,0.05210085997400049
AL,ppd,pri,0.0051162144986367395
AL,ppd,fmt,5.1182002526215875e-05
AL,ppd,cep,0.029248372605937677
AL,ppd,alt,5.007264565175145e-05
AL,ppd,wpd,0.019232026809347068
AL,ppd,wht,0.10103550630051904
AL,ppd,che,0.00444243473444567
AL,ppd,mmf,0.004329731012828418
AL,res,res,4.699447975162408
AL,res,com,1.2397081713402705e-05
AL,res,rec,0.00805232584502624
AL,res,con,0.0045557309801734615
AL,res,fbt,0.0018859344143585927
AL,res,amd,9.272357228084839e-05
AL,res,wht,0.00018015731207084767
AL,res,ott,0.007513215513819087
AL,com,com,3.6809312786083135
AL,com,con,6.0900616596342726e-05
AL,com,pub,0.10294450840093074
AL,com,brd,0.001355522754090696
AL,com,edu,0.002993131618052123
AL,com,dat,0.1592487565956702
AL,com,rnt,0.0009518113080588579
AL,com,tsv,0.08404442143753525
AL,com,osv,0.032499053710025025
AL,com,adm,0.04248513650308902
AL,com,wht,0.0010577656527727963
AL,com,ott,0.006945309917153537
AL,amb,res,0.0005511393083816457
AL,amb,com,0.010260559222277966
AL,amb,amb,14.2288895010089
AL,amb,con,0.005566602333092141
AL,amb,rnt,0.005155150210082972
AL,amb,tsv,0.0025867131520053454
AL,amb,ott,0.1030576999183713
AL,fbp,ppd,0.00021884202721661865
AL,fbp,com,0.001307095422371184
AL,fbp,fbp,8.96956411319506
AL,fbp,con,0.001649642034003964
AL,fbp,tsv,0.031364829241978594
AL,fbp,pet,0.00018966130221615798
AL,fbp,alt,0.006266457966991922
AL,fbp,wht,0.07937371701941866
AL,fbp,che,0.016141326610905376
AL,fbp,mmf,3.919370800267461e-05
AL,rec,res,0.021447510932770697
AL,rec,com,0.00010864232603171959
AL,rec,rec,0.31972131295402795
AL,rec,con,0.0012832619488387922
AL,rec,ore,0.00014607540096874292
AL,rec,edu,0.006829682524857318
AL,rec,amd,0.0003603147202092854
AL,rec,rnt,0.0004621684660930967
AL,rec,tsv,0.00018152794372473506
AL,rec,art,3.0212731143759554e-05
AL,rec,osv,0.005363799666850218
AL,rec,mvt,2.4439184838715175e-06
AL,rec,soc,0.0014757409704630855
AL,rec,ott,0.004958064170079261
AL,con,com,0.004067605868883136
AL,con,con,16.536889521801843
AL,con,tsv,0.0001577355957102936
AL,agr,rec,0.0178788368299588
AL,agr,agr,5.175491725943522
AL,agr,fof,0.048387903042430895
AL,agr,wpd,0.0001940598924725815
AL,eec,ppd,0.0026549116924845934
AL,eec,com,0.002836089675045301
AL,eec,con,0.0007807552711093896
AL,eec,eec,1.3332487582645003
AL,eec,tex,4.5185240663616906e-05
AL,eec,nmp,0.003793216183601021
AL,eec,ote,0.00010424643248699449
AL,eec,mch,0.005404745223089429
AL,eec,pla,0.0010215442962388408
AL,eec,tsv,0.02747280122148568
AL,eec,fpd,9.045159505164581e-05
AL,eec,fmt,0.0008973375998076609
AL,eec,pet,0.0002191443361222189
AL,eec,cep,0.00236617405222902
AL,eec,mot,0.006592978443351799
AL,eec,pmt,0.009163133762937387
AL,eec,wht,0.02496163846100533
AL,eec,che,4.539640182103534e-05
AL,eec,mmf,0.00028296280879824007
AL,fnd,com,0.030004768630461552
AL,fnd,con,0.003889819821547695
AL,fnd,agr,0.00030039355129607203
AL,fnd,fnd,5.764892844929067
AL,fnd,pub,0.004436295404971625
AL,fnd,fen,0.0077444848682490216
AL,fnd,uti,0.0012185640350138955
AL,fnd,hos,0.03146276531396471
AL,fnd,fof,0.0014818577364531862
AL,fnd,fin,0.0019050750624820974
AL,fnd,tsv,0.26348630137952883
AL,fnd,pri,0.00016643130825573363
AL,fnd,pmt,7.091555450752518e-05
AL,fnd,che,0.00016587005183391827
AL,fnd,mmf,0.001398617383455314
AL,pub,com,0.041434096977989145
AL,pub,con,5.617265027471513e-05
AL,pub,pub,0.9907014075419165
AL,pub,edu,0.0011130350736482451
AL,pub,dat,0.11930776343813027
AL,pub,tsv,0.1708101111634851
AL,pub,pri,0.006069484960469846
AL,pub,osv,3.5500799141037995e-06
AL,pub,wst,3.4892665752725707e-06
AL,pub,adm,0.0006298779877202305
AL,pub,wht,0.004846779424851896
AL,pub,ott,0.006537917077453617
AL,hou,com,0.000743498398301263
AL,hou,con,0.20084712049567457
AL,hou,hou,20.011083674709994
AL,hou,tsv,0.0005341975375177504
AL,fbt,res,0.12157432347021745
AL,fbt,com,0.00010592745077944786
AL,fbt,fbp,0.10885708927448863
AL,fbt,fbt,2.678955915750727
AL,fbt,bnk,0.0004654201286885213
AL,fbt,rnt,9.264883753925377e-05
AL,fbt,tsv,1.321429274260945e-05
AL,fbt,adm,2.643644506798041e-05
AL,ins,com,0.02347359531357406
AL,ins,con,2.5292138308762115e-05
AL,ins,ins,8.545328711976154
AL,ins,leg,0.0006499276004504413
AL,ins,tsv,0.018660005849337146
AL,ins,sec,0.011995726340347679
AL,tex,ppd,6.52463402429699e-05
AL,tex,com,0.00042538653386622443
AL,tex,con,0.0015317353878808828
