r,s,value
AL,ppd,5.606209651044261
AL,res,13.702123198076132
AL,com,6.358909348609194
AL,amb,16.48156768636431
AL,fbp,25.169666714123327
AL,rec,2.2058002684292117
AL,con,25.228251191281416
AL,agr,8.129117391181246
AL,eec,4.772174363197248
AL,fnd,4.026865979734688
AL,pub,4.495550022475877
AL,hou,28.66715848804565
AL,ins,12.58477683640972
AL,tex,3.065161365401188
AL,leg,4.387466635706937
AL,fen,0.8079808199979726
AL,uti,9.804161582127882
AL,nmp,3.803792336622806
AL,brd,9.213162538521706
AL,bnk,10.706901332216626
AL,ore,16.509047759233837
AL,edu,4.997068703475453
AL,ote,5.469985183195121
AL,man,6.8565518961525695
AL,mch,7.23396852202098
AL,dat,5.313432827547269
AL,amd,2.004023883868498
AL,oil,5.353392320956279
AL,hos,15.98079241494095
AL,rnt,4.89672604369591
AL,pla,6.55984603736942
AL,fof,2.309237619507926
AL,fin,1.882917448028402
AL,tsv,25.971547371815177
AL,nrs,3.413772378220847
AL,sec,5.256189529324564
AL,art,1.470996800872241
AL,mov,0.9783467971375012
AL,fpd,3.9485452492229003
AL,slg,17.078148197504284
AL,pri,0.9494780580858861
AL,grd,1.0740599312741526
AL,pip,0.000511791209765826
AL,sle,1.441166007225933
AL,osv,12.092304747687445
AL,trn,0.10266007247395174
AL,smn,0.2047482066985662
AL,fmt,8.888517567642191
AL,pet,12.389021757284675
AL,cep,8.614328867797429
AL,wst,2.0903484170290096
AL,mot,30.09845759568269
AL,adm,12.227128594179565
AL,soc,3.6469798465094874
AL,alt,6.75886862266192
AL,pmt,11.344110739116879
AL,trk,0.8349494378870222
AL,fdd,5.600893886285636
AL,wtt,0.11278518619364285
AL,wpd,6.350171836004002
AL,wht,1.3882916639367153
AL,wrh,2.218529732761456
AL,ott,0.21089359161588914
AL,che,19.562065428185928
AL,air,1.7464529735632865
AL,mmf,6.862759591607715
AL,otr,4.060761721986932
AL,min,2.5619041831859253
AK,ppd,0.6109458047177516
AK,res,3.084588545264463
AK,com,1.6831334372246343
AK,amb,3.9490311898809454
AK,fbp,5.454492289324899
AK,rec,0.7233841451452034
AK,con,8.278533205121432
AK,agr,1.533050081223707
AK,eec,0.8299036378952662
AK,fnd,3.5792087071365577
AK,pub,0.987753422410685
AK,hou,5.4385308253700755
AK,ins,2.1352153182292355
AK,tex,0.29212356878274515
AK,leg,0.8310397673519636
AK,fen,0.19672607660901553
AK,uti,2.406153534008709
AK,nmp,0.6681365229551306
AK,brd,2.5757589684031665
AK,bnk,2.518089882921469
AK,ore,3.3357545128540993
AK,edu,1.143513930905027
AK,ote,0.9360029039903748
AK,man,2.2319703788006
AK,mch,1.4601909778829376
AK,dat,1.368055242209568
