r,h,value
AL,hh1,15.976330991435805
AL,hh2,23.091705408842234
AL,hh3,26.601135377859965
AL,hh4,55.845139034195256
AL,hh5,72.63086503613283
AK,hh1,1.3452663728392487
AK,hh2,3.2743811855361384
AK,hh3,4.414082994567538
AK,hh4,12.950044971051845
AK,hh5,16.92869129576777
AR,hh1,10.61035629869635
AR,hh2,17.722208235355733
AR,hh3,15.710337889646512
AR,hh4,32.09133290217684
AR,hh5,37.07219375099521
AZ,hh1,16.02317337725714
AZ,hh2,30.801110678717414
AZ,hh3,36.596425319991376
AZ,hh4,82.90141762063534
AZ,hh5,169.3321828780215
CA,hh1,77.81164673330112
CA,hh2,158.31069696997704
CA,hh3,182.65829783342517
CA,hh4,530.9671320610133
CA,hh5,1228.0661801554554
CO,hh1,9.665288664251815
CO,hh2,20.797041940579938
CO,hh3,28.413728324447813
CO,hh4,77.38939523511569
CO,hh5,176.05148845306974
CT,hh1,9.100789865117592
CT,hh2,14.556625698884009
CT,hh3,16.01043706474844
CT,hh4,42.42486170573588
CT,hh5,121.01045887774586
DE,hh1,2.3875876830923355
DE,hh2,5.024825478167745
DE,hh3,5.409367594264566
DE,hh4,13.139059727896196
DE,hh5,26.02508422663685
DC,hh1,2.357348836717764
DC,hh2,2.850425261857182
DC,hh3,3.7037858541628292
DC,hh4,10.892701685816188
DC,hh5,35.62992872317645
FL,hh1,61.013540163059716
FL,hh2,122.79601684637171
FL,hh3,147.97178659349348
FL,hh4,290.92007277747854
FL,hh5,514.511867611288
GA,hh1,27.25823288806105
GA,hh2,47.69125022697502
GA,hh3,57.442588499911345
GA,hh4,136.83865635104786
GA,hh5,202.31594535389695
HI,hh1,2.1280746600608387
HI,hh2,5.776560792620889
HI,hh3,8.17387353362677
HI,hh4,24.196501541949047
HI,hh5,30.845308716865098
ID,hh1,2.778348487666213
ID,hh2,6.545260908895907
ID,hh3,8.772548931952173
ID,hh4,26.529004737886385
ID,hh5,30.253677261488885
IL,hh1,24.94286899742523
IL,hh2,46.43631634764184
IL,hh3,59.58161651787379
IL,hh4,162.00658365092255
IL,hh5,322.3010129825387
IN,hh1,15.2907079922975
IN,hh2,29.10234574963709
IN,hh3,39.919438843338206
IN,hh4,87.22964878952791
IN,hh5,110.36380556212944
IA,hh1,5.9428235693281035
IA,hh2,14.480046592739397
IA,hh3,16.34761010037789
IA,hh4,42.17777389884589
IA,hh5,48.61171454287577
KS,hh1,5.308845509056596
KS,hh2,12.455285657546158
KS,hh3,13.949044235181054
KS,hh4,43.52455022313311
KS,hh5,49.26914578827546
KY,hh1,14.841117515553208
KY,hh2,23.469377436615314
KY,hh3,20.473285316781457
KY,hh4,48.9002389208526
KY,hh5,71.69294691999232
LA,hh1,15.185776265301996
LA,hh2,21.43444241719245
LA,hh3,22.022106953639863
LA,hh4,49.519651536846254
LA,hh5,82.7464387922185
ME,hh1,3.357743272030908
ME,hh2,6.743734654478673
ME,hh3,7.756361663508034
ME,hh4,20.13871004681546
ME,hh5,28.687982371978293
MD,hh1,9.198862802739207
MD,hh2,24.406260806689865
MD,hh3,27.3807730897044
MD,hh4,77.96298678322363
MD,hh5,157.95752058976473
MA,hh1,16.588090861788658
MA,hh2,26.815200491570973
MA,hh3,30.969818107425247
MA,hh4,83.08268304029949
MA,hh5,258.50908013153423
MI,hh1,26.464271364249626
MI,hh2,46.8515486230924
MI,hh3,49.18261169606003
MI,hh4,120.96936454289308
MI,hh5,207.77918634407257
MN,hh1,11.517738631351744
MN,hh2,20.968853343461298
MN,hh3,29.9645657860078
MN,hh4,71.07320627213146
MN,hh5,138.44052767388519
MS,hh1,10.99416370614989
MS,hh2,17.194785008130573
MS,hh3,13.262528786925843
MS,hh4,32.04328468116392
MS,hh5,33.26701574232927
MO,hh1,15.040484142312641
MO,hh2,30.92395586157783
MO,hh3,30.882962485625963
MO,hh4,84.44329294762974
MO,hh5,105.239145153885
MT,hh1,2.508302215932747
MT,hh2,5.4565413965428355
MT,hh3,5.358541872293179
MT,hh4,14.26963730711377
MT,hh5,23.939742736872045
NE,hh1,3.1163639111153354
NE,hh2,7.020523646295321
NE,hh3,9.14303995961998
NE,hh4,24.838010794199842
NE,hh5,43.64799454089791
NV,hh1,6.725037355568962
NV,hh2,16.562231428741487
NV,hh3,19.347879901647406
NV,hh4,48.641079117337114
NV,hh5,50.52471346005519
NH,hh1,2.534189300603128
NH,hh2,5.153532121697319
NH,hh3,6.566236538361961
NH,hh4,20.410935401186144
NH,hh5,42.50753372157225
NJ,hh1,20.514254883442455
NJ,hh2,40.520432505778984
NJ,hh3,40.284523459202084
NJ,hh4,100.2442093471614
NJ,hh5,299.82110536542905
NM,hh1,6.212633988913398
NM,hh2,12.629920672499031
NM,hh3,11.736106289873673
NM,hh4,25.20492445260749
NM,hh5,29.719731140847042
NY,hh1,61.98655228281682
NY,hh2,94.58535052366543
NY,hh3,93.83702907027701
NY,hh4,254.99468382703455
NY,hh5,551.8424695514361
NC,hh1,27.38188536505968
NC,hh2,49.83657427896214
NC,hh3,56.80894885592739
NC,hh4,132.919843912536
NC,hh5,203.6418937485944
ND,hh1,1.6317090656140345
ND,hh2,3.6096557151044055
ND,hh3,4.837942906269827
ND,hh4,12.452493457954267
ND,hh5,14.584183588827518
OH,hh1,35.37392298243348
OH,hh2,59.6135587320266
OH,hh3,53.79762566376929
OH,hh4,158.27343380797655
OH,hh5,196.10789112285696
OK,hh1,9.959758761624457
