r,g,m,value
AL,fbt,trd,1.4576271605378395
AL,pip,trn,0.3606899906634251
AL,trn,trn,0.40581881325622415
AL,mvt,trd,1.7751547533252983
AL,trk,trn,2.107253635701249
AL,gmt,trd,1.2368994664546678
AL,wtt,trn,0.1318075727646171
AL,wht,trd,11.376772530214645
AL,ott,trd,6.866876697253339
AL,air,trn,0.05468570815862732
AL,otr,trn,0.026249764773008475
AK,fbt,trd,0.2566483503298477
AK,pip,trn,0.0753116772026266
AK,trn,trn,0.0008665170955554974
AK,mvt,trd,0.3125562910429169
AK,trk,trn,0.4399922640051415
AK,gmt,trd,0.21778422917992712
AK,wtt,trn,0.027521277634159607
AK,wht,trd,2.003139061212435
AK,ott,trd,1.209069523387762
AK,air,trn,0.011418316302219497
AK,otr,trn,0.005480922294498696
AR,fbt,trd,0.8434978902333339
AR,pip,trn,0.2033933140209153
AR,trn,trn,0.25052395664064314
AR,mvt,trd,1.0272443666013131
AR,trk,trn,1.3008699971924242
AR,gmt,trd,0.7157674600412088
AR,wtt,trn,0.009466192092713965
AR,wht,trd,6.583496717610378
AR,ott,trd,3.973715750801744
AR,air,trn,0.03375910512789588
AR,otr,trn,0.016204756204016117
AZ,fbt,trd,2.235014207634445
AZ,pip,trn,0.25183262876410106
AZ,trn,trn,0.5268099443449387
AZ,mvt,trd,2.7218867772523683
AZ,trk,trn,2.7355118448969997
AZ,gmt,trd,1.8965672126482591
AZ,wtt,trn,0.008555558136653468
AZ,wht,trd,17.444274455391447
AZ,ott,trd,10.529144486284212
AZ,air,trn,0.07098974697686264
AZ,otr,trn,0.03407588970106534
CA,fbt,trd,25.947342419730848
CA,pip,trn,1.041910314269179
CA,trn,trn,2.4390951282994777
CA,mvt,trd,31.599677530397287
CA,trk,trn,33.887280598633225
CA,gmt,trd,22.018150363663246
CA,wtt,trn,2.119631034264633
CA,wht,trd,202.51887482937988
CA,ott,trd,122.23784369657224
CA,air,trn,0.8794147537392583
CA,otr,trn,0.42212913027673504
CO,fbt,trd,2.281517616614212
CO,pip,trn,0.524663198376561
CO,trn,trn,0.5903080263823394
CO,mvt,trd,2.7785204279767446
CO,trk,trn,3.0652318082464722
CO,gmt,trd,1.9360286355090774
CO,wtt,trn,0.01451687964426844
CO,wht,trd,17.80723332454914
CO,ott,trd,10.748221891063208
CO,air,trn,0.07954636749198266
CO,otr,trn,0.038183165319080066
CT,fbt,trd,1.0802392918371697
CT,pip,trn,0.21653638556866067
CT,trn,trn,0.12042859381444809
CT,mvt,trd,1.3155572052636202
CT,trk,trn,1.2650672254915927
CT,gmt,trd,0.9166592389947975
CT,wtt,trn,0.07912926927784182
CT,wht,trd,8.431262145867924
CT,ott,trd,5.089003705060658
CT,air,trn,0.03282998112908968
CT,otr,trn,0.015758766068113085
DE,fbt,trd,0.25252121865257
DE,pip,trn,0.06229240784566987
DE,trn,trn,0.070086311461833
DE,mvt,trd,0.30753011040299555
DE,trk,trn,0.3639299850487466
DE,gmt,trd,0.21428206682468579
DE,wtt,trn,0.02276362331180684
DE,wht,trd,1.970926819587282
DE,ott,trd,1.18962661980552
DE,air,trn,0.009444410779685986
DE,otr,trn,0.004533425089189621
DC,fbt,trd,0.0870482925300891
DC,pip,trn,0.016643116123424843
DC,trn,trn,0.018725470095998092
DC,mvt,trd,0.10601077863877205
DC,trk,trn,0.018985039356040102
DC,gmt,trd,0.07386661658151915
DC,wtt,trn,0.0060819229705637
DC,wht,trd,0.6794114778246805
DC,ott,trd,0.4100842161105185
DC,air,trn,0.002523331987953738
DC,otr,trn,0.001211228186638081
FL,fbt,trd,7.8443252999865365
FL,pip,trn,0.34299950485769487
FL,trn,trn,1.194135051305769
FL,mvt,trd,9.55312285602784
FL,trk,trn,9.475569312645762
FL,gmt,trd,6.656463354229823
FL,wtt,trn,0.5926917246708674
FL,wht,trd,61.2249188317988
FL,ott,trd,36.95459035510612
FL,air,trn,0.24590215875734028
FL,otr,trn,0.11803584596237572
GA,fbt,trd,3.8650055646641808
GA,pip,trn,0.663466168805932
GA,trn,trn,0.9780800419139054
GA,mvt,trd,4.706953318028709
GA,trk,trn,5.078775692512319
GA,gmt,trd,3.279729858363423
GA,wtt,trn,0.06106059015823439
GA,wht,trd,30.166348657343583
GA,ott,trd,18.20802833898481
GA,air,trn,0.13180019747904448
GA,otr,trn,0.06326560078229816
HI,fbt,trd,0.6116347974791638
HI,pip,trn,0.018505041983820324
HI,trn,trn,0.0014075099375972509
HI,mvt,trd,0.7448725212033455
HI,trk,trn,0.6116319683378763
HI,gmt,trd,0.5190152702615254
HI,wtt,trn,0.050472973470116714
HI,wht,trd,4.343530428946766
HI,ott,trd,2.8814094932816707
HI,air,trn,0.020940756583189935
HI,otr,trn,0.010051802435895572
ID,fbt,trd,0.6026090006543559
ID,pip,trn,0.03124538548477906
ID,trn,trn,0.16133004774642765
ID,mvt,trd,0.7338805566119376
ID,trk,trn,0.837721955110226
ID,gmt,trd,0.5113562449777115
ID,wtt,trn,0.00663925796268607
ID,wht,trd,4.703360166926996
ID,ott,trd,2.838888994509167
ID,air,trn,0.02173986917336007
ID,otr,trn,0.010435385610100224
IL,fbt,trd,5.683105065951052
IL,pip,trn,1.3435656929397917
IL,trn,trn,1.5116699912790006
IL,mvt,trd,6.921105234995518
IL,trk,trn,7.849493372531056
IL,gmt,trd,4.822515533592923
IL,wtt,trn,0.4909815559629899
IL,wht,trd,44.356605962788784
IL,ott,trd,26.773089032604233
IL,air,trn,0.2037035772490034
IL,otr,trn,0.09778004466351818
IN,fbt,trd,2.4496918514700963
IN,pip,trn,0.5014096683628675
IN,trn,trn,0.70898428383569
IN,mvt,trd,2.9833295180331576
IN,trk,trn,3.681469811071875
IN,gmt,trd,2.078736336762333
IN,wtt,trn,0.23027394129616388
IN,wht,trd,19.119832367155016
IN,ott,trd,11.540490151201944
IN,air,trn,0.09553846782951553
IN,otr,trn,0.04585955621208821
IA,fbt,trd,1.4907289187816304
IA,pip,trn,0.2051556739145966
IA,trn,trn,0.43086010616074205
IA,mvt,trd,1.8154673552585727
IA,trk,trn,2.237282983262296
IA,gmt,trd,1.2649886433161561
IA,wtt,trn,0.01951450942830215
IA,wht,trd,11.63513158394606
IA,ott,trd,7.022818970062341
IA,air,trn,0.05806012253016255
IA,otr,trn,0.02786952222851259
KS,fbt,trd,1.1027077681589406
KS,pip,trn,0.31807523301112905
KS,trn,trn,0.3578721808979283
KS,mvt,trd,1.3429201850587082
KS,trk,trn,1.858286086498796
KS,gmt,trd,0.9357253260757993
KS,wtt,trn,0.006982336039262931
KS,wht,trd,8.606628488601949
KS,ott,trd,5.194852622159476
KS,air,trn,0.04822470768578996
KS,otr,trn,0.0231484107205325
KY,fbt,trd,1.0715015286562763
KY,pip,trn,0.2621688301464879
KY,trn,trn,0.2949708788068369
KY,mvt,trd,1.3049160191881148
KY,trk,trn,1.5316649610308974
KY,gmt,trd,0.9092446305756827
KY,wtt,trn,0.09580481313769872
KY,wht,trd,8.363063948946822
KY,ott,trd,5.04784013182506
KY,air,trn,0.03974850565525651
KY,otr,trn,0.019079736894007354
LA,fbt,trd,1.6646586158707013
