r,h,value
AL,hh1,4.026436612554198
AL,hh2,4.0605871268800895
AL,hh3,4.094129932458929
AL,hh4,4.119584053073605
AL,hh5,4.1001502614273635
AK,hh1,4.026491882964088
AK,hh2,4.089292097230194
AK,hh3,4.108383340405159
AK,hh4,4.139830190826124
AK,hh5,4.183294408892639
AR,hh1,4.021176678788102
AR,hh2,4.050252604344465
AR,hh3,4.088913765659958
AR,hh4,4.094346816673698
AR,hh5,4.106706215320564
AZ,hh1,4.026207142709769
AZ,hh2,4.050546047797628
AZ,hh3,4.083012598804751
AZ,hh4,4.121071450878205
AZ,hh5,4.088934408568392
CA,hh1,4.023323509440245
CA,hh2,4.0585880659605085
CA,hh3,4.091108795213938
CA,hh4,4.112578088032189
CA,hh5,4.103462305535572
CO,hh1,4.024988292115456
CO,hh2,4.073823415555065
CO,hh3,4.082476850924424
CO,hh4,4.118318346286083
CO,hh5,4.106855663065277
CT,hh1,4.015979459267177
CT,hh2,4.051295502252735
CT,hh3,4.079263422551047
CT,hh4,4.099981721871427
CT,hh5,4.093794175751772
DE,hh1,4.02164522593376
DE,hh2,4.0482556069143625
DE,hh3,4.08271865361943
DE,hh4,4.10675469942977
DE,hh5,4.095298730680472
DC,hh1,4.024748418594223
DC,hh2,4.066712963381502
DC,hh3,4.115462060305594
DC,hh4,4.139218125600752
DC,hh5,4.14259415486072
FL,hh1,4.026009191181528
FL,hh2,4.064359245659821
FL,hh3,4.086790882994894
FL,hh4,4.111963242771876
FL,hh5,4.07889049569564
GA,hh1,4.032124322535336
GA,hh2,4.072375903708128
GA,hh3,4.0986961759772
GA,hh4,4.120761593627216
GA,hh5,4.111271637068251
HI,hh1,4.032376896288368
HI,hh2,4.084231935589976
HI,hh3,4.118352766997584
HI,hh4,4.132014703510378
HI,hh5,4.202178221567517
ID,hh1,4.0231497117726445
ID,hh2,4.060505463827416
ID,hh3,4.07625732214831
ID,hh4,4.10019213743263
ID,hh5,4.083275322303465
IL,hh1,4.0206114854020525
IL,hh2,4.054945614181931
IL,hh3,4.078317799584654
IL,hh4,4.110253199832332
IL,hh5,4.1089058880063565
IN,hh1,4.027630131023445
IN,hh2,4.054199691348773
IN,hh3,4.0885333119192255
IN,hh4,4.121183998945224
IN,hh5,4.09187446458245
IA,hh1,4.026968534954326
IA,hh2,4.061420656832955
IA,hh3,4.067370771902284
IA,hh4,4.100413044727634
IA,hh5,4.109203803345173
KS,hh1,4.037021846529353
KS,hh2,4.061326260339714
KS,hh3,4.090661447475101
KS,hh4,4.114534202661683
KS,hh5,4.121329947906263
KY,hh1,4.021897768186516
KY,hh2,4.057926343806613
KY,hh3,4.109962825752957
KY,hh4,4.135729684788862
KY,hh5,4.104924325251453
LA,hh1,4.0199057481255265
LA,hh2,4.058950937643094
LA,hh3,4.0988160726032055
LA,hh4,4.124428319760692
LA,hh5,4.080138160809026
ME,hh1,4.01877303942691
ME,hh2,4.051115998457321
ME,hh3,4.08298693640045
ME,hh4,4.088412900865516
ME,hh5,4.083257446538466
MD,hh1,4.028762374628528
MD,hh2,4.068764944152835
MD,hh3,4.100503836900949
MD,hh4,4.112187269133856
MD,hh5,4.138597340666353
MA,hh1,4.014937534208631
MA,hh2,4.040023725366556
MA,hh3,4.077650912738093
MA,hh4,4.101287021008507
MA,hh5,4.113619859374417
MI,hh1,4.011484977034693
MI,hh2,4.044415846204407
MI,hh3,4.076855525547711
MI,hh4,4.097658178113606
MI,hh5,4.0921843914125065
MN,hh1,4.016648755802638
MN,hh2,4.041891375287125
MN,hh3,4.083420894313798
MN,hh4,4.102766778678018
MN,hh5,4.105320446938058
MS,hh1,4.030468398576294
MS,hh2,4.066141895845182
MS,hh3,4.102630889160789
MS,hh4,4.117773682700063
MS,hh5,4.0992783147266465
MO,hh1,4.017528963281079
MO,hh2,4.057334717765501
MO,hh3,4.085578452425116
MO,hh4,4.116033861596074
MO,hh5,4.092957833306704
MT,hh1,4.024649191629171
MT,hh2,4.060053306154503
MT,hh3,4.088264482848283
MT,hh4,4.1040945713376775
MT,hh5,4.070372194087433
NE,hh1,4.029531422241548
NE,hh2,4.066535441133758
NE,hh3,4.08668484081917
NE,hh4,4.101942543292955
NE,hh5,4.099155598284641
NV,hh1,4.0344190588469
NV,hh2,4.0714647325265805
NV,hh3,4.114466073346492
NV,hh4,4.125329949556186
NV,hh5,4.151555528555688
NH,hh1,4.021930378624536
NH,hh2,4.062784911776997
NH,hh3,4.084452683241654
NH,hh4,4.101345474894043
NH,hh5,4.098119041145578
NJ,hh1,4.024125754106082
NJ,hh2,4.057610839925024
NJ,hh3,4.08978397479652
NJ,hh4,4.100151225295367
NJ,hh5,4.097423944048856
NM,hh1,4.032171062530756
NM,hh2,4.0637118711109235
NM,hh3,4.096824450974733
NM,hh4,4.112455272663191
NM,hh5,4.101813073531286
NY,hh1,4.016107170122229
NY,hh2,4.049757096083387
NY,hh3,4.081671223188484
NY,hh4,4.1104886670216505
NY,hh5,4.116770421697491
NC,hh1,4.026882714587129
NC,hh2,4.069546123693667
NC,hh3,4.0967494456387925
NC,hh4,4.120844135171057
NC,hh5,4.120707417500192
ND,hh1,4.029227779951906
ND,hh2,4.073122420657251
ND,hh3,4.102149345456076
ND,hh4,4.113825440490649
ND,hh5,4.112126948791777
OH,hh1,4.021166809816684
OH,hh2,4.0625271873402085
OH,hh3,4.080211756526847
OH,hh4,4.117372686999902
OH,hh5,4.1048517709522425
OK,hh1,4.025005093556494
OK,hh2,4.06671299490934
OK,hh3,4.09430582513838
OK,hh4,4.102710637799873
OK,hh5,4.100324328647118
OR,hh1,4.016463649876747
OR,hh2,4.034593292608596
OR,hh3,4.064399900141443
OR,hh4,4.0940421244060685
OR,hh5,4.083443888010307
PA,hh1,4.016914008009105
PA,hh2,4.049823826363171
PA,hh3,4.075131336225977
PA,hh4,4.099571741861696
PA,hh5,4.09829697918892
RI,hh1,4.014290385588863
RI,hh2,4.058007247244203
RI,hh3,4.085843269764816
RI,hh4,4.109723121792865
RI,hh5,4.111178848887799
SC,hh1,4.021464114777625
SC,hh2,4.061326120179758
SC,hh3,4.081107710108562
SC,hh4,4.107362878363797
SC,hh5,4.093326597243815
SD,hh1,4.033234917679707
SD,hh2,4.077109596353251
SD,hh3,4.097210987393294
SD,hh4,4.111426008092142
SD,hh5,4.104491991188226
TN,hh1,4.02660983538984
TN,hh2,4.059440878613608
TN,hh3,4.092433580719341
TN,hh4,4.119292052506484
TN,hh5,4.10507158398252
TX,hh1,4.030901815249332
TX,hh2,4.070672030744193
TX,hh3,4.098086477103924
TX,hh4,4.127742312169185
TX,hh5,4.104374527707399
UT,hh1,4.033816664782328
UT,hh2,4.065850749209428
UT,hh3,4.102093376685688
UT,hh4,4.117099077326432
UT,hh5,4.101030173589779
VT,hh1,4.016644315400091
VT,hh2,4.043911177006928
VT,hh3,4.063956877872756
VT,hh4,4.09612428674313
VT,hh5,4.087138810260051
VA,hh1,4.03637916027224
VA,hh2,4.069357428738513
VA,hh3,4.100120599119818
VA,hh4,4.130365908867947
VA,hh5,4.160210574163359
WA,hh1,4.0225571967820155
WA,hh2,4.060470757822766
WA,hh3,4.096280262890742
WA,hh4,4.117130602275899
WA,hh5,4.145511834750228
WV,hh1,4.017337494956783
WV,hh2,4.043422547665952
WV,hh3,4.073790294387684
WV,hh4,4.100007574327817
WV,hh5,4.088683101840705
WI,hh1,4.023249671666804
WI,hh2,4.050388726000149
WI,hh3,4.082129104033161
WI,hh4,4.093697734066966
WI,hh5,4.1109797187511425
WY,hh1,4.0249807053906
WY,hh2,4.06979506135013
WY,hh3,4.092666826580445
WY,hh4,4.102199495595532
WY,hh5,4.110108846744632
