r,s,value
AL,com,0.5573463221070418
AL,con,3.8938454614693057
AL,eec,0.03866397317317666
AL,fnd,4.026865979734688
AL,pub,0.2512615223697971
AL,tex,0.00029346862643636216
AL,ote,0.5803063974247874
AL,mch,0.3195139628071276
AL,dat,0.11388311749297599
AL,pla,0.0003074606991296475
AL,tsv,1.8524638567410208
AL,fpd,0.017780835384614682
AL,slg,17.078148197504284
AL,fmt,0.017929203108284938
AL,cep,0.6662372747290775
AL,mot,0.9573745400941958
AL,fdd,5.600893886285636
AL,wpd,1.9690820932278095e-05
AL,mmf,0.019585108085058527
AK,com,0.5479395887988161
AK,con,2.6600221123109797
AK,eec,0.030755406219707133
AK,fnd,3.5792087071365577
AK,pub,0.24702080158668313
AK,tex,9.905522688966258e-05
AK,ote,0.46160695655241113
AK,mch,0.2541586110404967
AK,dat,0.11196103050312049
AK,pla,0.0002445707960734794
AK,tsv,1.8211984966367099
AK,fpd,0.014143833918210762
AK,slg,15.179610406180732
AK,fmt,0.01426185359484704
AK,cep,0.5299610035219744
AK,mot,0.7615472614032727
AK,fdd,4.97825561278358
AK,wpd,6.646293877391626e-06
AK,mmf,0.01557904957969316
AR,com,0.6293294384760992
AR,con,4.68880142576845
AR,eec,0.016117797917151264
AR,fnd,3.148180383413248
AR,pub,0.283712776978306
AR,tex,0.0002750449844303835
AR,ote,0.24191153872959098
AR,mch,0.1331953511649499
AR,dat,0.12859149785507606
AR,pla,0.00012817072352708106
AR,tsv,2.0917156757270114
AR,fpd,0.007412272666435996
AR,slg,13.351596852485674
AR,fmt,0.007474122517635561
AR,cep,0.27773342669311074
AR,mot,0.3990994225851847
AR,fdd,4.378746238668057
AR,wpd,1.845465255521722e-05
AR,mmf,0.008164417373420267
AZ,com,0.6150726100029966
AZ,con,5.366766166651708
AZ,eec,0.014603553840654631
AZ,fnd,6.3068249735777835
AZ,pub,0.2772855480109121
AZ,tex,0.0007347058966124654
AZ,ote,0.21918429543988155
AZ,mch,0.12068183830449943
AZ,dat,0.12567838619060595
AZ,pla,0.00011612926725130508
AZ,tsv,2.04432995089019
AZ,fpd,0.006715900244085115
AZ,slg,26.747572950411147
AZ,fmt,0.006771939390168972
AZ,cep,0.25164076823090026
AZ,mot,0.3616046022822351
AZ,fdd,8.77204695019741
AZ,wpd,4.929645265239962e-05
AZ,mmf,0.007397382030919031
CA,com,5.613262016412531
CA,con,41.17700291910204
CA,eec,0.1974299116966001
CA,fnd,60.30233699075151
CA,pub,2.530557220459228
CA,tex,0.005739113343782516
CA,ote,2.963219539993664
CA,mch,1.6315346894199994
CA,dat,1.1469633015918503
CA,pla,0.0015699870886899318
CA,tsv,18.65691867223691
CA,fpd,0.09079430983858808
CA,slg,255.74534960106894
CA,fmt,0.09155192019724531
CA,cep,3.4020085243075457
CA,mot,4.888643235519829
CA,fdd,83.87341229630118
CA,wpd,0.00038507643741936666
CA,mmf,0.1000074705846322
CO,com,1.1317411664528467
CO,con,5.15788693423388
CO,eec,0.028588491203239003
CO,fnd,7.253103563152312
CO,pub,0.510208818345622
CO,tex,0.0004141638212829703
CO,ote,0.4290837949750936
CO,mch,0.23625151181722462
CO,dat,0.2312497761598826
CO,pla,0.0002273392197185684
CO,tsv,3.761592250423381
CO,fpd,0.01314731038381623
CO,slg,30.760789697680167
CO,fmt,0.013257014819622489
CO,cep,0.4926218622838256
CO,mot,0.7078913875482387
CO,fdd,10.088208449920367
CO,wpd,2.7789088532362872e-05
CO,mmf,0.014481405925261205
CT,com,1.2510107846488834
CT,con,4.027066361490203
CT,eec,0.08926790614740372
CT,fnd,8.873740588967527
CT,pub,0.5639776594624116
CT,tex,0.00016839279077816234
CT,ote,1.3398192883599538
CT,mch,0.7376981749107782
CT,dat,0.25562025355177065
CT,pla,0.0007098694361023812
CT,tsv,4.158011223962468
CT,fpd,0.04105263412083545
CT,slg,37.63399566989838
CT,fmt,0.041395187535420604
CT,cep,1.53821766444007
CT,mot,2.210399335067115
CT,fdd,12.342322705387746
CT,wpd,1.1298626124923733e-05
CT,mmf,0.0452183634256365
DE,com,0.4823088714399298
DE,con,1.6471979496509752
DE,eec,0.019115429656269348
DE,fnd,3.439863151814808
DE,pub,0.21743332015238642
DE,tex,0.00011022873559616208
DE,ote,0.2869029023316285
DE,mch,0.15796738356089904
DE,dat,0.09855064202531713
DE,pla,0.00015200826205718406
DE,tsv,1.6030602817119282
DE,fpd,0.008790827225695113
DE,slg,14.588638653849118
DE,fmt,0.008864180079846356
DE,cep,0.3293870421031519
DE,mot,0.47332501483758466
DE,fdd,4.78444244075095
DE,wpd,7.396001135017823e-06
DE,mmf,0.009682857843748323
DC,com,1.5885619998797509
DC,con,5.497918979269981
DC,eec,0.06300444335487165
DC,fnd,16.519293874036812
DC,pub,0.7161516827807065
DC,tex,0.0005847624005858972
DC,ote,0.9456317740874252
DC,mch,0.5206603905037388
DC,dat,0.3245924225233115
DC,pla,0.000501019130015384
DC,tsv,5.27993739663415
DC,fpd,0.0289745606530021
DC,slg,70.05918506319718
DC,fmt,0.029216331611196304
DC,cep,1.0856594703436542
DC,mot,1.5600789321519493
DC,fdd,22.976382261160932
DC,wpd,3.923571612300727e-05
DC,mmf,0.03191469297315175
FL,com,2.3178398182394737
FL,con,21.073788989964335
FL,eec,0.15635793501516912
FL,fnd,17.375831631692815
FL,pub,1.0449229469003896
FL,tex,0.001102348776559863
FL,ote,2.3467714911508386
FL,mch,1.2921213039661177
FL,dat,0.47360647030477465
FL,pla,0.0012433776476852988
FL,tsv,7.703853634077031
FL,fpd,0.07190607884840358
FL,slg,73.69180627175575
FL,fmt,0.0725060810983554
FL,cep,2.6942777980986703
FL,mot,3.871643130279122
FL,fdd,24.167724887007246
FL,wpd,7.396413247895519e-05
FL,mmf,0.07920259626481228
GA,com,0.8207642704769862
GA,con,8.597974781545112
GA,eec,0.0668065899875153
GA,fnd,7.6075552508835145
GA,pub,0.37001496542965684
GA,tex,0.0005191139656915403
GA,ote,1.0026980772577607
GA,mch,0.5520808276204433
GA,dat,0.16770756375569232
GA,pla,0.0005312542705331479
GA,tsv,2.7279917093828403
GA,fpd,0.030723096507824833
GA,slg,32.26403775271671
GA,fmt,0.03097945768514678
GA,cep,1.1511760637704833
GA,mot,1.6542254485354033
GA,fdd,10.581208788344375
GA,wpd,3.4830912816820094e-05
GA,mmf,0.03384065780925472
HI,com,0.4976323706619287
HI,con,1.653101617759629
HI,eec,0.06992069716884977
HI,fnd,2.318225161668887
HI,pub,0.22434142304969487
HI,tex,0.00012313470838698178
HI,ote,1.049437617229524
HI,mch,0.5778153976724575
HI,dat,0.10168170756407434
HI,pla,0.0005560180361929586
HI,tsv,1.6539913228646506
HI,fpd,0.03215521593624842
HI,slg,9.831713562211238
HI,fmt,0.03242352707514546
HI,cep,1.2048367228138195
HI,mot,1.731335137112429
HI,fdd,3.2243767734927857
HI,wpd,8.261951278536797e-06
HI,mmf,0.035418098530665236
ID,com,0.4147815392497819
ID,con,2.3996835748597194
ID,eec,0.014296367079022928
ID,fnd,2.3863847329613153
ID,pub,0.18699081140212873
ID,tex,0.00013050928183456917
ID,ote,0.21457373867737192
ID,mch,0.11814328751740841
ID,dat,0.08475271638955618
ID,pla,0.00011368648011011755
ID,tsv,1.3786182476253217
ID,fpd,0.006574630819537317
ID,slg,10.120781851413936
ID,fmt,0.006629491178320635
ID,cep,0.24634748732607234
ID,mot,0.3539982245485519
ID,fdd,3.3191786685806286
ID,wpd,8.756761940145508e-06
ID,mmf,0.007241777590012015
IL,com,1.82536010463574
IL,con,17.89584083994688
IL,eec,0.17239844149438366
IL,fnd,13.794023194046522
IL,pub,0.8229044322567234
IL,tex,0.0012071628710411438
IL,ote,2.58752296503919
IL,mch,1.424677928906124
IL,dat,0.3729776101820202
IL,pla,0.0013709337401335117
IL,tsv,6.0669883073621405
IL,fpd,0.07928280663360253
IL,slg,58.50117027318077
IL,fmt,0.0799443621394026
IL,cep,2.970679379336059
IL,mot,4.268828707783864
IL,fdd,19.185853356835
IL,wpd,8.099682824160538e-05
IL,mmf,0.08732786191527692
IN,com,0.6615158606273027
IN,con,9.175759925793582
IN,eec,0.04434592293638467
IN,fnd,5.044817857084306
IN,pub,0.2982229820493195
IN,tex,0.0006339392005684986
IN,ote,0.6655866086091714
IN,mch,0.3664688444790686
IN,dat,0.13516818087985444
IN,pla,0.0003526442667570802
IN,tsv,2.1986943734378075
IN,fpd,0.020393857407745554
IN,slg,21.395335088449652
IN,fmt,0.020564028838670624
IN,cep,0.7641456482020205
IN,mot,1.0980676348525857
IN,fdd,7.016744444777801
IN,wpd,4.253532458282279e-05
IN,mmf,0.02246328099677324
IA,com,0.5306165196568572
IA,con,5.833302637155765
IA,eec,0.01945274456341386
IA,fnd,3.0030501362577313
IA,pub,0.23921125740906873
IA,tex,0.0002680166535289712
IA,ote,0.2919656515138183
IA,mch,0.16075490935947456
IA,dat,0.10842139089273518
IA,pla,0.0001546906319396837
IA,tsv,1.763621442298238
IA,fpd,0.008945952018738218
IA,slg,12.736091921023904
IA,fmt,0.009020599272839226
IA,cep,0.3351994753845137
IA,mot,0.48167740797235004
IA,fdd,4.176887245073736
IA,wpd,1.798307367841174e-05
IA,mmf,0.009853723597392852
KS,com,0.49130868701663294
KS,con,3.290353509855658
KS,eec,0.01953850607904335
KS,fnd,2.9644925188232256
KS,pub,0.22149059526689868
KS,tex,0.00018837707908854506
KS,ote,0.29325284349353875
KS,mch,0.16146363118670087
KS,dat,0.10038958311828437
KS,pla,0.00015537261812449086
KS,tsv,1.63297316067406
KS,fpd,0.008985392129688866
KS,slg,12.572567058760534
KS,fmt,0.009060368481909083
KS,cep,0.33667727276952913
KS,mot,0.48380098412981865
KS,fdd,4.123258163588165
KS,wpd,1.2639508955763899e-05
KS,mmf,0.009897165810266806
KY,com,1.0267942119566993
KY,con,5.051851764546315
KY,eec,0.028011971802897905
KY,fnd,6.061321812777833
KY,pub,0.4628968858741066
KY,tex,0.0005629133870840568
KY,ote,0.4204308328297147
KY,mch,0.2314872317104412
KY,dat,0.20980586260855325
KY,pla,0.00022275466610591348
KY,tsv,3.4127778196683867
KY,fpd,0.012882179935179006
KY,slg,25.70638126829474
KY,fmt,0.012989672056417975
KY,cep,0.48268758283480695
KY,mot,0.693615953585858
KY,fdd,8.43058111564812
KY,wpd,3.7769716102371476e-05
KY,mmf,0.014189371924558792
LA,com,0.7059336274657857
LA,con,4.204765569184282
LA,eec,0.06885717204905534
LA,fnd,5.464433014130355
LA,pub,0.3182472923810212
LA,tex,0.0005092423512049427
LA,ote,1.033475201052729
LA,mch,0.5690265666837635
LA,dat,0.1442441064919931
LA,pla,0.0005475607528348998
LA,tsv,2.3463266523310677
LA,fpd,0.031666120700283726
LA,slg,23.17494480827043
LA,fmt,0.03193035070658781
LA,cep,1.1865106166414374
LA,mot,1.7050007542521544
LA,fdd,7.600379455110787
LA,wpd,3.416855856270964e-05
LA,mmf,0.034879373389070135
ME,com,0.4331327585292195
ME,con,1.8287567855790203
ME,eec,0.0156627568460376
ME,fnd,2.224257144625564
ME,pub,0.19526386374068513
ME,tex,0.00015120607689241675
ME,ote,0.23508184113292802
ME,mch,0.1294349519110938
ME,dat,0.0885024389201342
ME,pla,0.00012455218062072576
ME,tsv,1.4396125865020357
