r,s,value
AL,ppd,0.03916028809081961
AL,com,2.6542159670646557
AL,fbp,0.09883641495059221
AL,con,16.239534086731517
AL,agr,0.030629236946694276
AL,eec,0.9580805792519892
AL,pub,0.6588557859233665
AL,ins,0.06025122521060717
AL,tex,0.2959615350471116
AL,leg,0.42343569716364704
AL,nmp,0.07641226299590159
AL,brd,0.26593744846350026
AL,ore,2.0905525311373063
AL,ote,1.5007500120308992
AL,mch,2.2524046233239026
AL,dat,0.11317396798320012
AL,oil,2.581344143096783e-12
AL,pla,0.03503093302035382
AL,fof,0.022742648826479406
AL,tsv,6.155245229647758
AL,art,0.02749608379663663
AL,mov,0.07685435189259031
AL,fpd,1.263107029039197
AL,pri,0.004711881254432393
AL,smn,0.1438315611807377
AL,fmt,0.3718955246787355
AL,pet,3.0730526230726684e-11
AL,cep,1.078328999007321
AL,mot,11.430464611075582
AL,alt,0.1023104578980894
AL,pmt,0.22649032398032432
AL,wpd,1.0516354281966074
AL,che,0.013721972767445386
AL,mmf,0.6275035211980315
AL,min,0.011423795557844122
AK,ppd,8.046358978970504e-06
AK,com,0.1456489320842033
AK,fbp,0.02714666304003474
AK,con,3.7212635796331988
AK,agr,0.00022438497178926595
AK,eec,0.001722689838212429
AK,pub,0.038714466452815094
AK,ins,0.003967100185436453
AK,tex,0.0009914085271324259
AK,leg,0.028218542113337998
AK,nmp,0.0012634476830186967
AK,brd,0.09574250936234315
AK,ore,0.38737727014166057
AK,ote,0.021647373226859414
AK,mch,0.03984678963066467
AK,dat,0.015276507643873748
AK,oil,4.6828148066725305e-11
AK,pla,0.00012164417081319761
AK,fof,0.012364032734278732
AK,tsv,0.963775640611094
AK,art,0.008744922962063164
AK,mov,0.01658410266810192
AK,fpd,0.016180578176742684
AK,pri,0.00034819865795502995
AK,smn,1.4189569365126848
AK,fmt,0.005436977970546192
AK,pet,7.1047698425978165e-12
AK,cep,0.02284310652102736
AK,mot,0.006849511392063507
AK,alt,0.002116038426020463
AK,pmt,0.00012463822921524677
AK,wpd,0.015700676268135184
AK,che,3.682103604860121e-05
AK,mmf,0.00779039213341569
AK,min,0.015395903838569303
AR,ppd,0.018487850814014557
AR,com,0.866219444601771
AR,fbp,0.15560136437269828
AR,con,8.14670893697795
AR,agr,0.04398358425545298
AR,eec,0.6847029533879708
AR,pub,0.15278290145976955
AR,ins,0.03583990399765192
AR,tex,0.027498541778883605
AR,leg,0.12861639067800096
AR,nmp,0.018043612223110763
AR,brd,0.1111483566471183
AR,ore,1.0945013791036486
AR,ote,0.38117722110820756
AR,mch,3.8969688699149447
AR,dat,0.18219213399177714
AR,oil,2.044232163011428e-12
AR,pla,0.03477988015718616
AR,fof,0.02047170403855066
AR,tsv,2.1578828090000712
AR,art,0.020875633644566207
AR,mov,0.03047756921011061
AR,fpd,0.38339454185102917
AR,pri,0.005302393598332736
