r,s,value
AL,ppd,1.3008717971138761
AL,res,0.7898133736640802
AL,com,0.22939878718545875
AL,amb,2.258394147273646
AL,fbp,0.7445308879037317
AL,rec,0.0679716148466987
AL,con,3.591530607793562
AL,agr,1.6245742435860027
AL,eec,0.17829226718937938
AL,fnd,1.786694629215951
AL,pub,0.4647422902439152
AL,hou,13.642985147302857
AL,fbt,0.49626054943702297
AL,ins,1.2351245923424155
AL,tex,0.06241256782806855
AL,leg,1.0673096156613708
AL,fen,0.2747843221632147
AL,uti,2.915748717524836
AL,nmp,0.7744796565219956
AL,brd,1.5262841210552942
AL,bnk,3.6077014257979028
AL,ore,4.106300738469174
AL,edu,0.12598162058919782
AL,ote,0.7662384508363246
AL,man,0.15017828807029335
AL,mch,0.14765601065125786
AL,dat,0.29813937334580354
AL,amd,0.5333009757622926
AL,oil,0.1582745561510957
AL,hos,1.04417435171031
AL,rnt,1.3408457007694146
AL,pla,0.14714750833035334
AL,fof,0.14237261999128964
AL,fin,0.01825219570577228
AL,tsv,1.8898445944021103
AL,nrs,0.21023202839337976
AL,sec,0.05295319880173778
AL,art,0.17432152260506095
AL,mov,0.05835626236380219
AL,fpd,0.23577217484153612
AL,slg,12.298910517932844
AL,pri,0.056605360579090984
AL,grd,0.012181981942898844
AL,pip,0.13973177512170906
AL,sle,1.8924109788874182
AL,osv,1.0791233043397999
AL,trn,0.34361928904846356
AL,smn,0.013361646529395364
AL,fmt,0.5423549252315663
AL,pet,0.8149218524156268
AL,mvt,1.0421261304848173
AL,cep,0.17024656770945254
AL,wst,0.20294001160956937
AL,mot,1.47094239891669
AL,adm,1.0821653867804137
AL,soc,0.16685019455824723
AL,alt,0.014445630068960333
AL,pmt,2.053100020904293
AL,trk,0.9966668658531946
AL,fdd,2.435788342200083
AL,gmt,0.197069127154602
AL,wtt,0.030486868222259454
AL,wpd,1.2389044145983807
AL,wht,4.2518608443173616
AL,wrh,0.04349675406077262
AL,ott,2.9760426925489623
AL,che,1.5460485606288226
AL,air,0.07252487489263287
AL,mmf,0.1363255630004997
AL,otr,0.5258504940481052
AL,min,0.7138663756255171
AK,ppd,0.0002078551179848943
AK,res,0.33150966909473906
AK,com,0.027526039896720356
AK,amb,0.529776177971663
AK,fbp,0.07793666250725167
AK,rec,0.02100905340546462
AK,con,0.8321296311532889
AK,agr,0.01047020869792072
AK,eec,0.0002552540402503557
AK,fnd,0.37194771390811365
AK,pub,0.024594834892046235
AK,hou,2.527508800138429
AK,fbt,0.07311793741756098
AK,ins,0.10094142071570499
AK,tex,0.0002599454408480925
AK,leg,0.06108671328388762
AK,fen,0.03946312264640943
AK,uti,0.3821771358968292
AK,nmp,0.007999653258350515
AK,brd,0.5392556816445925
AK,bnk,0.29023240239187864
AK,ore,0.7573101400477674
AK,edu,0.03392566509613558
AK,ote,0.021328479154729022
