r,h,value
AL,hh1,1.099810079228981
AL,hh2,3.139859373684447
AL,hh3,5.653263140520026
AL,hh4,13.768316783804945
AL,hh5,33.75269096321967
AK,hh1,0.278263240466415
AK,hh2,0.6644675185836787
AK,hh3,1.472520160567599
AK,hh4,4.086628013652591
AK,hh5,11.140447065358696
AR,hh1,0.7405238621771747
AR,hh2,3.178016644056601
AR,hh3,2.263663542827609
AR,hh4,11.187115780351458
AR,hh5,17.331412395986085
AZ,hh1,3.4317654489050606
AZ,hh2,5.476204231613538
AZ,hh3,13.846101894929207
AZ,hh4,27.76453285377055
AZ,hh5,112.47778250761759
CA,hh1,8.698182849871172
CA,hh2,34.33045137250604
CA,hh3,44.96732212521968
CA,hh4,170.9363302185496
CA,hh5,699.7636487627415
CO,hh1,1.2261780872739714
CO,hh2,3.904184314834568
CO,hh3,9.821038034348211
CO,hh4,26.147625148359527
CO,hh5,138.0220656306728
CT,hh1,0.9749616275827735
CT,hh2,3.7648195960271886
CT,hh3,6.118527619989372
CT,hh4,17.56972676483362
CT,hh5,93.50267970413958
DE,hh1,0.16181085751271526
DE,hh2,0.8559114138106999
DE,hh3,1.1549685211765013
DE,hh4,3.9645553410064873
DE,hh5,13.882131038200217
DC,hh1,0.08632412644451003
DC,hh2,0.2955477179526119
DC,hh3,0.6264604621206392
DC,hh4,2.5391674272786493
DC,hh5,16.97045556285496
FL,hh1,8.194768811143636
FL,hh2,26.312151185781577
FL,hh3,46.02318697677933
FL,hh4,98.34332166667423
FL,hh5,330.5038112670138
GA,hh1,2.688169581611835
GA,hh2,9.139969090340466
GA,hh3,14.210377371274404
GA,hh4,40.54654726492256
GA,hh5,89.17341836941627
HI,hh1,0.3736908373537935
HI,hh2,1.2969206691073119
HI,hh3,1.6071533159418638
HI,hh4,5.947813492836452
HI,hh5,19.395209749824634
ID,hh1,0.3200735424071905
ID,hh2,1.3160679082336995
ID,hh3,2.416513103329153
ID,hh4,13.75689566107329
ID,hh5,26.36550436532783
IL,hh1,1.5648024915592091
IL,hh2,8.416938344103473
IL,hh3,17.12904342511037
IL,hh4,57.96151191175705
IL,hh5,191.5190462607719
IN,hh1,1.590732238773571
IN,hh2,5.233708889890538
IN,hh3,12.153703647487138
IN,hh4,35.75272620388998
IN,hh5,99.88281329835603
IA,hh1,0.4002393542986104
IA,hh2,3.91813599374567
IA,hh3,6.979319392751754
IA,hh4,20.45131278564067
IA,hh5,79.06145781463026
KS,hh1,0.6430665677836587
KS,hh2,2.2477051641653527
KS,hh3,6.559713968860492
KS,hh4,17.52844159052626
KS,hh5,50.01652837772844
KY,hh1,1.2497556460172023
KY,hh2,2.1546299574136203
KY,hh3,3.155208361204465
KY,hh4,18.915870534371624
KY,hh5,41.98331572190765
LA,hh1,1.9116796853998388
LA,hh2,3.4550711072039832
LA,hh3,4.732157464996847
LA,hh4,10.313613362020202
LA,hh5,46.60175987328881
ME,hh1,0.295302991699507
ME,hh2,1.062107055267178
ME,hh3,2.5229136179377276
ME,hh4,9.133109400540825
ME,hh5,19.946617971707578
MD,hh1,1.1406886594433685
MD,hh2,1.903771300695409
MD,hh3,7.9583883353605485
MD,hh4,29.21319159473721
MD,hh5,105.73238683250356
MA,hh1,0.7456070232988264
MA,hh2,4.261910511485998
MA,hh3,8.37614218894818
MA,hh4,32.61136173740943
MA,hh5,149.4857608723877
MI,hh1,0.6265801793753034
MI,hh2,6.8974534330062465
MI,hh3,8.456701815194348
MI,hh4,39.33912015349367
MI,hh5,114.28208783292841
MN,hh1,0.8873291465551405
MN,hh2,3.1369883049925833
MN,hh3,6.775379360322011
MN,hh4,29.231097386525345
MN,hh5,102.03728206971365
MS,hh1,0.45274865768931816
MS,hh2,3.4477681205852186
MS,hh3,2.6322889516886363
MS,hh4,10.955972594713625
MS,hh5,17.066181657197586
MO,hh1,0.8107591966185749
MO,hh2,6.2823192137499175
MO,hh3,9.179271107887436
MO,hh4,27.73685876994841
MO,hh5,74.56863787606959
MT,hh1,0.3945405907005933
MT,hh2,1.4887449982132475
MT,hh3,1.393786275029945
MT,hh4,7.337586662625121
MT,hh5,25.764156540690003
NE,hh1,0.16883657852575817
NE,hh2,1.4271201508375735
NE,hh3,3.3982276723799956
NE,hh4,14.178384165886401
NE,hh5,35.673421193303724
NV,hh1,1.1274895973859946
NV,hh2,3.278291160735978
NV,hh3,2.231002865721936
NV,hh4,12.536522659877868
NV,hh5,43.82015998215883
NH,hh1,0.3163788360203672
NH,hh2,0.9030126812068779
NH,hh3,1.9636219456661015
NH,hh4,9.773392786774313
NH,hh5,30.7024286288509
NJ,hh1,1.5423041257414156
NJ,hh2,4.203357495202064
NJ,hh3,9.691760434097112
NJ,hh4,28.15418057084647
NJ,hh5,149.188444686268
NM,hh1,0.5304004382041834
NM,hh2,1.8394668026924785
NM,hh3,1.8945186687068647
NM,hh4,9.318745203682285
NM,hh5,19.030442145801217
NY,hh1,3.0085805673618857
NY,hh2,13.048657566407522
NY,hh3,19.858930004780955
NY,hh4,84.41368270462986
NY,hh5,374.265724993058
NC,hh1,2.1003069955372937
NC,hh2,9.201570880771936
NC,hh3,13.07513653768159
NC,hh4,41.6072242129254
NC,hh5,124.38441415556144
ND,hh1,0.1488067867672671
ND,hh2,0.7422006773099515
ND,hh3,1.5016776394970381
ND,hh4,6.226614934499798
ND,hh5,13.922611025814291
OH,hh1,3.1502086916630807
OH,hh2,6.498625999212459
OH,hh3,14.688660724132193
OH,hh4,46.606566574202766
OH,hh5,165.179528180524
OK,hh1,0.6430567147069136
OK,hh2,3.591573823216719
OK,hh3,5.42797561462982
OK,hh4,24.619074488164266
OK,hh5,53.07199285878127
OR,hh1,1.2699120122709704
OR,hh2,5.406042023709733
OR,hh3,6.130124788639861
OR,hh4,25.28107423954469
OR,hh5,91.30226339675697
PA,hh1,1.3783714043672
PA,hh2,10.437517863715355
PA,hh3,17.792067695502308
PA,hh4,54.80544396720249
PA,hh5,216.8585099386874
RI,hh1,0.23262362563647676
RI,hh2,0.7730192707529768
RI,hh3,1.232839520515221
RI,hh4,4.930224428021363
RI,hh5,16.294522670986392
SC,hh1,1.1589562691133635
SC,hh2,2.7936777208978905
SC,hh3,6.617500577713932
SC,hh4,19.87111319107002
SC,hh5,48.40975290707667
SD,hh1,0.016551170349431196
SD,hh2,0.8685293685267321
SD,hh3,1.9558898263487963
SD,hh4,8.246008482404248
SD,hh5,10.106229098517877
TN,hh1,1.5895306527473925
TN,hh2,5.1623065782236015
TN,hh3,7.372523442172339
TN,hh4,32.3580660560395
TN,hh5,83.13625254931527
TX,hh1,7.204924519939582
TX,hh2,23.633193816839075
TX,hh3,35.12000805124196
TX,hh4,130.38182885363497
TX,hh5,349.17003796026415
UT,hh1,0.3847035759249161
UT,hh2,2.046148334845396
UT,hh3,2.4079566458126855
UT,hh4,13.217265469165174
UT,hh5,44.15463943699633
VT,hh1,0.14629040808432792
VT,hh2,0.5813700116109833
VT,hh3,1.6145170792156747
VT,hh4,4.930679025174155
VT,hh5,9.579233415430638
VA,hh1,1.0528738559348125
VA,hh2,4.897616980984859
VA,hh3,13.797078897922823
VA,hh4,30.05628324261978
VA,hh5,148.18216129604284
WA,hh1,1.9910203781678748
