r,q,h,value
AL,AL,hh1,2.0754154805582883
AL,AL,hh2,10.104574784355968
AL,AL,hh3,18.345234899220575
AL,AL,hh4,51.02084195421636
AL,AL,hh5,59.13204249808193
AL,GA,hh1,0.6800676615047726
AL,GA,hh2,0.28614943054689634
AL,GA,hh3,0.6800676615047726
AL,GA,hh4,0.6800676615047726
AL,GA,hh5,0.6800676615047726
AK,AK,hh1,0.22631897750902497
AK,AK,hh2,2.0474079393807205
AK,AK,hh3,3.4882079858710826
AK,AK,hh4,13.63541969837281
AK,AK,hh5,24.74059873748455
AR,AR,hh1,1.4225823576793961
AR,AR,hh2,6.750157182456716
AR,AR,hh3,10.654153313764274
AR,AR,hh4,24.248824370829528
AR,AR,hh5,34.75432583059888
AZ,AZ,hh1,2.5168104031803433
AZ,AZ,hh2,11.467839845129891
AZ,AZ,hh3,22.799489889105004
AZ,AZ,hh4,78.04602494132756
AZ,AZ,hh5,126.10804267485595
CA,CA,hh1,11.246369011175007
CA,CA,hh2,67.93391665275385
CA,CA,hh3,124.52541443859266
CA,CA,hh4,481.69532637961737
CA,CA,hh5,1136.1897292102528
CO,CO,hh1,1.6028186918602798
CO,CO,hh2,11.86542093035365
CO,CO,hh3,18.34390217160143
CO,CO,hh4,71.52554258316093
CO,CO,hh5,155.9357868275511
CT,CT,hh1,0.5169618566836272
CT,CT,hh2,3.7926177901558944
CT,CT,hh3,7.69832003455232
CT,CT,hh4,31.792652623768504
CT,CT,hh5,95.92145171918257
CT,MA,hh1,0.0431086193638494
CT,MA,hh2,0.39311452828330545
CT,MA,hh3,0.5388577420481175
CT,MA,hh4,0.5388577420481175
CT,MA,hh5,0.5388577420481175
CT,NY,hh1,0.32041900831524767
CT,NY,hh2,1.5710754335984727
CT,NY,hh3,1.5710754335984727
CT,NY,hh4,1.5710754335984727
CT,NY,hh5,1.5710754335984727
DE,DE,hh1,0.19460289109430495
DE,DE,hh2,1.1013244805065197
DE,DE,hh3,3.0370436914998082
DE,DE,hh4,10.41270109721582
DE,DE,hh5,20.18639768821865
DE,MD,hh1,0.06856234305020029
DE,MD,hh2,0.2817484640763867
DE,MD,hh3,0.29115480295306084
DE,MD,hh4,0.35416434527621254
DE,MD,hh5,0.3541590120705948
DE,PA,hh1,0.05912337349948373
DE,PA,hh2,0.42870661189789744
DE,PA,hh3,0.16424061841454396
DE,PA,hh4,0.49078006260498
DE,PA,hh5,0.49078006260498
DC,DC,hh1,0.2041234120286679
DC,DC,hh2,1.2560504503661187
DC,DC,hh3,2.8723196188407565
DC,DC,hh4,10.666547564240657
DC,DC,hh5,43.100333842750615
DC,MD,hh1,0.0947484397285476
DC,MD,hh2,0.0947484397285476
DC,MD,hh3,0.0947484397285476
DC,MD,hh4,0.9209082842715436
DC,MD,hh5,1.184355496606845
DC,VA,hh1,0.09165674757473741
DC,VA,hh2,0.1778059847650172
DC,VA,hh3,0.5285254259068874
DC,VA,hh4,1.1457093446842175
DC,VA,hh5,1.1457093446842175
FL,FL,hh1,9.793924841496171
FL,FL,hh2,56.156134598428046
FL,FL,hh3,92.37134692809127
FL,FL,hh4,242.08003358209902
FL,FL,hh5,318.30554691595813
GA,FL,hh1,0.11360036214596671
GA,FL,hh2,0.022982287690369405
GA,FL,hh3,0.09994388420574254
GA,FL,hh4,0.15124155421453453
GA,FL,hh5,0.15768906350487677
GA,GA,hh1,4.480901978710001
GA,GA,hh2,26.053407268386515
GA,GA,hh3,42.9838992348366
GA,GA,hh4,129.21516427921293
GA,GA,hh5,189.8078829997828
GA,SC,hh1,0.33580430069726025
GA,SC,hh2,0.03152054426437301
GA,SC,hh3,0.3221478227570336
GA,SC,hh4,0.3734454927658275
GA,SC,hh5,0.3798930020561668
GA,TN,hh1,0.5390227618348735
GA,TN,hh2,0.052019691348310006
GA,TN,hh3,0.5253662838946531
GA,TN,hh4,0.5766639539034459
GA,TN,hh5,0.5831114631937834
HI,HI,hh1,0.4577459790673972
HI,HI,hh2,3.766941722854243
HI,HI,hh3,7.4264179528923755
HI,HI,hh4,25.72972001696291
HI,HI,hh5,53.927032677608395
ID,ID,hh1,0.26060780675959644
ID,ID,hh2,2.741492439656424
ID,ID,hh3,4.868997674884543
ID,ID,hh4,21.038277793445424
ID,ID,hh5,21.668945672743156
ID,WA,hh1,0.12796969047102952
ID,WA,hh2,0.304786000922915
ID,WA,hh3,0.304786000922915
ID,WA,hh4,0.304786000922915
ID,WA,hh5,0.304786000922915
IL,IL,hh1,2.348370067140695
IL,IL,hh2,16.0001746753088
IL,IL,hh3,32.34806384597307
IL,IL,hh4,135.47286623569622
IL,IL,hh5,287.5328864425897
IL,IN,hh1,0.08892328108387258
IL,IN,hh2,0.6361825214522282
IL,IN,hh3,0.6361825189314363
IL,IN,hh4,0.6361825179013181
IL,IN,hh5,0.6361825179463072
IL,IA,hh1,0.05136844947304783
IL,IA,hh2,0.467013862634633
IL,IA,hh3,0.5228490902264289
IL,IA,hh4,0.6421018890592851
IL,IA,hh5,0.6421018890592851
IL,MO,hh1,0.7091048910357589
IL,MO,hh2,1.5956240875085472
IL,MO,hh3,1.651459315100337
IL,MO,hh4,1.6932310173647132
IL,MO,hh5,1.693231017409704
IL,WI,hh1,0.04490929557995846
IL,WI,hh2,0.44786135975798774
IL,WI,hh3,0.5036965873497784
IL,WI,hh4,0.5613625136394176
IL,WI,hh5,0.5613625136394176
IN,IL,hh1,0.10905190824963429
IN,IL,hh2,0.8979293472331505
IN,IL,hh3,1.1705995955968627
IN,IL,hh4,1.1705995955968627
IN,IL,hh5,1.1705995955968627
IN,IN,hh1,1.8509565108422374
IN,IN,hh2,9.780258327655236
IN,IN,hh3,24.163589381116616
IN,IN,hh4,78.61599685633233
IN,IN,hh5,82.22106655700219
IN,KY,hh1,0.574786676037496
IN,KY,hh2,0.7696838551756287
IN,KY,hh3,0.84482496231637
IN,KY,hh4,0.84482496231637
IN,KY,hh5,0.84482496231637
IN,OH,hh1,0.12054962899309271
IN,OH,hh2,0.4150358607871375
IN,OH,hh3,0.4150358607871375
IN,OH,hh4,0.4150358607871375
IN,OH,hh5,0.4150358607871375
IA,IL,hh1,0.10538100792495057
IA,IL,hh2,0.338715311155265
IA,IL,hh3,0.338715311155265
IA,IL,hh4,0.338715311155265
IA,IL,hh5,0.338715311155265
IA,IA,hh1,0.7698347553516887
IA,IA,hh2,5.804084022470125
IA,IA,hh3,7.781655192605244
IA,IA,hh4,33.0805592146681
IA,IA,hh5,44.15677341957116
IA,NE,hh1,0.09566860149120425
IA,NE,hh2,0.49147049941420756
IA,NE,hh3,0.49147049941420756
IA,NE,hh4,0.49147049941420756
IA,NE,hh5,0.49147049941420756
KS,KS,hh1,0.7969695801626244
KS,KS,hh2,4.860407052569653
KS,KS,hh3,8.04803341324128
KS,KS,hh4,37.43063022668348
KS,KS,hh5,48.18271659217653
KS,MO,hh1,0.42363314802692104
KS,MO,hh2,1.02765285266345
KS,MO,hh3,1.5364627841072875
KS,MO,hh4,1.5364627841072875
KS,MO,hh5,1.5364627841072875
KY,IN,hh1,0.1241126503327574
KY,IN,hh2,0.030217857001375404
KY,IN,hh3,0.3777232125171925
KY,IN,hh4,0.3777232125171925
KY,IN,hh5,0.3777232125171925
KY,KY,hh1,1.3805198358848256
KY,KY,hh2,10.49030745137867
KY,KY,hh3,15.787157407617128
KY,KY,hh4,51.925821612167034
KY,KY,hh5,61.593084055398435
KY,OH,hh1,0.5466777626153198
KY,OH,hh2,0.07064880971186702
KY,OH,hh3,0.8831101213983376
KY,OH,hh4,0.8831101213983376
KY,OH,hh5,0.8831101213983376
LA,LA,hh1,1.9298662025248614
LA,LA,hh2,9.32011661208568
LA,LA,hh3,16.396718838499424
LA,LA,hh4,47.7660494415517
LA,LA,hh5,55.46792602099689
ME,ME,hh1,0.40993081471910436
ME,ME,hh2,2.627728836366117
ME,ME,hh3,4.980810735222229
ME,ME,hh4,14.319799293034766
ME,ME,hh5,20.51017296688747
MD,DE,hh1,0.04253351526697181
MD,DE,hh2,0.04253351526697181
MD,DE,hh3,0.40436723910464256
MD,DE,hh4,0.5316689408371476
MD,DE,hh5,0.5316689408371476
MD,DC,hh1,0.8670898171574997
MD,DC,hh2,7.314910223742226
MD,DC,hh3,7.314910223742226
MD,DC,hh4,7.314910223742226
MD,DC,hh5,7.314910223742226
MD,MD,hh1,0.5583176635248644
MD,MD,hh2,5.264171599276825
MD,MD,hh3,10.65111777582995
MD,MD,hh4,58.45588066269352
MD,MD,hh5,175.52275960462083
MD,PA,hh1,0.035631516991832604
MD,PA,hh2,0.035631516991832604
MD,PA,hh3,0.03973059289261985
MD,PA,hh4,0.44539396239790746
MD,PA,hh5,0.44539396239790746
MD,VA,hh1,0.249243846078638
MD,VA,hh2,0.249243846078638
MD,VA,hh3,3.115548075982975
MD,VA,hh4,3.115548075982975
MD,VA,hh5,3.115548075982975
MA,CT,hh1,0.04950062964108741
MA,CT,hh2,0.45762772462083007
MA,CT,hh3,0.5496691621459376
MA,CT,hh4,0.5439198689660103
MA,CT,hh5,0.5630986191653304
