r,h,value
AL,hh1,0.10559001811455244
AL,hh2,0.3497650213707962
AL,hh3,0.6259907691121969
AL,hh4,1.669547017542016
AL,hh5,1.8185000302660705
AK,hh1,0.0089096598261949
AK,hh2,0.07309409079690259
AK,hh3,0.1196032649442092
AK,hh4,0.4527018148772662
AK,hh5,0.7757336160959292
AR,hh1,0.056173026791201876
AR,hh2,0.22264677964038604
AR,hh3,0.34921632538969827
AR,hh4,0.7569287755340706
AR,hh5,0.9889583721998376
AZ,hh1,0.10498039784028712
AZ,hh2,0.38921860314661766
AZ,hh3,0.7594910931941224
AZ,hh4,2.509248727797566
AZ,hh5,3.764864383962877
CA,hh1,0.45371016928629904
CA,hh2,2.318779389082787
CA,hh3,4.160444362858032
CA,hh4,14.943816133840858
CA,hh5,31.764639587286638
CO,hh1,0.06037976413062958
CO,hh2,0.3838271673738862
CO,hh3,0.5858687088056393
CO,hh4,2.2891463160747167
CO,hh5,4.703024633070416
CT,hh1,0.0363564252371956
CT,hh2,0.18667235658232884
CT,hh3,0.317260509572528
CT,hh4,1.0604276808741548
CT,hh5,2.837519061945474
DE,hh1,0.012919968709299182
DE,hh2,0.06061900077193432
DE,hh3,0.11186390108253633
DE,hh4,0.3506640930103331
DE,hh5,0.6200393731627214
DC,hh1,0.014585163945924004
DC,hh2,0.047540079028996755
DC,hh3,0.10691168641308897
DC,hh4,0.37911537785686894
DC,hh5,1.2701548935072628
FL,hh1,0.39672820769070877
FL,hh2,1.9757647535657754
FL,hh3,3.2106505041953515
FL,hh4,8.143088683899109
FL,hh5,10.147524069285925
GA,hh1,0.21891306625984064
GA,hh2,0.8629243335369554
GA,hh3,1.4173409557932823
GA,hh4,4.131213552689871
GA,hh5,5.628006611134746
HI,hh1,0.017225113140673633
HI,hh2,0.12164272415390642
HI,hh3,0.24185013744826345
HI,hh4,0.7985734942622041
HI,hh5,1.5590624150192027
ID,hh1,0.0160794916733588
ID,hh2,0.09900601179104912
ID,hh3,0.16724277249142155
ID,hh4,0.664499422162302
ID,hh5,0.6298461812038825
IL,hh1,0.12852739505643396
IL,hh2,0.6378679805169111
IL,hh3,1.1665752753441354
IL,hh4,4.465436060354659
IL,hh5,8.775119506052915
IN,hh1,0.10562106631710266
IN,hh2,0.3943345392888929
IN,hh3,0.8835500326894211
IN,hh4,2.642709416725591
IN,hh5,2.534903886325558
IA,hh1,0.04006731128920438
IA,hh2,0.22234349317446378
IA,hh3,0.2753377778050094
IA,hh4,1.058799674254202
IA,hh5,1.3271460288029777
KS,hh1,0.04913581592108347
KS,hh2,0.19095902271004228
KS,hh3,0.3161601353139345
KS,hh4,1.2462624140037366
KS,hh5,1.4944557229693922
KY,hh1,0.08124683774610339
KY,hh2,0.3398738065801348
KY,hh3,0.5628250764699497
KY,hh4,1.6593035037068338
KY,hh5,1.8805835202171206
LA,hh1,0.07557105935692501
LA,hh2,0.31589511958760225
LA,hh3,0.5440345299016052
LA,hh4,1.5404117589661774
LA,hh5,1.6577868545762795
ME,hh1,0.01575876170781953
ME,hh2,0.08617818254872775
ME,hh3,0.16091917301710734
ME,hh4,0.44513044373212146
ME,hh5,0.597122039657857
MD,hh1,0.06614528452220403
MD,hh2,0.419573790337884
MD,hh3,0.6879681882073929
MD,hh4,2.1866136451821725
MD,hh5,5.473123072997979
MA,hh1,0.06194629367596342
MA,hh2,0.26831105503094016
MA,hh3,0.6012086608435752
MA,hh4,2.1037993656365077
MA,hh5,7.34294133288871
MI,hh1,0.07598538721457565
MI,hh2,0.5202377945203959
MI,hh3,0.9449888674274203
MI,hh4,2.9534119372048875
MI,hh5,4.788499460328533
