r,s,value
AL,ppd,0.5123402393594741
AL,com,0.36967611427261954
AL,amb,0.005170340461480088
AL,fbp,1.6358394248722714
AL,rec,0.00024383198343537864
AL,agr,0.5933261231440213
AL,eec,1.6665199215769197
AL,pub,0.04130573113142478
AL,ins,0.5774142560912335
AL,tex,0.7128001928442167
AL,leg,0.05850083939100845
AL,fen,0.0028519114156327825
AL,uti,0.03701641091574328
AL,nmp,0.4515547866368663
AL,brd,0.0018899228617526552
AL,bnk,0.07260216324842503
AL,edu,0.02740908685273917
AL,ote,0.8200888362046682
AL,mch,2.0169178751598382
AL,dat,0.02199958646278059
AL,oil,1.5850066304478723
AL,hos,0.10865094722983014
AL,pla,1.0326358001398814
AL,fof,0.4916976263901172
AL,tsv,1.100680170284154
AL,nrs,0.0014807089907950325
AL,sec,0.0004971646467270734
AL,art,0.012251104002724625
AL,mov,0.08116714373330565
AL,fpd,0.8559696241724727
AL,pri,0.03221406162890751
AL,osv,0.046257774966596964
AL,smn,0.003739528611880606
AL,fmt,1.21801559353519
AL,pet,0.9529335897799706
AL,cep,3.5598601822777813
AL,wst,0.0057116545223354345
AL,mot,7.596497092854799
AL,adm,0.03877943976191938
AL,alt,1.7251583700105073
AL,pmt,2.9467784457641994
AL,wpd,0.8521453179604596
AL,che,4.0708517807681055
AL,air,0.16908703684100065
AL,mmf,1.6140991646050717
AL,otr,0.0004539805655234651
AL,min,0.1381396551163029
AK,ppd,0.055833109945585976
AK,com,0.0978492056993406
AK,amb,0.0012388284981883482
AK,fbp,0.35450105998156695
AK,rec,7.996380879129505e-05
AK,agr,0.11189390157716923
AK,eec,0.2898156773582361
AK,pub,0.009075614126471293
AK,ins,0.09796786868742541
AK,tex,0.0679330421272707
AK,leg,0.011080773483663162
AK,fen,0.0006943795319736779
AK,uti,0.009084628725784753
AK,nmp,0.07931564564199266
AK,brd,0.0005283729382170077
AK,bnk,0.017074853599703753
AK,edu,0.006272211672353893
AK,ote,0.14033045913467784
AK,mch,0.4071188968370631
AK,dat,0.005664257093985422
AK,oil,0.7568415247723109
AK,hos,0.025732149871395108
AK,pla,0.1686253031643501
AK,fof,0.06140158447594589
AK,tsv,0.2954482468417461
AK,nrs,0.00035374967578237634
AK,sec,0.00011069413616336012
AK,art,0.003596643496615664
AK,mov,0.022460910615741805
AK,fpd,0.11489126535113078
AK,pri,0.007942041114469698
AK,osv,0.009754823780286323
AK,smn,0.0349357885380637
AK,fmt,0.2311023035853728
AK,pet,0.30677739683813915
AK,cep,0.7389534878286449
AK,wst,0.0017949408677618251
AK,mot,0.5775135712246423
AK,adm,0.009399380975517088
AK,alt,0.21738360608824228
AK,pmt,0.08681907069226145
AK,wpd,0.0699615018153251
AK,che,0.6957236208819051
AK,air,0.04986469280742316
AK,mmf,0.30571936524226395
AK,otr,0.00013153953955122633
AK,min,0.029906376905944432
AR,ppd,0.27873948210203947
AR,com,0.17331102275729052
AR,amb,0.0032195173774425493
AR,fbp,1.0892212270260027
AR,rec,0.00013668140916393157
AR,agr,0.656189284052358
AR,eec,1.0032299014810089
AR,pub,0.019567132513763023
AR,ins,0.3876112556912275
AR,tex,0.3242794167107331
AR,leg,0.030218092049767314
AR,fen,0.0019173473182076798
AR,uti,0.02106774286790355
AR,nmp,0.20280304359070642
AR,brd,0.0008406834635338836
AR,bnk,0.046996706712074704
AR,edu,0.01583316559663138
AR,ote,0.2704031477236744
AR,mch,1.7367007301805852
AR,dat,0.011271993610542212
AR,oil,0.5030500612202485
