r,h,value
AL,hh1,0.142127264282397
AL,hh2,0.142127264282397
AL,hh3,0.142127264282397
AL,hh4,0.138159156756805
AL,hh5,0.0731008703871742
AK,hh1,0.142127264282397
AK,hh2,0.142127264282397
AK,hh3,0.142127264282397
AK,hh4,0.140351166454078
AK,hh5,0.089828050570427
AR,hh1,0.142127264282397
AR,hh2,0.142127264282397
AR,hh3,0.142127264282397
AR,hh4,0.137951797759473
AR,hh5,0.0663551679087875
AZ,hh1,0.142127264282397
AZ,hh2,0.142127264282397
AZ,hh3,0.142127264282397
AZ,hh4,0.136662020502622
AZ,hh5,0.069888918373954
CA,hh1,0.142127264282397
CA,hh2,0.142127264282397
CA,hh3,0.142127264282397
CA,hh4,0.133676178789449
CA,hh5,0.0721425900339394
CO,hh1,0.142127264282397
CO,hh2,0.142127264282397
CO,hh3,0.142127264282397
CO,hh4,0.134002674686793
CO,hh5,0.0713381681991621
CT,hh1,0.142127264282397
CT,hh2,0.142127264282397
CT,hh3,0.142127264282397
CT,hh4,0.136190272496495
CT,hh5,0.077985786175257
DE,hh1,0.142127264282397
DE,hh2,0.142127264282397
DE,hh3,0.142127264282397
DE,hh4,0.134725907834085
DE,hh5,0.0838350547335386
DC,hh1,0.142127264282397
DC,hh2,0.142127264282397
DC,hh3,0.142127264282397
DC,hh4,0.131045308491012
DC,hh5,0.0690400682656259
FL,hh1,0.142127264282397
FL,hh2,0.142127264282397
FL,hh3,0.142127264282397
FL,hh4,0.13841419261901
FL,hh5,0.0708627727293699
GA,hh1,0.142127264282397
GA,hh2,0.142127264282397
GA,hh3,0.142127264282397
GA,hh4,0.134784768179175
GA,hh5,0.0709863372526556
HI,hh1,0.142127264282397
HI,hh2,0.142127264282397
HI,hh3,0.142127264282397
HI,hh4,0.132790925441797
HI,hh5,0.0880684990091931
ID,hh1,0.142127264282397
ID,hh2,0.142127264282397
ID,hh3,0.142127264282397
ID,hh4,0.138052068496155
ID,hh5,0.0760891891892557
IL,hh1,0.142127264282397
IL,hh2,0.142127264282397
IL,hh3,0.142127264282397
IL,hh4,0.133800116656132
IL,hh5,0.0756360314002896
IN,hh1,0.142127264282397
IN,hh2,0.142127264282397
IN,hh3,0.142127264282397
IN,hh4,0.135913771056838
IN,hh5,0.0725855178194315
IA,hh1,0.142127264282397
IA,hh2,0.142127264282397
IA,hh3,0.142127264282397
IA,hh4,0.136857538028899
IA,hh5,0.0662814678703548
KS,hh1,0.142127264282397
KS,hh2,0.142127264282397
KS,hh3,0.142127264282397
KS,hh4,0.1374637998009
KS,hh5,0.0787320930736878
KY,hh1,0.142127264282397
KY,hh2,0.142127264282397
KY,hh3,0.142127264282397
KY,hh4,0.139930579192447
KY,hh5,0.0755630550575909
LA,hh1,0.142127264282397
LA,hh2,0.142127264282397
LA,hh3,0.142127264282397
LA,hh4,0.138196654259374
LA,hh5,0.0738577240718815
ME,hh1,0.142127264282397
ME,hh2,0.142127264282397
ME,hh3,0.142127264282397
ME,hh4,0.138008439007612
ME,hh5,0.0745437801545589
MD,hh1,0.142127264282397
MD,hh2,0.142127264282397
MD,hh3,0.142127264282397
MD,hh4,0.133000250013626
MD,hh5,0.0785951244365174
MA,hh1,0.142127264282397
MA,hh2,0.142127264282397
MA,hh3,0.142127264282397
MA,hh4,0.135358070709645
MA,hh5,0.0823412234665396
MI,hh1,0.142127264282397
MI,hh2,0.142127264282397
MI,hh3,0.142127264282397
MI,hh4,0.137484983876551
MI,hh5,0.0796145764197737
MN,hh1,0.142127264282397
MN,hh2,0.142127264282397
MN,hh3,0.142127264282397
MN,hh4,0.140359926219108
MN,hh5,0.0804962796243206
MS,hh1,0.142127264282397
MS,hh2,0.142127264282397
MS,hh3,0.142127264282397
MS,hh4,0.138026713457443
MS,hh5,0.0785063316406557
MO,hh1,0.142127264282397
MO,hh2,0.142127264282397
MO,hh3,0.142127264282397
MO,hh4,0.138926436488362
MO,hh5,0.0757544154284187
MT,hh1,0.142127264282397
MT,hh2,0.142127264282397
MT,hh3,0.142127264282397
MT,hh4,0.137110638452899
MT,hh5,0.0778556027207844
NE,hh1,0.142127264282397
NE,hh2,0.142127264282397
NE,hh3,0.142127264282397
NE,hh4,0.138118845266096
NE,hh5,0.0867354254448943
NV,hh1,0.142127264282397
NV,hh2,0.142127264282397
NV,hh3,0.142127264282397
NV,hh4,0.137737392677141
NV,hh5,0.0771251643061016
NH,hh1,0.142127264282397
NH,hh2,0.142127264282397
NH,hh3,0.142127264282397
NH,hh4,0.136052235489766
NH,hh5,0.0913688809789763
NJ,hh1,0.142127264282397
NJ,hh2,0.142127264282397
NJ,hh3,0.142127264282397
NJ,hh4,0.138489916220242
NJ,hh5,0.0774611981435009
NM,hh1,0.142127264282397
NM,hh2,0.142127264282397
NM,hh3,0.142127264282397
NM,hh4,0.135659523240471
NM,hh5,0.0610946230576045
NY,hh1,0.142127264282397
NY,hh2,0.142127264282397
NY,hh3,0.142127264282397
NY,hh4,0.135370035965479
NY,hh5,0.0713055422411674
NC,hh1,0.142127264282397
NC,hh2,0.142127264282397
NC,hh3,0.142127264282397
NC,hh4,0.138596391430317
NC,hh5,0.0704876587842108
ND,hh1,0.142127264282397
ND,hh2,0.142127264282397
ND,hh3,0.142127264282397
ND,hh4,0.137958024324149
ND,hh5,0.0707447835663054
OH,hh1,0.142127264282397
OH,hh2,0.142127264282397
OH,hh3,0.142127264282397
OH,hh4,0.139161978382093
OH,hh5,0.082654215755743
OK,hh1,0.142127264282397
OK,hh2,0.142127264282397
OK,hh3,0.142127264282397
OK,hh4,0.139665629875564
OK,hh5,0.0682505290229082
OR,hh1,0.142127264282397
OR,hh2,0.142127264282397
OR,hh3,0.142127264282397
OR,hh4,0.138986203163278
OR,hh5,0.0738058445253238
PA,hh1,0.142127264282397
PA,hh2,0.142127264282397
PA,hh3,0.142127264282397
PA,hh4,0.137721736173129
PA,hh5,0.0794781979806741
