r,h,value
AL,hh1,0.0914734317066481
AL,hh2,0.184647243178504
AL,hh3,0.199811433287172
AL,hh4,0.215992625116548
AL,hh5,0.318828280611154
AK,hh1,0.0705185399485269
AK,hh2,0.143856838924594
AK,hh3,0.172115089220262
AK,hh4,0.195640207641595
AK,hh5,0.28307830119008
AR,hh1,0.0681395229026378
AR,hh2,0.19819393529194
AR,hh3,0.202323082722578
AR,hh4,0.237746781306794
AR,hh5,0.364531003199659
AZ,hh1,0.0236390746708301
AZ,hh2,0.179072528524425
AZ,hh3,0.191637572660684
AZ,hh4,0.220320290977319
AZ,hh5,0.333025550186974
CA,hh1,0.0510164626654424
CA,hh2,0.175215381826087
CA,hh3,0.189664662431539
CA,hh4,0.245856263588294
CA,hh5,0.368714182903698
CO,hh1,0.104452970434594
CO,hh2,0.210905098198744
CO,hh3,0.219111469630353
CO,hh4,0.225905343231929
CO,hh5,0.325461664763944
CT,hh1,0.0320496933559
CT,hh2,0.209345410773481
CT,hh3,0.210947125675988
CT,hh4,0.238236393865662
CT,hh5,0.343114086076952
DE,hh1,0.0561088258017414
DE,hh2,0.188707432962112
DE,hh3,0.217266572131878
DE,hh4,0.242294637267346
DE,hh5,0.326531123933086
DC,hh1,0.110928006400789
DC,hh2,0.235866620064457
DC,hh3,0.246178687837722
DC,hh4,0.273477648519806
DC,hh5,0.371794733849624
FL,hh1,0.0477211078231369
FL,hh2,0.154204376883987
FL,hh3,0.162711170801859
FL,hh4,0.188825764893846
FL,hh5,0.291540794057032
GA,hh1,0.0573611917457592
GA,hh2,0.198142881388187
GA,hh3,0.212620212099086
GA,hh4,0.231187603962542
GA,hh5,0.339473143097208
HI,hh1,0.105266970582637
HI,hh2,0.21202932690725
HI,hh3,0.206548937400893
HI,hh4,0.246468939231642
HI,hh5,0.33371967007486
ID,hh1,0.0302647662414186
ID,hh2,0.207859851325983
ID,hh3,0.211371903943571
ID,hh4,0.239263739051926
ID,hh5,0.350638878161537
IL,hh1,0.0651484815633547
IL,hh2,0.191582704980742
IL,hh3,0.203637385488574
IL,hh4,0.223717648253503
IL,hh5,0.321399238293802
IN,hh1,0.0623371100974051
IN,hh2,0.193053351570662
IN,hh3,0.193400765979845
IN,hh4,0.211939421894581
IN,hh5,0.328511195520861
IA,hh1,0.0324951162359005
IA,hh2,0.187584976039328
IA,hh3,0.218432742100658
IA,hh4,0.238679818365833
IA,hh5,0.343704869719758
KS,hh1,0.0527653115524287
KS,hh2,0.209241350223972
KS,hh3,0.198140332878534
KS,hh4,0.222887554271819
KS,hh5,0.32010926283081
KY,hh1,0.0657269567714007
KY,hh2,0.216067015614182
KY,hh3,0.197589556305986
KY,hh4,0.236114594022926
KY,hh5,0.326038754876106
LA,hh1,0.0746986560010433
LA,hh2,0.179994694625346
LA,hh3,0.194283227035885
LA,hh4,0.21682149064663
LA,hh5,0.328396164437042
ME,hh1,0.0890229131631383
ME,hh2,0.201958918766053
ME,hh3,0.211716189839826
ME,hh4,0.240292283477185
ME,hh5,0.343187078944604
MD,hh1,0.103141252504003
MD,hh2,0.207697874019859
MD,hh3,0.218665627812828
MD,hh4,0.241031478533748
MD,hh5,0.335825797700565
MA,hh1,0.0855676724831037
MA,hh2,0.227801122227106
MA,hh3,0.214566180119656
MA,hh4,0.233698752017136
MA,hh5,0.321206609791333
MI,hh1,0.0842368401123574
MI,hh2,0.209421243509477
MI,hh3,0.209222119914242
MI,hh4,0.225584011589488
MI,hh5,0.309460968170731
MN,hh1,0.106983324514738
MN,hh2,0.231673759212302
MN,hh3,0.224830299018086
MN,hh4,0.244557891200543
MN,hh5,0.342706739099225
MS,hh1,0.0428827039985574
MS,hh2,0.197868803722222
MS,hh3,0.202197339260652
MS,hh4,0.224516543935694
MS,hh5,0.315997862825996
MO,hh1,0.0569631212295065
MO,hh2,0.197700958752776
MO,hh3,0.203214660637214
MO,hh4,0.228093071763803
