r,h,value
AL,hh1,12.332948284161894
AL,hh2,13.049068056858511
AL,hh3,8.848929992028287
AL,hh4,10.475778107322842
AL,hh5,5.7983713130245365
AK,hh1,1.1726720336863805
AK,hh2,1.5174938796969044
AK,hh3,1.4321142469420032
AK,hh4,1.6322139649798566
AK,hh5,1.7969400521359906
AR,hh1,8.522861349969068
AR,hh2,10.3873627648366
AR,hh3,6.5933804809196275
AR,hh4,5.603705401699671
AR,hh5,3.9778115207389857
AZ,hh1,13.291382191588138
AZ,hh2,20.108981962964393
AZ,hh3,13.909213585669114
AZ,hh4,14.67622781308823
AZ,hh5,17.65562125922795
CA,hh1,67.82314677805296
CA,hh2,96.14624325645133
CA,hh3,72.87814187139026
CA,hh4,99.25601107816209
CA,hh5,114.00180555603984
CO,hh1,8.197340787148004
CO,hh2,10.115556512350892
CO,hh3,10.78976501506048
CO,hh4,11.89158596481114
CO,hh5,16.079759345528227
CT,hh1,8.439573163755217
CT,hh2,9.1698459000877
CT,hh3,6.096420678339014
CT,hh4,9.27433713868835
CT,hh5,14.386519667846882
DE,hh1,1.9194798025887532
DE,hh2,3.1270802634386463
DE,hh3,2.359904173102216
DE,hh4,2.6820603717140843
DE,hh5,2.419663181070057
DC,hh1,2.031552513089787
DC,hh2,1.664418281147031
DC,hh3,1.0599922630164917
DC,hh4,1.0955827168625267
DC,hh5,2.2765785641048444
FL,hh1,43.605972616219596
FL,hh2,64.10507826172457
FL,hh3,47.737080975764975
FL,hh4,52.87497505086796
FL,hh5,34.343599515850535
GA,hh1,19.41779212882381
GA,hh2,21.760645158082436
GA,hh3,17.631443055390086
GA,hh4,20.912153889504886
GA,hh5,14.340895843813458
HI,hh1,1.7281872512749323
HI,hh2,2.5214897789914947
HI,hh3,2.3083322397223474
HI,hh4,4.317031075596896
HI,hh5,4.843501626055384
ID,hh1,2.3962891480710025
ID,hh2,3.59047301933306
ID,hh3,3.7624290889266616
ID,hh4,4.397405551687262
ID,hh5,2.4248411880284086
IL,hh1,22.31924463937085
IL,hh2,29.20587254218715
IL,hh3,26.50249314810368
IL,hh4,31.616790839932968
IL,hh5,23.476427880968274
IN,hh1,13.197049359491386
IN,hh2,18.74618332081097
IN,hh3,15.49414909445176
IN,hh4,14.67865743766742
IN,hh5,10.328263069611065
IA,hh1,4.967826159060211
IA,hh2,7.7579903540070365
IA,hh3,6.919353074197553
IA,hh4,6.7935990676906055
IA,hh5,5.951570185168625
KS,hh1,4.080666202596853
KS,hh2,6.962307340015903
KS,hh3,4.011272967758252
KS,hh4,6.38518614178178
KS,hh5,5.761125343702429
KY,hh1,13.19524573798391
KY,hh2,14.511809333117785
KY,hh3,8.495435527267
KY,hh4,7.998776391895889
KY,hh5,4.686754203770546
LA,hh1,13.817202113300306
LA,hh2,12.97329352342856
LA,hh3,7.744055651822123
LA,hh4,8.614023567646269
LA,hh5,5.375163978414182
ME,hh1,3.028977186073898
ME,hh2,4.352524825667968
ME,hh3,2.9853147600998864
ME,hh4,4.5728586130350966
ME,hh5,2.998033336187169
MD,hh1,7.96331862835736
