r,g,value
AL,ppd,1.3792562884375081
AL,res,3.2238479037629633
AL,com,1.9256918991176488
AL,amb,6.558151594603876
AL,fbp,5.086354333646828
AL,rec,0.7378938756600797
AL,con,9.913891900594837
AL,agr,2.3519873077824007
AL,eec,0.2525711639131922
AL,fnd,1.6035098859766617
AL,pub,0.5404952093192174
AL,hou,9.826162486219056
AL,fbt,1.4576271605378395
AL,ins,4.070776735870704
AL,tex,0.121916304525736
AL,leg,1.3777283728477396
AL,fen,0.3206047012574979
AL,uti,8.40860903763
AL,nmp,0.9122617561752417
AL,brd,2.023714124379399
AL,bnk,4.2113557931515135
AL,ore,6.4856665311085075
AL,edu,1.5527765154714226
AL,ote,0.5559932768949831
AL,man,1.371541615923912
AL,mch,0.5107496745554145
AL,dat,0.6809583105002
AL,amd,0.7254532809427744
AL,oil,0.08617926529593695
AL,hos,5.768039234593039
AL,rnt,1.6985226507616544
AL,pla,0.6950909161198616
AL,fof,0.7262497898807901
AL,fin,0.3681012014873671
AL,tsv,8.201919509346272
AL,nrs,0.9491627239507223
AL,sec,0.8174267864505028
AL,art,0.3450418537536465
AL,mov,0.11056107121943094
AL,fpd,0.5247180901187567
AL,slg,6.800568880841156
AL,pri,0.11435321841111117
AL,grd,0.270709201033807
AL,pip,0.36084771164185053
AL,sle,0.5738765460604864
AL,osv,4.615600451204569
AL,trn,0.4711053170490183
AL,smn,0.1588237012105282
AL,fmt,2.030410225362829
AL,pet,2.1375089614086042
AL,mvt,1.7751547533252983
AL,cep,0.17205133820225396
AL,wst,0.8033064296389344
AL,mot,7.579387256424375
AL,adm,4.37468237320599
AL,soc,1.2450992928249693
AL,alt,0.03749624073355863
AL,pmt,2.6339647585777866
AL,trk,2.4378109979527083
AL,fdd,2.230292431449974
AL,gmt,1.2368994664546678
AL,wtt,0.17598038221279472
AL,wpd,1.9118785297870589
AL,wht,11.929594357140328
AL,wrh,0.8226378274984121
AL,ott,6.95085514618223
AL,che,2.2029068029900327
AL,air,0.14740599375034136
AL,mmf,0.3061654402327648
AL,otr,1.5458439685199195
AL,min,0.9366502058412206
AK,ppd,0.0015001424893965505
AK,res,1.2110764419066784
AK,com,0.1694779071471958
AK,amb,1.6525275030785798
AK,fbp,1.8433909827243045
AK,rec,0.2825432615878538
AK,con,2.621304602204955
AK,agr,0.03734063663418229
AK,fnd,0.9120971876413981
AK,pub,0.04086689557218987
AK,hou,2.021632555613066
AK,fbt,0.2566483503298477
AK,ins,0.30231607312587594
AK,tex,0.0007636565906209217
AK,leg,0.09655720311590514
AK,fen,0.08209296942112641
AK,uti,2.0636547228
AK,nmp,0.03670128167117233
AK,brd,0.7653582665432636
AK,bnk,0.43542829939699135
AK,ore,1.346639616798256
AK,edu,0.475503106937135
AK,man,0.25218578247000445
AK,mch,0.004720821877128801
AK,dat,0.10028445540562399
AK,amd,0.21653374174760817
AK,oil,1.160730163902568
AK,hos,1.5705013229107403
AK,rnt,0.45402489620963116
AK,pla,0.005517196202233713
AK,fin,0.13803836901654323
AK,tsv,1.5707311049764183
AK,nrs,0.3117895024449042
AK,sec,0.0968983970194518
